no codigo usando soma de riemann mid point o chi = 1.2539943460630067j em b = 0 para modelo de massa em pl em sqrt_s = 7000 com 3 params para o modelo eiconalizado (maiores)


config:

eps_min = 0.09
mg_min = 0.99
a1_min = 2.0
m2pl
sqrtr = 7000

	- com fixed quad com 10000 pontos: chi = 1.2539943360804897j
	- quad com a config padrao: chi = 1.2539943342713995j
	
--------------------------
resultados via riemann com 32000 pontos 

b = 0.000234375, chi = 1.2539943564114864j
b = 0.000703125, chi = 1.2539943405971343j
b = 0.001171875, chi = 1.253994308968418j
b = 0.001640625, chi = 1.2539942615253512j
b = 0.002109375, chi = 1.253994198267935j
b = 0.0025781249999999997, chi = 1.2539941191961816j
b = 0.003046875, chi = 1.2539940243100471j
b = 0.0035156249999999997, chi = 1.2539939136095835j
b = 0.003984375, chi = 1.2539937870948024j
b = 0.004453125, chi = 1.253993644765669j
b = 0.004921875, chi = 1.2539934866222002j
b = 0.005390625, chi = 1.253993312664407j
b = 0.005859375, chi = 1.2539931228923091j
b = 0.0063281249999999995, chi = 1.2539929173059083j
b = 0.006796875, chi = 1.2539926959051968j
b = 0.0072656249999999995, chi = 1.253992458690169j
b = 0.007734375, chi = 1.253992205660878j
b = 0.008203125, chi = 1.2539919368173278j
b = 0.008671874999999999, chi = 1.2539916521594903j
b = 0.009140625, chi = 1.253991351687406j
b = 0.009609375, chi = 1.2539910354010793j
b = 0.010078125, chi = 1.2539907033005426j
b = 0.010546874999999999, chi = 1.2539903553857572j
b = 0.011015625, chi = 1.2539899916567858j
b = 0.011484375, chi = 1.2539896121136203j
b = 0.011953125, chi = 1.2539892167562672j
b = 0.012421874999999999, chi = 1.2539888055847639j
b = 0.012890625, chi = 1.2539883785991321j
b = 0.013359375, chi = 1.2539879357993495j
b = 0.013828125, chi = 1.2539874771854653j
b = 0.014296874999999999, chi = 1.2539870027574702j
b = 0.014765625, chi = 1.2539865125154201j
b = 0.015234375, chi = 1.253986006459303j
b = 0.015703125, chi = 1.2539854845891558j
b = 0.016171875, chi = 1.2539849469049653j
b = 0.016640625, chi = 1.2539843934068007j
b = 0.017109375, chi = 1.2539838240946404j
b = 0.017578125, chi = 1.2539832389685446j
b = 0.018046875, chi = 1.2539826380285102j
b = 0.018515625, chi = 1.2539820212745536j
b = 0.018984374999999998, chi = 1.2539813887067222j
b = 0.019453124999999998, chi = 1.2539807403250192j
b = 0.019921875, chi = 1.2539800761294797j
b = 0.020390625, chi = 1.2539793961201375j
b = 0.020859375, chi = 1.2539787002969967j
b = 0.021328125, chi = 1.2539779886601006j
b = 0.021796875, chi = 1.2539772612094648j
b = 0.022265625, chi = 1.2539765179451272j
b = 0.022734374999999998, chi = 1.2539757588671088j
b = 0.023203124999999998, chi = 1.2539749839754444j
b = 0.023671875, chi = 1.253974193270162j
b = 0.024140625, chi = 1.2539733867512965j
b = 0.024609375, chi = 1.253972564418855j
b = 0.025078125, chi = 1.2539717262729078j
b = 0.025546875, chi = 1.2539708723134626j
b = 0.026015625, chi = 1.253970002540553j
b = 0.026484374999999998, chi = 1.2539691169541936j
b = 0.026953124999999998, chi = 1.2539682155544454j
b = 0.027421875, chi = 1.2539672983413503j
b = 0.027890625, chi = 1.2539663653149127j
b = 0.028359375, chi = 1.2539654164751983j
b = 0.028828125, chi = 1.2539644518222164j
b = 0.029296875, chi = 1.2539634713560126j
b = 0.029765625, chi = 1.253962475076639j
b = 0.030234374999999997, chi = 1.2539614629841203j
b = 0.030703124999999998, chi = 1.2539604350784872j
b = 0.031171874999999998, chi = 1.2539593913598093j
b = 0.031640625, chi = 1.25395833182809j
b = 0.032109374999999996, chi = 1.2539572564833728j
b = 0.032578125, chi = 1.253956165325737j
b = 0.033046874999999996, chi = 1.253955058355174j
b = 0.033515625, chi = 1.2539539355717637j
b = 0.033984375, chi = 1.2539527969755369j
b = 0.034453125, chi = 1.253951642566527j
b = 0.034921875, chi = 1.253950472344792j
b = 0.035390625, chi = 1.2539492863103716j
b = 0.035859375, chi = 1.2539480844632962j
b = 0.036328124999999996, chi = 1.2539468668036406j
b = 0.036796875, chi = 1.2539456333314036j
b = 0.037265625, chi = 1.2539443840466995j
b = 0.037734375, chi = 1.2539431189495238j
b = 0.038203125, chi = 1.2539418380399578j
b = 0.038671875, chi = 1.2539405413180236j
b = 0.039140625, chi = 1.2539392287837765j
b = 0.039609374999999995, chi = 1.2539379004372637j
b = 0.040078125, chi = 1.253936556278555j
b = 0.040546874999999996, chi = 1.2539351963076801j
b = 0.041015625, chi = 1.2539338205247137j
b = 0.041484375, chi = 1.2539324289296774j
b = 0.041953125, chi = 1.2539310215226345j
b = 0.042421875, chi = 1.25392959830367j
b = 0.042890625, chi = 1.253928159272803j
b = 0.043359375, chi = 1.2539267044300928j
b = 0.043828124999999996, chi = 1.2539252337755984j
b = 0.044296875, chi = 1.2539237473093743j
b = 0.044765624999999996, chi = 1.2539222450314798j
b = 0.045234375, chi = 1.2539207269419825j
b = 0.045703125, chi = 1.2539191930409284j
b = 0.046171875, chi = 1.2539176433283712j
b = 0.046640625, chi = 1.2539160778043899j
b = 0.047109374999999995, chi = 1.2539144964690245j
b = 0.047578125, chi = 1.253912899322333j
b = 0.048046874999999996, chi = 1.2539112863643815j
b = 0.048515625, chi = 1.253909657595241j
b = 0.048984375, chi = 1.253908013014971j
b = 0.049453125, chi = 1.2539063526236263j
b = 0.049921875, chi = 1.2539046764212667j
b = 0.050390625, chi = 1.2539029844079528j
b = 0.050859375, chi = 1.2539012765837785j
b = 0.051328124999999995, chi = 1.2538995529487815j
b = 0.051796875, chi = 1.253897813503051j
b = 0.052265624999999996, chi = 1.253896058246595j
b = 0.052734375, chi = 1.2538942871795558j
b = 0.053203125, chi = 1.2538925003019545j
b = 0.053671875, chi = 1.2538906976138748j
b = 0.054140625, chi = 1.2538888791153882j
b = 0.054609374999999995, chi = 1.2538870448065509j
b = 0.055078125, chi = 1.2538851946874343j
b = 0.055546874999999996, chi = 1.2538833287581295j
b = 0.056015625, chi = 1.2538814470186759j
b = 0.056484374999999996, chi = 1.2538795494691815j
b = 0.056953125, chi = 1.2538776361096846j
b = 0.057421875, chi = 1.2538757069402646j
b = 0.057890625, chi = 1.2538737619610074j
b = 0.058359375, chi = 1.2538718011719876j
b = 0.058828124999999995, chi = 1.2538698245732671j
b = 0.059296875, chi = 1.253867832164926j
b = 0.059765624999999996, chi = 1.2538658239470486j
b = 0.060234375, chi = 1.2538637999197058j
b = 0.060703125, chi = 1.253861760082967j
b = 0.061171875, chi = 1.2538597044369133j
b = 0.061640625, chi = 1.2538576329816398j
b = 0.062109374999999994, chi = 1.2538555457171894j
b = 0.062578125, chi = 1.2538534426436703j
b = 0.063046875, chi = 1.2538513237611566j
b = 0.06351562499999999, chi = 1.2538491890697343j
b = 0.063984375, chi = 1.25384703856947j
b = 0.064453125, chi = 1.2538448722604638j
b = 0.064921875, chi = 1.2538426901427773j
b = 0.065390625, chi = 1.2538404922165192j
b = 0.065859375, chi = 1.2538382784817435j
b = 0.066328125, chi = 1.2538360489385536j
b = 0.06679687499999999, chi = 1.2538338035870242j
b = 0.067265625, chi = 1.2538315424272464j
b = 0.067734375, chi = 1.2538292654593008j
b = 0.068203125, chi = 1.2538269726832942j
b = 0.068671875, chi = 1.25382466409929j
b = 0.069140625, chi = 1.2538223397073878j
b = 0.069609375, chi = 1.2538199995076662j
b = 0.07007812499999999, chi = 1.2538176435002304j
b = 0.070546875, chi = 1.253815271685146j
b = 0.071015625, chi = 1.2538128840625224j
b = 0.071484375, chi = 1.2538104806324548j
b = 0.07195312499999999, chi = 1.253808061395017j
b = 0.072421875, chi = 1.253805626350312j
b = 0.072890625, chi = 1.2538031754984336j
b = 0.07335937499999999, chi = 1.2538007088394623j
b = 0.073828125, chi = 1.2537982263735206j
b = 0.074296875, chi = 1.2537957281006695j
b = 0.074765625, chi = 1.2537932140210293j
b = 0.07523437499999999, chi = 1.25379068413467j
b = 0.075703125, chi = 1.253788138441694j
b = 0.076171875, chi = 1.2537855769422102j
b = 0.076640625, chi = 1.2537829996363279j
b = 0.077109375, chi = 1.253780406524134j
b = 0.077578125, chi = 1.2537777976056936j
b = 0.078046875, chi = 1.2537751728811524j
b = 0.07851562499999999, chi = 1.2537725323505964j
b = 0.078984375, chi = 1.2537698760140945j
b = 0.079453125, chi = 1.2537672038718093j
b = 0.079921875, chi = 1.253764515923799j
b = 0.080390625, chi = 1.2537618121701697j
b = 0.080859375, chi = 1.25375909261102j
b = 0.081328125, chi = 1.253756357246479j
b = 0.08179687499999999, chi = 1.2537536060766326j
b = 0.082265625, chi = 1.2537508391015855j
b = 0.082734375, chi = 1.2537480563214523j
b = 0.083203125, chi = 1.253745257736328j
b = 0.08367187499999999, chi = 1.2537424433463127j
b = 0.084140625, chi = 1.2537396131515264j
b = 0.084609375, chi = 1.2537367671520863j
b = 0.08507812499999999, chi = 1.2537339053480743j
b = 0.085546875, chi = 1.2537310277396254j
b = 0.086015625, chi = 1.253728134326819j
b = 0.086484375, chi = 1.2537252251098137j
b = 0.08695312499999999, chi = 1.253722300088653j
b = 0.087421875, chi = 1.253719359263509j
b = 0.087890625, chi = 1.253716402634464j
b = 0.08835937499999999, chi = 1.2537134302016304j
b = 0.088828125, chi = 1.2537104419651406j
b = 0.089296875, chi = 1.2537074379250892j
b = 0.089765625, chi = 1.253704418081573j
b = 0.09023437499999999, chi = 1.2537013824347445j
b = 0.090703125, chi = 1.2536983309847147j
b = 0.091171875, chi = 1.2536952637315848j
b = 0.091640625, chi = 1.2536921806754653j
b = 0.092109375, chi = 1.2536890818164945j
