Otimização para log em ATLAS - Limites: eps_1_mg_0_a1_1_a2_0
Configuração: down | up | strategy | migrad | mg ± error | eps ± error | a1 ± error | a2 ± error | χ²/ndof
========================================================================================================================
0.92 | 1.08 | 0 | 400 | 0.3516653303807959 ± 0.0005088333675264095 | 0.06927600073864984 ± 0.0015572218955915776 | 1.4828398417250739 ± 0.03732472955575039 | 4.056486061999911 ± 0.23943614925782009 | 0.5034960929900303
0.92 | 1.08 | 0 | 500 | 0.3516653303807959 ± 0.0005088333675264095 | 0.06927600073864984 ± 0.0015572218955915776 | 1.4828398417250739 ± 0.03732472955575039 | 4.056486061999911 ± 0.23943614925782009 | 0.5034960929900303
0.92 | 1.08 | 0 | 600 | 0.3516653303807959 ± 0.0005088333675264095 | 0.06927600073864984 ± 0.0015572218955915776 | 1.4828398417250739 ± 0.03732472955575039 | 4.056486061999911 ± 0.23943614925782009 | 0.5034960929900303
0.92 | 1.08 | 0 | 700 | 0.3516653303807959 ± 0.0005088333675264095 | 0.06927600073864984 ± 0.0015572218955915776 | 1.4828398417250739 ± 0.03732472955575039 | 4.056486061999911 ± 0.23943614925782009 | 0.5034960929900303
0.92 | 1.08 | 0 | 800 | 0.3516653303807959 ± 0.0005088333675264095 | 0.06927600073864984 ± 0.0015572218955915776 | 1.4828398417250739 ± 0.03732472955575039 | 4.056486061999911 ± 0.23943614925782009 | 0.5034960929900303
0.92 | 1.08 | 1 | 400 | 0.35166530350504616 ± 0.0005088037274802122 | 0.06927600078947399 ± 0.0015547290412386214 | 1.4828398351395573 ± 0.03731879907490743 | 4.056485556593879 ± 0.23944642651996134 | 0.5034961312465002
0.92 | 1.08 | 1 | 500 | 0.35166530350504616 ± 0.0005088037274802122 | 0.06927600078947399 ± 0.0015547290412386214 | 1.4828398351395573 ± 0.03731879907490743 | 4.056485556593879 ± 0.23944642651996134 | 0.5034961312465002
0.92 | 1.08 | 1 | 600 | 0.35166530350504616 ± 0.0005088037274802122 | 0.06927600078947399 ± 0.0015547290412386214 | 1.4828398351395573 ± 0.03731879907490743 | 4.056485556593879 ± 0.23944642651996134 | 0.5034961312465002
0.92 | 1.08 | 1 | 700 | 0.35166530350504616 ± 0.0005088037274802122 | 0.06927600078947399 ± 0.0015547290412386214 | 1.4828398351395573 ± 0.03731879907490743 | 4.056485556593879 ± 0.23944642651996134 | 0.5034961312465002
