Otimização para log em ATLAS - Limites: eps_1_mg_1_a2_0
Configuração: down | up | strategy | migrad | mg ± error | eps ± error | a1 ± error | a2 ± error | χ²/ndof
========================================================================================================================
0.9 | 1.1 | 0 | 90 | 0.36058406124687153 ± 0.0045610164033628164 | 0.07266941478803508 ± 0.0024507490822684164 | 1.3712742352387282 ± 0.020002370309759043 | 4.914626724748431 ± 0.7538494932632566 | 0.9823195817291586
0.9 | 1.1 | 0 | 150 | 0.36011097922246327 ± 0.00873133706706683 | 0.07267728817844832 ± 0.004110873574777886 | 1.3866953768043722 ± 0.022039125133858417 | 4.757212478828788 ± 0.2502277290331459 | 0.9143518316978183
0.9 | 1.1 | 0 | 200 | 0.3557416967084887 ± 0.005067808289383413 | 0.0704869128514985 ± 0.002478185840269008 | 1.3850932529135096 ± 0.018663205193192756 | 4.722928347921523 ± 0.25539277310890024 | 0.791191388095861
0.9 | 1.1 | 1 | 90 | 0.3605840612677142 ± 0.004561014085098208 | 0.07266941477832403 ± 0.0024507499943446642 | 1.371274225167154 ± 0.020002309586808376 | 4.914626771886887 ± 0.7538506727423573 | 0.9823195895852879
0.9 | 1.1 | 1 | 150 | 0.36011097816342663 ± 0.008731253862814703 | 0.07267728802875659 ± 0.004110838949336941 | 1.3866953825798918 ± 0.02203915126337852 | 4.757212501679979 ± 0.2502274215827578 | 0.914351805708501
0.9 | 1.1 | 1 | 200 | 0.35574348122419835 ± 0.005078852554954633 | 0.07048769716303938 ± 0.0024833201925745507 | 1.3850977119675238 ± 0.018674698074383933 | 4.722960541995925 ± 0.25538059882464303 | 0.7912116828409544
0.91 | 1.0899999999999999 | 0 | 90 | 0.36037146651054286 ± 0.003877647395813588 | 0.07281110810229795 ± 0.0018796713650130678 | 1.375383569900224 ± 0.01645235035427206 | 4.811063938718509 ± 0.37738359022694995 | 0.9756962153529214
0.91 | 1.0899999999999999 | 0 | 150 | 0.36021411156650834 ± 0.004967171055342029 | 0.07268567881930141 ± 0.002420463297621009 | 1.3864714370435294 ± 0.025711169104775 | 4.772371097338995 ± 0.23940860209987158 | 0.9182452298361423
0.91 | 1.0899999999999999 | 0 | 200 | 0.3549478506436367 ± 0.002439365955356876 | 0.07017178751758876 ± 0.0011993812360610173 | 1.3864917882446817 ± 0.018484420017642056 | 4.665350131710251 ± 0.2422472319490624 | 0.7822998264108018
0.91 | 1.0899999999999999 | 1 | 90 | 0.36037146651054286 ± 0.003877647395813588 | 0.07281110810229795 ± 0.0018796713650130678 | 1.375383569900224 ± 0.01645235035427206 | 4.811063938718509 ± 0.37738359022694995 | 0.9756962153529214
0.91 | 1.0899999999999999 | 1 | 150 | 0.36021411156650834 ± 0.004967171055342029 | 0.07268567881930141 ± 0.002420463297621009 | 1.3864714370435294 ± 0.025711169104775 | 4.772371097338995 ± 0.23940860209987158 | 0.9182452298361423
0.91 | 1.0899999999999999 | 1 | 200 | 0.35640341011508403 ± 0.004318200287405399 | 0.07084061756194307 ± 0.002107821265883096 | 1.3864670201444773 ± 0.020398514262831458 | 4.717197659170511 ± 0.24300939665747612 | 0.8072135360596336
0.91 | 1.0899999999999999 | 2 | 90 | 0.36120897844188304 ± 0.00489262202160784 | 0.07311483343642586 ± 0.002393882364852863 | 1.3850956794612743 ± 0.02603519596977677 | 4.744629996229179 ± 0.25952051932982817 | 0.9782579625295393
0.91 | 1.0899999999999999 | 2 | 150 | 0.35840148961216794 ± 0.004286213978148351 | 0.0717627219911958 ± 0.0020901074143638773 | 1.379033640854825 ± 0.02172033092850456 | 4.852180392571475 ± 0.3308659545280731 | 0.8895296976131257
0.91 | 1.0899999999999999 | 2 | 200 | 0.35710344782170933 ± 0.003511171880911129 | 0.07109901175613868 ± 0.0014244590666368032 | 1.3724085512239528 ± 0.01582478452665592 | 4.810773801555186 ± 1.966376824152464 | 0.866665248544947
0.92 | 1.08 | 0 | 150 | 0.3602615461397258 ± 0.004968410188696343 | 0.07270063840682804 ± 0.0024028222583872133 | 1.3865804562264588 ± 0.02640204066137186 | 4.8026158688505864 ± 0.23935383812226035 | 0.9199091951986103
0.92 | 1.08 | 0 | 200 | 0.35963413993477156 ± 0.006366316856154491 | 0.0724349142036597 ± 0.003006348709676525 | 1.386291574336215 ± 0.020998615766093964 | 4.7688380820716665 ± 0.24762030934173082 | 0.9006858564303912
0.92 | 1.08 | 1 | 150 | 0.3602610883310744 ± 0.004967664667189647 | 0.0727005781063226 ± 0.0024024729007632722 | 1.3865719551751219 ± 0.02639917178331186 | 4.802444090746329 ± 0.2394664907642214 | 0.9198933762505898
0.92 | 1.08 | 1 | 200 | 0.35974585535077386 ± 0.00707140835629963 | 0.0724929075106401 ± 0.0032992986945704697 | 1.3865572569208164 ± 0.021570596834877165 | 4.760071140736333 ± 0.24679016994833577 | 0.9032404133365803
0.92 | 1.08 | 2 | 150 | 0.3609632348844939 ± 0.0061558997686448624 | 0.07306434120141615 ± 0.0029264772497088892 | 1.386030129995775 ± 0.02633451468408987 | 4.853228146079522 ± 0.2525997457601214 | 0.9503543066388813
0.92 | 1.08 | 2 | 200 | 0.3585035413865427 ± 0.008668618096721037 | 0.0719687597068407 ± 0.00385240133897697 | 1.3866728518727316 ± 0.01849454585591026 | 4.573061569374301 ± 0.24908765039100844 | 0.9100273512638171
0.93 | 1.0699999999999998 | 0 | 65 | 0.3606511811693298 ± 0.004730659089667688 | 0.07281639746907889 ± 0.0023048749432457716 | 1.380953874483267 ± 0.018814194160497677 | 4.830349778348123 ± 0.33908697997229875 | 0.9512945657983688
0.93 | 1.0699999999999998 | 0 | 70 | 0.3606511811693298 ± 0.004730659089667688 | 0.07281639746907889 ± 0.0023048749432457716 | 1.380953874483267 ± 0.018814194160497677 | 4.830349778348123 ± 0.33908697997229875 | 0.9512945657983688
0.93 | 1.0699999999999998 | 0 | 90 | 0.3604866852651622 ± 0.005112348551831958 | 0.07285915711964766 ± 0.0024292488742860482 | 1.3867116262612809 ± 0.023448387331769016 | 4.800484121429522 ± 0.241906751748518 | 0.9284012989015252
0.93 | 1.0699999999999998 | 0 | 150 | 0.35803047859385495 ± 0.002694285686851372 | 0.07162072065917528 ± 0.001304478399252941 | 1.3838066098721955 ± 0.018500155661624884 | 4.827716924292522 ± 0.26907762033077226 | 0.8705728238392528
0.93 | 1.0699999999999998 | 0 | 200 | 0.3556736764546503 ± 0.0016181280729893055 | 0.07046993457357474 ± 0.0007691825674944336 | 1.3867109775747486 ± 0.022518831194409672 | 4.73717652024038 ± 0.23898669378636284 | 0.7882870357797813
0.93 | 1.0699999999999998 | 1 | 65 | 0.3606511811693298 ± 0.004730659089667688 | 0.07281639746907889 ± 0.0023048749432457716 | 1.380953874483267 ± 0.018814194160497677 | 4.830349778348123 ± 0.33908697997229875 | 0.9512945657983688
0.93 | 1.0699999999999998 | 1 | 70 | 0.3606511811693298 ± 0.004730659089667688 | 0.07281639746907889 ± 0.0023048749432457716 | 1.380953874483267 ± 0.018814194160497677 | 4.830349778348123 ± 0.33908697997229875 | 0.9512945657983688
0.93 | 1.0699999999999998 | 1 | 90 | 0.3604866852651622 ± 0.005112349006454908 | 0.07285915711964766 ± 0.002429248991087568 | 1.3867116262612809 ± 0.023448885144929488 | 4.800484121429522 ± 0.24191151265262895 | 0.9284012989015252
0.93 | 1.0699999999999998 | 1 | 150 | 0.35803044645945953 ± 0.0026942868697411304 | 0.07162069940648463 ± 0.0013044786009080503 | 1.3838065615779158 ± 0.018500457578975893 | 4.8277235412050015 ± 0.26907934590205435 | 0.8705727036110608
0.93 | 1.0699999999999998 | 1 | 200 | 0.3561780384227892 ± 0.004946356190047019 | 0.07068923119024087 ± 0.0021218978095038574 | 1.3862384070398892 ± 0.02167164613673256 | 4.732046394630763 ± 0.24554858899634116 | 0.7985566532046104
0.93 | 1.0699999999999998 | 2 | 150 | 0.36090240548888713 ± 0.00818724656236161 | 0.07305698331585463 ± 0.003640422621230349 | 1.3866783373713711 ± 0.023809471632373125 | 4.782261626137654 ± 0.24860219601295572 | 0.938921360822753
0.93 | 1.0699999999999998 | 2 | 200 | 0.3582983023515324 ± 0.00459191123509195 | 0.07175672131352646 ± 0.002171043937104662 | 1.383333381019036 ± 0.02520382191204895 | 4.752156918059975 ± 0.2678506029581599 | 0.8683571617438824
0.94 | 1.06 | 0 | 65 | 0.36085719578180414 ± 0.002539851734311205 | 0.07281710180461722 ± 0.0013335882008337699 | 1.3666804498361678 ± 0.02368991931536335 | 4.983693537342087 ± 1.8784292801292932 | 0.9969580145886378
0.94 | 1.06 | 0 | 70 | 0.36085719578180414 ± 0.002539851734311205 | 0.07281710180461722 ± 0.0013335882008337699 | 1.3666804498361678 ± 0.02368991931536335 | 4.983693537342087 ± 1.8784292801292932 | 0.9969580145886378
0.94 | 1.06 | 0 | 90 | 0.3605061450964998 ± 0.0028229239594156352 | 0.07289111013977101 ± 0.0013643742632003658 | 1.386251182877063 ± 0.020509493012888624 | 4.84465673250936 ± 0.2451094666738917 | 0.9476398274509016
0.94 | 1.06 | 0 | 150 | 0.3580018426219983 ± 0.002145654116475132 | 0.07170256756877413 ± 0.001027531454729294 | 1.3867027695539884 ± 0.019360567521599537 | 4.673280345100692 ± 0.23860028742248696 | 0.8648427489615123
0.94 | 1.06 | 0 | 200 | 0.35653249010443994 ± 0.005553284577366618 | 0.07086085157626658 ± 0.008995534998907241 | 1.3853892777379506 ± 0.025489185610836018 | 4.731610722261672 ± 0.25403242014942357 | 0.8106682811469104
0.94 | 1.06 | 1 | 65 | 0.3608571958162856 ± 0.0025398517524144737 | 0.07281710179434925 ± 0.0013335882186198272 | 1.3666804489829032 ± 0.02368991936598941 | 4.9836935474848625 ± 1.8784292956327469 | 0.996958019289397
