down | strategy | ncall | sigma_tot
0.98 | 0.00 | 400 | 104.202
0.98 | 0.00 | 500 | 104.202
0.98 | 0.00 | 600 | 104.202
0.98 | 0.00 | 700 | 104.202
0.98 | 0.00 | 800 | 104.202
0.98 | 1.00 | 500 | 104.203
0.98 | 1.00 | 600 | 104.203
0.98 | 1.00 | 700 | 104.203
0.98 | 1.00 | 800 | 104.203
0.98 | 2.00 | 500 | 104.203
0.98 | 2.00 | 600 | 104.203
0.98 | 2.00 | 700 | 104.203
0.98 | 2.00 | 800 | 104.203
0.99 | 0.00 | 300 | 104.241
0.99 | 0.00 | 400 | 104.241
0.99 | 0.00 | 500 | 104.241
0.99 | 0.00 | 600 | 104.241
0.99 | 0.00 | 700 | 104.241
0.99 | 0.00 | 800 | 104.241
0.99 | 1.00 | 300 | 104.241
0.99 | 1.00 | 400 | 104.241
0.99 | 1.00 | 500 | 104.241
0.99 | 1.00 | 600 | 104.241
0.99 | 1.00 | 700 | 104.241
0.99 | 1.00 | 800 | 104.241
0.99 | 2.00 | 600 | 104.244
0.99 | 2.00 | 700 | 104.241
0.99 | 2.00 | 800 | 104.241
