Otimização para log em TOTEM - Limites: eps_1_mg_0_a2_0
Configuração: down | up | strategy | migrad | mg ± error | eps ± error | a1 ± error | a2 ± error | χ²/ndof
========================================================================================================================
0.9 | 1.1 | 0 | 70 | 0.38394074244817167 ± 0.0063076624979328914 | 0.08740477581780817 ± 0.002734211812941867 | 1.5039602323242767 ± 0.004983027024397013 | 3.8485041125469146 ± 0.03881520535573594 | 0.9309713708827408
0.9 | 1.1 | 0 | 90 | 0.3839049318168207 ± 0.006126212683179971 | 0.08740058597201825 ± 0.002655696912328802 | 1.505518889378317 ± 0.00301879478669298 | 3.83749189973784 ± 0.032485942042333384 | 0.9226412917233977
0.9 | 1.1 | 0 | 150 | 0.3838340361172997 ± 0.0008070797764485099 | 0.08737117485210984 ± 0.0003554520208594175 | 1.5058292958642134 ± 0.005741125957477 | 3.8392833707903518 ± 0.03153321560875586 | 0.9187044370183656
0.9 | 1.1 | 0 | 200 | 0.3820566053689401 ± 0.002075447735799091 | 0.0865921687316507 ± 0.0009178631294114586 | 1.5033873020898652 ± 0.0035968245280729727 | 3.8601814440929014 ± 0.03502828748669155 | 0.8978405691710569
0.9 | 1.1 | 1 | 90 | 0.38393980375642844 ± 0.0007483357538834529 | 0.08740145635446124 ± 0.0003308164230799507 | 1.5043372130646135 ± 0.023812430700876686 | 3.846608313401212 ± 0.05042869853074114 | 0.9295978498746161
0.9 | 1.1 | 1 | 150 | 0.38386504999725907 ± 0.008287008920785972 | 0.08738955051301485 ± 0.0035448952588623475 | 1.505890510715379 ± 0.00441761104345928 | 3.841479743193195 ± 0.031167129314465657 | 0.9191095213817206
0.9 | 1.1 | 1 | 200 | 0.382368231383069 ± 0.002369484798476692 | 0.08672757020459029 ± 0.0010464154769423417 | 1.5037115514809931 ± 0.0035922486325197234 | 3.8566068145705557 ± 0.03502232087714695 | 0.8990877504659445
0.9 | 1.1 | 2 | 150 | 0.38390229735302284 ± 0.007718203878023572 | 0.08734200732821618 ± 0.0033323323266098576 | 1.499221891096989 ± 0.010304350813880814 | 3.869298348470731 ± 0.06024804280809456 | 0.9542060081896647
0.9 | 1.1 | 2 | 200 | 0.38326606839016536 ± 0.0036977207866647774 | 0.08712510090664081 ± 0.0016222228191129784 | 1.5057961669533784 ± 0.0019538410332304856 | 3.834532875973239 ± 0.031383922686840614 | 0.9060065474132266
0.91 | 1.0899999999999999 | 0 | 70 | 0.38394572421505485 ± 0.005954205975879375 | 0.08740736349502473 ± 0.002575936536671257 | 1.5039966135424803 ± 0.004915190344061737 | 3.8483203287549834 ± 0.03861216476147218 | 0.9309289181533384
0.91 | 1.0899999999999999 | 0 | 90 | 0.3839082161506556 ± 0.005038174289891784 | 0.08740313033794733 ± 0.0021893365280075128 | 1.505566539164947 ± 0.002686882422940129 | 3.8367660823168093 ± 0.0321848078547294 | 0.922774304156779
0.91 | 1.0899999999999999 | 0 | 150 | 0.383834098717746 ± 0.0008310014919617345 | 0.08737141791859025 ± 0.0003659543793017375 | 1.5058932481194898 ± 0.020175929007663518 | 3.8409882103396327 ± 0.031199114709741575 | 0.9186875469599057
0.91 | 1.0899999999999999 | 0 | 200 | 0.3802227975565178 ± 0.0016373490198364877 | 0.08579872088099197 ± 0.0007283456053403317 | 1.505149875648454 ± 0.002017795361380248 | 3.8593883022891853 ± 0.032461387326347964 | 0.8462987906328
0.91 | 1.0899999999999999 | 1 | 90 | 0.3839451359903982 ± 0.0007481195558452174 | 0.0874042383842466 ± 0.0003306164508787915 | 1.5043359013684205 ± 0.023351506018207124 | 3.846834784278573 ± 0.04902047250250773 | 0.9296699805819654
0.91 | 1.0899999999999999 | 1 | 150 | 0.3838697667410444 ± 0.007959323832461318 | 0.08739146722594113 ± 0.0033896145646440737 | 1.5058847345038577 ± 0.004325117902020836 | 3.8412693688132133 ± 0.031196863211836637 | 0.919256778105225
0.91 | 1.0899999999999999 | 1 | 200 | 0.38025337369049933 ± 0.00164344260054553 | 0.08581145802927204 ± 0.0007309713441474783 | 1.5050911232544437 ± 0.0020952507826326183 | 3.8593045824852896 ± 0.032557962403715765 | 0.8469963670877717
0.91 | 1.0899999999999999 | 2 | 150 | 0.38392930615198884 ± 0.007460006012022421 | 0.08735358045835598 ± 0.0032066641826799316 | 1.4991992532143814 ± 0.01028722530459436 | 3.8692347539840726 ± 0.06011090696652383 | 0.9550612721947801
0.91 | 1.0899999999999999 | 2 | 200 | 0.38324985580949456 ± 0.0052859964976152045 | 0.08711853801135097 ± 0.002297925342734465 | 1.5058968344039045 ± 0.00324096385544137 | 3.839319872468586 ± 0.03113204622516746 | 0.9028372873991317
0.92 | 1.08 | 0 | 70 | 0.3839526988978532 ± 0.005476176886276677 | 0.08741100962060301 ± 0.0023650390120992515 | 1.5040447816751414 ± 0.004816191208022791 | 3.848089055097727 ± 0.03831682157728959 | 0.9308885691766944
0.92 | 1.08 | 0 | 90 | 0.3839163863131358 ± 0.004981603698686647 | 0.08740614239789089 ± 0.002157220317309645 | 1.5055844247349495 ± 0.0027761902980372177 | 3.8363015854735316 ± 0.0321607778847674 | 0.9229280846207121
0.92 | 1.08 | 0 | 150 | 0.3838358234368134 ± 0.0008173904053971905 | 0.0873727373410954 ± 0.0003599532949212711 | 1.5058884636080399 ± 0.021273085924945256 | 3.8420016503401078 ± 0.03135011202564945 | 0.9188558027957523
0.92 | 1.08 | 0 | 200 | 0.3818974031270276 ± 0.0028392407471083034 | 0.08649817874698255 ± 0.0012514056881874 | 1.5035090579167885 ± 0.004468508677540228 | 3.84546720319868 ± 0.03713355710675789 | 0.8809388887232068
0.92 | 1.08 | 1 | 70 | 0.38395269890044514 ± 0.005474231902031292 | 0.08741100962181046 ± 0.0023642244479727056 | 1.5040447817020057 ± 0.004809678732812794 | 3.848089052647648 ± 0.03829186542569713 | 0.9308885693395307
0.92 | 1.08 | 1 | 90 | 0.383916386277594 ± 0.004980580012242615 | 0.08740614209784703 ± 0.0021567906650468635 | 1.505584442040301 ± 0.002770624219149753 | 3.836301469747239 ± 0.0321560660324289 | 0.9229279421786801
0.92 | 1.08 | 1 | 150 | 0.38387775199893814 ± 0.007960730729717352 | 0.0873948966629176 ± 0.0033575422171552294 | 1.5058847954706296 ± 0.004365118983560956 | 3.8412454053662057 ± 0.03119728527452699 | 0.9194679828949439
0.92 | 1.08 | 1 | 200 | 0.38198872842938 ± 0.0022723099338264317 | 0.08654989398144886 ± 0.001002966591043028 | 1.5041208628933072 ± 0.0034324313772692294 | 3.844445914806223 ± 0.03472997872994121 | 0.8820880123654847
