Otimização para log em TOTEM - Limites: eps_1_mg_1_a1_1_a2_0
Configuração: down | up | strategy | migrad | mg ± error | eps ± error | a1 ± error | a2 ± error | χ²/ndof
========================================================================================================================
0.96 | 1.04 | 0 | 700 | 0.3789269933585959 ± 7.93604040828233e-05 | 0.08563200002170536 ± 0.0005094913529655118 | 1.5506399968848275 ± 0.005865931563348803 | 3.649340944985117 ± 0.031334548621725924 | 0.6110324390863872
0.96 | 1.04 | 0 | 800 | 0.3789269933585959 ± 7.93604040828233e-05 | 0.08563200002170536 ± 0.0005094913529655118 | 1.5506399968848275 ± 0.005865931563348803 | 3.649340944985117 ± 0.031334548621725924 | 0.6110324390863872
0.96 | 1.04 | 1 | 700 | 0.37892700284673353 ± 7.960984387017644e-05 | 0.08563200433681009 ± 0.0004934614350132344 | 1.5506399997894291 ± 0.00582681831865306 | 3.6493060713195358 ± 0.03133460549132237 | 0.6110326600132949
0.96 | 1.04 | 1 | 800 | 0.37892700284673353 ± 7.960984387017644e-05 | 0.08563200433681009 ± 0.0004934614350132344 | 1.5506399997894291 ± 0.00582681831865306 | 3.6493060713195358 ± 0.03133460549132237 | 0.6110326600132949
0.96 | 1.04 | 2 | 700 | 0.37892693096857155 ± 7.934036989926119e-05 | 0.08563200052487399 ± 0.0004835494957398101 | 1.5506399993896363 ± 0.00581525785405157 | 3.649324915169063 ± 0.03133463146647587 | 0.611032513433973
0.96 | 1.04 | 2 | 800 | 0.37892693096857155 ± 7.934036989926119e-05 | 0.08563200052487399 ± 0.0004835494957398101 | 1.5506399993896363 ± 0.00581525785405157 | 3.649324915169063 ± 0.03133463146647587 | 0.611032513433973
0.97 | 1.03 | 0 | 600 | 0.38125558927965036 ± 8.143275991748244e-05 | 0.08652400008253067 ± 0.00042489740437728907 | 1.5357299993447502 ± 0.005028158206131117 | 3.713687416762728 ± 0.031225368005842847 | 0.7180872279575715
0.97 | 1.03 | 0 | 700 | 0.38125558927965036 ± 8.143275991748244e-05 | 0.08652400008253067 ± 0.00042489740437728907 | 1.5357299993447502 ± 0.005028158206131117 | 3.713687416762728 ± 0.031225368005842847 | 0.7180872279575715
0.97 | 1.03 | 0 | 800 | 0.38125558927965036 ± 8.143275991748244e-05 | 0.08652400008253067 ± 0.00042489740437728907 | 1.5357299993447502 ± 0.005028158206131117 | 3.713687416762728 ± 0.031225368005842847 | 0.7180872279575715
0.97 | 1.03 | 1 | 600 | 0.3812554722477636 ± 8.136586409870916e-05 | 0.08652400003020651 ± 0.00041148878655609955 | 1.5357299994179832 ± 0.005011090007791652 | 3.7137191159412763 ± 0.031225211499857974 | 0.7180873397933731
0.97 | 1.03 | 1 | 700 | 0.3812554722477636 ± 8.136586409870916e-05 | 0.08652400003020651 ± 0.00041148878655609955 | 1.5357299994179832 ± 0.005011090007791652 | 3.7137191159412763 ± 0.031225211499857974 | 0.7180873397933731
0.97 | 1.03 | 1 | 800 | 0.3812554722477636 ± 8.136586409870916e-05 | 0.08652400003020651 ± 0.00041148878655609955 | 1.5357299994179832 ± 0.005011090007791652 | 3.7137191159412763 ± 0.031225211499857974 | 0.7180873397933731
0.97 | 1.03 | 2 | 600 | 0.3812557471056157 ± 8.144506129384443e-05 | 0.08652400107847 ± 0.0004561319091214641 | 1.5357299973195515 ± 0.005079349590749405 | 3.7136770051716446 ± 0.031224804964418724 | 0.718087236451825
0.97 | 1.03 | 2 | 700 | 0.3812557471056157 ± 8.144506129384443e-05 | 0.08652400107847 ± 0.0004561319091214641 | 1.5357299973195515 ± 0.005079349590749405 | 3.7136770051716446 ± 0.031224804964418724 | 0.718087236451825
0.97 | 1.03 | 2 | 800 | 0.3812557471056157 ± 8.144506129384443e-05 | 0.08652400107847 ± 0.0004561319091214641 | 1.5357299973195515 ± 0.005079349590749405 | 3.7136770051716446 ± 0.031224804964418724 | 0.718087236451825
0.98 | 1.02 | 0 | 400 | 0.38359840658113536 ± 8.351997097771902e-05 | 0.08741600012239306 ± 0.0003890353596805521 | 1.5208199992116027 ± 0.004439510780049449 | 3.777755458461335 ± 0.0311195610072544 | 0.8399232681608058
0.98 | 1.02 | 0 | 500 | 0.38359840658113536 ± 8.351997097771902e-05 | 0.08741600012239306 ± 0.0003890353596805521 | 1.5208199992116027 ± 0.004439510780049449 | 3.777755458461335 ± 0.0311195610072544 | 0.8399232681608058
0.98 | 1.02 | 0 | 600 | 0.38359840658113536 ± 8.351997097771902e-05 | 0.08741600012239306 ± 0.0003890353596805521 | 1.5208199992116027 ± 0.004439510780049449 | 3.777755458461335 ± 0.0311195610072544 | 0.8399232681608058
0.98 | 1.02 | 0 | 700 | 0.38359840658113536 ± 8.351997097771902e-05 | 0.08741600012239306 ± 0.0003890353596805521 | 1.5208199992116027 ± 0.004439510780049449 | 3.777755458461335 ± 0.0311195610072544 | 0.8399232681608058
0.98 | 1.02 | 0 | 800 | 0.38359840658113536 ± 8.351997097771902e-05 | 0.08741600012239306 ± 0.0003890353596805521 | 1.5208199992116027 ± 0.004439510780049449 | 3.777755458461335 ± 0.0311195610072544 | 0.8399232681608058
