Otimização para pl em ATLAS - Limites: eps_1_mg_0_a1_1_a2_1
Configuração: down | up | strategy | migrad | mg ± error | eps ± error | a1 ± error | a2 ± error | χ²/ndof
========================================================================================================================
0.97 | 1.03 | 0 | 300 | 0.415992640785448 ± 0.00044258157299643355 | 0.07304100203907143 ± 0.002824024651953 | 1.5625099948178442 ± 0.060617899004385856 | 2.1114982157562636 ± 0.12291220271468839 | 0.5130799749252799
0.97 | 1.03 | 0 | 400 | 0.415992640785448 ± 0.00044258157299643355 | 0.07304100203907143 ± 0.002824024651953 | 1.5625099948178442 ± 0.060617899004385856 | 2.1114982157562636 ± 0.12291220271468839 | 0.5130799749252799
0.97 | 1.03 | 0 | 500 | 0.415992640785448 ± 0.00044258157299643355 | 0.07304100203907143 ± 0.002824024651953 | 1.5625099948178442 ± 0.060617899004385856 | 2.1114982157562636 ± 0.12291220271468839 | 0.5130799749252799
0.97 | 1.03 | 0 | 600 | 0.415992640785448 ± 0.00044258157299643355 | 0.07304100203907143 ± 0.002824024651953 | 1.5625099948178442 ± 0.060617899004385856 | 2.1114982157562636 ± 0.12291220271468839 | 0.5130799749252799
0.97 | 1.03 | 0 | 700 | 0.415992640785448 ± 0.00044258157299643355 | 0.07304100203907143 ± 0.002824024651953 | 1.5625099948178442 ± 0.060617899004385856 | 2.1114982157562636 ± 0.12291220271468839 | 0.5130799749252799
0.97 | 1.03 | 0 | 800 | 0.415992640785448 ± 0.00044258157299643355 | 0.07304100203907143 ± 0.002824024651953 | 1.5625099948178442 ± 0.060617899004385856 | 2.1114982157562636 ± 0.12291220271468839 | 0.5130799749252799
0.97 | 1.03 | 1 | 300 | 0.41599261322076964 ± 0.000442477739868564 | 0.07304100189304967 ± 0.0028234721802635337 | 1.562509994640145 ± 0.06061684107475451 | 2.1114986211907736 ± 0.12290930600938843 | 0.5130798677838175
0.97 | 1.03 | 1 | 400 | 0.41599261322076964 ± 0.000442477739868564 | 0.07304100189304967 ± 0.0028234721802635337 | 1.562509994640145 ± 0.06061684107475451 | 2.1114986211907736 ± 0.12290930600938843 | 0.5130798677838175
0.97 | 1.03 | 1 | 500 | 0.41599261322076964 ± 0.000442477739868564 | 0.07304100189304967 ± 0.0028234721802635337 | 1.562509994640145 ± 0.06061684107475451 | 2.1114986211907736 ± 0.12290930600938843 | 0.5130798677838175
0.97 | 1.03 | 1 | 600 | 0.41599261322076964 ± 0.000442477739868564 | 0.07304100189304967 ± 0.0028234721802635337 | 1.562509994640145 ± 0.06061684107475451 | 2.1114986211907736 ± 0.12290930600938843 | 0.5130798677838175
0.97 | 1.03 | 1 | 700 | 0.41599261322076964 ± 0.000442477739868564 | 0.07304100189304967 ± 0.0028234721802635337 | 1.562509994640145 ± 0.06061684107475451 | 2.1114986211907736 ± 0.12290930600938843 | 0.5130798677838175
0.97 | 1.03 | 1 | 800 | 0.41599261322076964 ± 0.000442477739868564 | 0.07304100189304967 ± 0.0028234721802635337 | 1.562509994640145 ± 0.06061684107475451 | 2.1114986211907736 ± 0.12290930600938843 | 0.5130798677838175
0.97 | 1.03 | 2 | 300 | 0.4159913069658821 ± 0.00044249606961323484 | 0.07304100105404429 ± 0.002803349471825471 | 1.562509979536502 ± 0.06056687454167997 | 2.1114990679765393 ± 0.12284367418363362 | 0.5130800335863243
0.97 | 1.03 | 2 | 400 | 0.4159913069658821 ± 0.00044242147170551983 | 0.07304100105404429 ± 0.0028032533741130863 | 1.562509979536502 ± 0.060566923278035145 | 2.1114990679765393 ± 0.12284388643662292 | 0.5130800335863243
0.97 | 1.03 | 2 | 500 | 0.4159913069658821 ± 0.00044242147170551983 | 0.07304100105404429 ± 0.0028032533741130863 | 1.562509979536502 ± 0.060566923278035145 | 2.1114990679765393 ± 0.12284388643662292 | 0.5130800335863243
0.97 | 1.03 | 2 | 600 | 0.4159913069658821 ± 0.00044242147170551983 | 0.07304100105404429 ± 0.0028032533741130863 | 1.562509979536502 ± 0.060566923278035145 | 2.1114990679765393 ± 0.12284388643662292 | 0.5130800335863243
0.97 | 1.03 | 2 | 700 | 0.4159913069658821 ± 0.00044242147170551983 | 0.07304100105404429 ± 0.0028032533741130863 | 1.562509979536502 ± 0.060566923278035145 | 2.1114990679765393 ± 0.12284388643662292 | 0.5130800335863243
