Otimização para pl em ATLAS - Limites: eps_1_mg_1_a1_1_a2_0
Configuração: down | up | strategy | migrad | mg ± error | eps ± error | a1 ± error | a2 ± error | χ²/ndof
========================================================================================================================
0.97 | 1.03 | 0 | 600 | 0.41627622054044777 ± 0.000862478079935447 | 0.07304100141708518 ± 0.0029140214141336676 | 1.5625099929830117 ± 0.08415876179565729 | 2.2003511028666276 ± 0.2391031179688716 | 0.5030779988259659
0.97 | 1.03 | 0 | 700 | 0.41627622054044777 ± 0.000862478079935447 | 0.07304100141708518 ± 0.0029140214141336676 | 1.5625099929830117 ± 0.08415876179565729 | 2.2003511028666276 ± 0.2391031179688716 | 0.5030779988259659
0.97 | 1.03 | 0 | 800 | 0.41627622054044777 ± 0.000862478079935447 | 0.07304100141708518 ± 0.0029140214141336676 | 1.5625099929830117 ± 0.08415876179565729 | 2.2003511028666276 ± 0.2391031179688716 | 0.5030779988259659
0.97 | 1.03 | 1 | 600 | 0.4162762218696619 ± 0.0008624943108131999 | 0.07304100144399302 ± 0.0029137548538845925 | 1.5625099932622746 ± 0.08415852054777051 | 2.2003528410762017 ± 0.23912430401449883 | 0.5030779997461367
0.97 | 1.03 | 1 | 700 | 0.4162762218696619 ± 0.0008624943108131999 | 0.07304100144399302 ± 0.0029137548538845925 | 1.5625099932622746 ± 0.08415852054777051 | 2.2003528410762017 ± 0.23912430401449883 | 0.5030779997461367
0.97 | 1.03 | 1 | 800 | 0.4162762218696619 ± 0.0008624943108131999 | 0.07304100144399302 ± 0.0029137548538845925 | 1.5625099932622746 ± 0.08415852054777051 | 2.2003528410762017 ± 0.23912430401449883 | 0.5030779997461367
0.97 | 1.03 | 2 | 600 | 0.41627763371643284 ± 0.0008622732821967072 | 0.0730410016180014 ± 0.002925043169586722 | 1.5625099000235723 ± 0.08441741120574675 | 2.200683514184133 ± 0.23909789555325292 | 0.503078053322657
0.97 | 1.03 | 2 | 700 | 0.41627763371643284 ± 0.0008622732821967072 | 0.0730410016180014 ± 0.002925043169586722 | 1.5625099000235723 ± 0.08441741120574675 | 2.200683514184133 ± 0.23909789555325292 | 0.503078053322657
0.97 | 1.03 | 2 | 800 | 0.41627763371643284 ± 0.0008622732821967072 | 0.0730410016180014 ± 0.002925043169586722 | 1.5625099000235723 ± 0.08441741120574675 | 2.200683514184133 ± 0.23909789555325292 | 0.503078053322657
0.98 | 1.02 | 1 | 300 | 0.41872564643881094 ± 0.0008025227169059512 | 0.07379400270341444 ± 0.0020794862446260956 | 1.5473399661183302 ± 0.056959050194678285 | 2.336211065158613 ± 0.23768768972763638 | 0.5524142682104123
0.98 | 1.02 | 1 | 400 | 0.41872564643881094 ± 0.0008025227169059512 | 0.07379400270341444 ± 0.0020794862446260956 | 1.5473399661183302 ± 0.056959050194678285 | 2.336211065158613 ± 0.23768768972763638 | 0.5524142682104123
