Otimização para pl em TOTEM - Limites: eps_1_mg_1_a1_0_a2_1
Configuração: down | up | strategy | migrad | mg ± error | eps ± error | a1 ± error | a2 ± error | χ²/ndof
========================================================================================================================
0.98 | 1.02 | 0 | 600 | 0.4523791400574261 ± 0.0002709077329748344 | 0.09098399551571895 ± 0.0024960198362050934 | 1.763492314068438 ± 0.006852076870431019 | 1.733999992978777 ± 0.04863488132690097 | 0.7836755303585673
0.98 | 1.02 | 0 | 700 | 0.4523791400574261 ± 0.0002709077329748344 | 0.09098399551571895 ± 0.0024960198362050934 | 1.763492314068438 ± 0.006852076870431019 | 1.733999992978777 ± 0.04863488132690097 | 0.7836755303585673
0.98 | 1.02 | 0 | 800 | 0.4523791400574261 ± 0.0002709077329748344 | 0.09098399551571895 ± 0.0024960198362050934 | 1.763492314068438 ± 0.006852076870431019 | 1.733999992978777 ± 0.04863488132690097 | 0.7836755303585673
0.98 | 1.02 | 1 | 600 | 0.45237891140636255 ± 0.00027416673548413817 | 0.09098395293212987 ± 0.0025642787897735206 | 1.7634915955377062 ± 0.006851798992066044 | 1.7339999123401593 ± 0.04864365387871272 | 0.7836759401506144
0.98 | 1.02 | 1 | 700 | 0.4523791549989592 ± 0.0002711961979657007 | 0.09098399713912958 ± 0.002515299238681469 | 1.763492527345044 ± 0.006853274470321885 | 1.7339999529063657 ± 0.048655138266448295 | 0.783675562923253
0.98 | 1.02 | 1 | 800 | 0.4523791549989592 ± 0.0002711961979657007 | 0.09098399713912958 ± 0.002515299238681469 | 1.763492527345044 ± 0.006853274470321885 | 1.7339999529063657 ± 0.048655138266448295 | 0.783675562923253
0.98 | 1.02 | 2 | 600 | 0.4523791682170081 ± 0.0002710268553587636 | 0.09098399999586765 ± 0.002725756844978569 | 1.7634877894115435 ± 0.006852768648666784 | 1.733999869438635 ± 0.04863371128691352 | 0.783675474596055
0.98 | 1.02 | 2 | 700 | 0.4523791682170081 ± 0.0002710268553587636 | 0.09098399999586765 ± 0.002725756844978569 | 1.7634877894115435 ± 0.006852768648666784 | 1.733999869438635 ± 0.04863371128691352 | 0.783675474596055
0.98 | 1.02 | 2 | 800 | 0.4523791682170081 ± 0.0002710268553587636 | 0.09098399999586765 ± 0.002725756844978569 | 1.7634877894115435 ± 0.006852768648666784 | 1.733999869438635 ± 0.04863371128691352 | 0.783675474596055
0.99 | 1.01 | 0 | 500 | 0.4497571335946986 ± 0.00026900283188160956 | 0.09009198021930817 ± 0.0014183450970404465 | 1.763757578390121 ± 0.00684997377686536 | 1.7169999487029421 ± 0.02841650700489451 | 0.8072087959913615
0.99 | 1.01 | 0 | 600 | 0.4497571335946986 ± 0.00026900283188160956 | 0.09009198021930817 ± 0.0014183450970404465 | 1.763757578390121 ± 0.00684997377686536 | 1.7169999487029421 ± 0.02841650700489451 | 0.8072087959913615
0.99 | 1.01 | 0 | 700 | 0.4497571335946986 ± 0.00026900283188160956 | 0.09009198021930817 ± 0.0014183450970404465 | 1.763757578390121 ± 0.00684997377686536 | 1.7169999487029421 ± 0.02841650700489451 | 0.8072087959913615
0.99 | 1.01 | 0 | 800 | 0.4497571335946986 ± 0.00026900283188160956 | 0.09009198021930817 ± 0.0014183450970404465 | 1.763757578390121 ± 0.00684997377686536 | 1.7169999487029421 ± 0.02841650700489451 | 0.8072087959913615
0.99 | 1.01 | 1 | 500 | 0.4497569445665911 ± 0.00026903742836084654 | 0.09009198934482368 ± 0.0014641655871257056 | 1.763762323384459 ± 0.006851326441515955 | 1.7169999369553754 ± 0.028465660787391323 | 0.8072086546030377
0.99 | 1.01 | 1 | 600 | 0.4497569445665911 ± 0.00026903742836084654 | 0.09009198934482368 ± 0.0014641655871257056 | 1.763762323384459 ± 0.006851326441515955 | 1.7169999369553754 ± 0.028465660787391323 | 0.8072086546030377
0.99 | 1.01 | 1 | 700 | 0.4497569445665911 ± 0.00026903742836084654 | 0.09009198934482368 ± 0.0014641655871257056 | 1.763762323384459 ± 0.006851326441515955 | 1.7169999369553754 ± 0.028465660787391323 | 0.8072086546030377
0.99 | 1.01 | 1 | 800 | 0.4497569445665911 ± 0.00026903742836084654 | 0.09009198934482368 ± 0.0014641655871257056 | 1.763762323384459 ± 0.006851326441515955 | 1.7169999369553754 ± 0.028465660787391323 | 0.8072086546030377
0.99 | 1.01 | 2 | 500 | 0.4497571403952569 ± 0.00030115601895316924 | 0.09009199721049901 ± 0.001259073302743094 | 1.7637583151610254 ± 0.006854195993490959 | 1.7169999380443086 ± 0.0284579808956662 | 0.807208540858388
0.99 | 1.01 | 2 | 600 | 0.4497571403952569 ± 0.00030115601895316924 | 0.09009199721049901 ± 0.001259073302743094 | 1.7637583151610254 ± 0.006854195993490959 | 1.7169999380443086 ± 0.0284579808956662 | 0.807208540858388
0.99 | 1.01 | 2 | 700 | 0.4497571403952569 ± 0.00030115601895316924 | 0.09009199721049901 ± 0.001259073302743094 | 1.7637583151610254 ± 0.006854195993490959 | 1.7169999380443086 ± 0.0284579808956662 | 0.807208540858388
0.99 | 1.01 | 2 | 800 | 0.4497571403952569 ± 0.00030115601895316924 | 0.09009199721049901 ± 0.001259073302743094 | 1.7637583151610254 ± 0.006854195993490959 | 1.7169999380443086 ± 0.0284579808956662 | 0.807208540858388
