down | strategy | ncall | sigma_tot
0.98 | 0.00 | 300 | 104.203
0.98 | 0.00 | 400 | 104.203
0.98 | 0.00 | 500 | 104.203
0.98 | 0.00 | 600 | 104.203
0.98 | 0.00 | 700 | 104.203
0.98 | 0.00 | 800 | 104.203
0.98 | 1.00 | 300 | 104.203
0.98 | 1.00 | 400 | 104.203
0.98 | 1.00 | 500 | 104.203
0.98 | 1.00 | 600 | 104.203
0.98 | 1.00 | 700 | 104.203
0.98 | 1.00 | 800 | 104.203
0.98 | 2.00 | 500 | 104.203
0.98 | 2.00 | 600 | 104.203
0.98 | 2.00 | 700 | 104.203
0.98 | 2.00 | 800 | 104.203
0.99 | 0.00 | 200 | 104.243
0.99 | 0.00 | 300 | 104.243
0.99 | 0.00 | 400 | 104.243
0.99 | 0.00 | 500 | 104.243
0.99 | 0.00 | 600 | 104.243
0.99 | 0.00 | 700 | 104.243
0.99 | 0.00 | 800 | 104.243
0.99 | 1.00 | 200 | 104.243
0.99 | 1.00 | 300 | 104.243
0.99 | 1.00 | 400 | 104.243
0.99 | 1.00 | 500 | 104.243
0.99 | 1.00 | 600 | 104.243
0.99 | 1.00 | 700 | 104.243
0.99 | 1.00 | 800 | 104.243
0.99 | 2.00 | 400 | 104.243
0.99 | 2.00 | 500 | 104.243
0.99 | 2.00 | 600 | 104.243
0.99 | 2.00 | 700 | 104.243
0.99 | 2.00 | 800 | 104.243
