Otimização para pl em ATLAS - Limites: eps_1_mg_1_a1_1_a2_0
Configuração: down | up | strategy | migrad | mg ± error | eps ± error | a1 ± error | a2 ± error | χ²/ndof
========================================================================================================================
0.97 | 1.03 | 0 | 300 | 0.41627622054044777 ± 0.000862478079935447 | 0.07304100141708518 ± 0.0029140214141336676 | 1.5625099929830117 ± 0.08415876179565729 | 2.2003511028666276 ± 0.2391031179688716 | 0.5030779988259659
0.97 | 1.03 | 0 | 400 | 0.41627622054044777 ± 0.000862478079935447 | 0.07304100141708518 ± 0.0029140214141336676 | 1.5625099929830117 ± 0.08415876179565729 | 2.2003511028666276 ± 0.2391031179688716 | 0.5030779988259659
0.97 | 1.03 | 0 | 500 | 0.41627622054044777 ± 0.000862478079935447 | 0.07304100141708518 ± 0.0029140214141336676 | 1.5625099929830117 ± 0.08415876179565729 | 2.2003511028666276 ± 0.2391031179688716 | 0.5030779988259659
0.97 | 1.03 | 0 | 600 | 0.41627622054044777 ± 0.000862478079935447 | 0.07304100141708518 ± 0.0029140214141336676 | 1.5625099929830117 ± 0.08415876179565729 | 2.2003511028666276 ± 0.2391031179688716 | 0.5030779988259659
0.97 | 1.03 | 0 | 700 | 0.41627622054044777 ± 0.000862478079935447 | 0.07304100141708518 ± 0.0029140214141336676 | 1.5625099929830117 ± 0.08415876179565729 | 2.2003511028666276 ± 0.2391031179688716 | 0.5030779988259659
0.97 | 1.03 | 0 | 800 | 0.41627622054044777 ± 0.000862478079935447 | 0.07304100141708518 ± 0.0029140214141336676 | 1.5625099929830117 ± 0.08415876179565729 | 2.2003511028666276 ± 0.2391031179688716 | 0.5030779988259659
0.97 | 1.03 | 1 | 300 | 0.4162762218696619 ± 0.0008624943108131999 | 0.07304100144399302 ± 0.0029137548538845925 | 1.5625099932622746 ± 0.08415852054777051 | 2.2003528410762017 ± 0.23912430401449883 | 0.5030779997461367
0.97 | 1.03 | 1 | 400 | 0.4162762218696619 ± 0.0008624943108131999 | 0.07304100144399302 ± 0.0029137548538845925 | 1.5625099932622746 ± 0.08415852054777051 | 2.2003528410762017 ± 0.23912430401449883 | 0.5030779997461367
0.97 | 1.03 | 1 | 500 | 0.4162762218696619 ± 0.0008624943108131999 | 0.07304100144399302 ± 0.0029137548538845925 | 1.5625099932622746 ± 0.08415852054777051 | 2.2003528410762017 ± 0.23912430401449883 | 0.5030779997461367
