down | strategy | ncall | sigma_tot
0.99 | 0.00 | 300 | 103.591
0.99 | 0.00 | 400 | 103.591
0.99 | 0.00 | 500 | 103.591
0.99 | 0.00 | 600 | 103.591
0.99 | 0.00 | 700 | 103.591
0.99 | 0.00 | 800 | 103.591
0.99 | 1.00 | 300 | 103.591
0.99 | 1.00 | 400 | 103.591
0.99 | 1.00 | 500 | 103.591
0.99 | 1.00 | 600 | 103.591
0.99 | 1.00 | 700 | 103.591
0.99 | 1.00 | 800 | 103.591
0.99 | 2.00 | 300 | 103.591
0.99 | 2.00 | 400 | 103.591
0.99 | 2.00 | 500 | 103.591
0.99 | 2.00 | 600 | 103.591
0.99 | 2.00 | 700 | 103.591
0.99 | 2.00 | 800 | 103.591
