Otimização para pl em TOTEM - Limites: eps_0_mg_1_a1_0_a2_1
Configuração: down | up | strategy | migrad | mg ± error | eps ± error | a1 ± error | a2 ± error | χ²/ndof
========================================================================================================================
0.9 | 1.1 | 0 | 300 | 0.45517184743336214 ± 0.009402522225476856 | 0.0916318834199942 ± 0.003356297213144963 | 1.7362884484446663 ± 0.014375269781870944 | 1.8699997398372863 ± 0.047099187492432804 | 0.7010444063832305
0.9 | 1.1 | 0 | 400 | 0.45517184743336214 ± 0.009402522225476856 | 0.0916318834199942 ± 0.003356297213144963 | 1.7362884484446663 ± 0.014375269781870944 | 1.8699997398372863 ± 0.047099187492432804 | 0.7010444063832305
0.9 | 1.1 | 0 | 500 | 0.45517184743336214 ± 0.009402522225476856 | 0.0916318834199942 ± 0.003356297213144963 | 1.7362884484446663 ± 0.014375269781870944 | 1.8699997398372863 ± 0.047099187492432804 | 0.7010444063832305
0.9 | 1.1 | 0 | 600 | 0.45517184743336214 ± 0.009402522225476856 | 0.0916318834199942 ± 0.003356297213144963 | 1.7362884484446663 ± 0.014375269781870944 | 1.8699997398372863 ± 0.047099187492432804 | 0.7010444063832305
0.9 | 1.1 | 0 | 700 | 0.45517184743336214 ± 0.009402522225476856 | 0.0916318834199942 ± 0.003356297213144963 | 1.7362884484446663 ± 0.014375269781870944 | 1.8699997398372863 ± 0.047099187492432804 | 0.7010444063832305
0.9 | 1.1 | 0 | 800 | 0.45517184743336214 ± 0.009402522225476856 | 0.0916318834199942 ± 0.003356297213144963 | 1.7362884484446663 ± 0.014375269781870944 | 1.8699997398372863 ± 0.047099187492432804 | 0.7010444063832305
0.9 | 1.1 | 1 | 300 | 0.45517184743336214 ± 0.009591307252928838 | 0.0916318834199942 ± 0.0034246280394356773 | 1.7362884484446663 ± 0.014588201815239468 | 1.8699997398372863 ± 0.047096293749732676 | 0.7010444063832305
0.9 | 1.1 | 1 | 400 | 0.45517184743336214 ± 0.009591307252928838 | 0.0916318834199942 ± 0.0034246280394356773 | 1.7362884484446663 ± 0.014588201815239468 | 1.8699997398372863 ± 0.047096293749732676 | 0.7010444063832305
0.9 | 1.1 | 1 | 500 | 0.45517184743336214 ± 0.009591307252928838 | 0.0916318834199942 ± 0.0034246280394356773 | 1.7362884484446663 ± 0.014588201815239468 | 1.8699997398372863 ± 0.047096293749732676 | 0.7010444063832305
0.9 | 1.1 | 1 | 600 | 0.45517184743336214 ± 0.009591307252928838 | 0.0916318834199942 ± 0.0034246280394356773 | 1.7362884484446663 ± 0.014588201815239468 | 1.8699997398372863 ± 0.047096293749732676 | 0.7010444063832305
0.9 | 1.1 | 1 | 700 | 0.45517184743336214 ± 0.009591307252928838 | 0.0916318834199942 ± 0.0034246280394356773 | 1.7362884484446663 ± 0.014588201815239468 | 1.8699997398372863 ± 0.047096293749732676 | 0.7010444063832305
0.9 | 1.1 | 1 | 800 | 0.45517184743336214 ± 0.009591307252928838 | 0.0916318834199942 ± 0.0034246280394356773 | 1.7362884484446663 ± 0.014588201815239468 | 1.8699997398372863 ± 0.047096293749732676 | 0.7010444063832305
0.9 | 1.1 | 2 | 200 | 0.45515736829675735 ± 0.009566727804623115 | 0.0916267611928531 ± 0.0034158748645521262 | 1.7362670403931282 ± 0.014563634546544567 | 1.8699996279551017 ± 0.04693088279388968 | 0.7010444149620453
0.9 | 1.1 | 2 | 300 | 0.45515736829675735 ± 0.009566727804623115 | 0.0916267611928531 ± 0.0034158748645521262 | 1.7362670403931282 ± 0.014563634546544567 | 1.8699996279551017 ± 0.04693088279388968 | 0.7010444149620453
0.9 | 1.1 | 2 | 400 | 0.45515736829675735 ± 0.009566727804623115 | 0.0916267611928531 ± 0.0034158748645521262 | 1.7362670403931282 ± 0.014563634546544567 | 1.8699996279551017 ± 0.04693088279388968 | 0.7010444149620453
0.9 | 1.1 | 2 | 500 | 0.45515736829675735 ± 0.009566727804623115 | 0.0916267611928531 ± 0.0034158748645521262 | 1.7362670403931282 ± 0.014563634546544567 | 1.8699996279551017 ± 0.04693088279388968 | 0.7010444149620453
0.9 | 1.1 | 2 | 600 | 0.45515736829675735 ± 0.009566727804623115 | 0.0916267611928531 ± 0.0034158748645521262 | 1.7362670403931282 ± 0.014563634546544567 | 1.8699996279551017 ± 0.04693088279388968 | 0.7010444149620453
0.9 | 1.1 | 2 | 700 | 0.45515736829675735 ± 0.009566727804623115 | 0.0916267611928531 ± 0.0034158748645521262 | 1.7362670403931282 ± 0.014563634546544567 | 1.8699996279551017 ± 0.04693088279388968 | 0.7010444149620453
0.9 | 1.1 | 2 | 800 | 0.45515736829675735 ± 0.009566727804623115 | 0.0916267611928531 ± 0.0034158748645521262 | 1.7362670403931282 ± 0.014563634546544567 | 1.8699996279551017 ± 0.04693088279388968 | 0.7010444149620453
0.91 | 1.0899999999999999 | 0 | 300 | 0.4556676834879245 ± 0.00931722428775994 | 0.09185012924867131 ± 0.003327841873171284 | 1.7408469979528067 ± 0.01431806285198255 | 1.8529999461675761 ± 0.04613612419655844 | 0.709303531557995
0.91 | 1.0899999999999999 | 0 | 400 | 0.4556676834879245 ± 0.00931722428775994 | 0.09185012924867131 ± 0.003327841873171284 | 1.7408469979528067 ± 0.01431806285198255 | 1.8529999461675761 ± 0.04613612419655844 | 0.709303531557995
0.91 | 1.0899999999999999 | 0 | 500 | 0.4556676834879245 ± 0.00931722428775994 | 0.09185012924867131 ± 0.003327841873171284 | 1.7408469979528067 ± 0.01431806285198255 | 1.8529999461675761 ± 0.04613612419655844 | 0.709303531557995
0.91 | 1.0899999999999999 | 0 | 600 | 0.4556676834879245 ± 0.00931722428775994 | 0.09185012924867131 ± 0.003327841873171284 | 1.7408469979528067 ± 0.01431806285198255 | 1.8529999461675761 ± 0.04613612419655844 | 0.709303531557995
0.91 | 1.0899999999999999 | 0 | 700 | 0.4556676834879245 ± 0.00931722428775994 | 0.09185012924867131 ± 0.003327841873171284 | 1.7408469979528067 ± 0.01431806285198255 | 1.8529999461675761 ± 0.04613612419655844 | 0.709303531557995
0.91 | 1.0899999999999999 | 0 | 800 | 0.4556676834879245 ± 0.00931722428775994 | 0.09185012924867131 ± 0.003327841873171284 | 1.7408469979528067 ± 0.01431806285198255 | 1.8529999461675761 ± 0.04613612419655844 | 0.709303531557995
0.91 | 1.0899999999999999 | 1 | 300 | 0.4556676834879245 ± 0.009725041091237063 | 0.09185012924867131 ± 0.0034763404868963757 | 1.7408469979528067 ± 0.014791897414883074 | 1.8529999461675761 ± 0.04613493217405007 | 0.709303531557995
0.91 | 1.0899999999999999 | 1 | 400 | 0.4556676834879245 ± 0.009725041091237063 | 0.09185012924867131 ± 0.0034763404868963757 | 1.7408469979528067 ± 0.014791897414883074 | 1.8529999461675761 ± 0.04613493217405007 | 0.709303531557995
