Otimização para log em TOTEM - Limites: mg=0, eps=0, a1=0, a2=0
Configuração: down | up | strategy | migrad | mg ± error | eps ± error | a1 ± error | a2 ± error | χ²/ndof
========================================================================================================================
0.9 | 1.1 | 0 | 70 | 0.3832721175581423 ± 0.006985240589801057 | 0.08769001940749095 ± 0.0033442553267802088 | 1.563179098709069 ± 0.05205338038918579 | 3.597501921247561 ± 0.22546158219313378 | 0.6591513852331171
0.9 | 1.1 | 1 | 70 | 0.38327211750485596 ± 0.006984221977339439 | 0.08769001943246187 ± 0.0033436871591016296 | 1.5631791034893707 ± 0.052047956707347715 | 3.5975019013709892 ± 0.2254391179470952 | 0.6591513674559492
0.9 | 1.1 | 2 | 150 | 0.3851834816183198 ± 0.005759448208619469 | 0.08910780139930709 ± 0.002769365134273665 | 1.615187845529705 ± 0.05031234089051527 | 3.4615696641553972 ± 0.21864687561929333 | 0.7360602900238712
0.91 | 1.0899999999999999 | 0 | 70 | 0.3832721175581423 ± 0.006985240589801057 | 0.08769001940749095 ± 0.0033442553267802088 | 1.563179098709069 ± 0.05205338038918579 | 3.597501921247561 ± 0.22546158219313378 | 0.6591513852331171
0.91 | 1.0899999999999999 | 1 | 70 | 0.38327211750485596 ± 0.006984221977339439 | 0.08769001943246187 ± 0.0033436871591016296 | 1.5631791034893707 ± 0.052047956707347715 | 3.5975019013709892 ± 0.2254391179470952 | 0.6591513674559492
0.91 | 1.0899999999999999 | 2 | 150 | 0.3851834816183198 ± 0.005759448208619469 | 0.08910780139930709 ± 0.002769365134273665 | 1.615187845529705 ± 0.05031234089051527 | 3.4615696641553972 ± 0.21864687561929333 | 0.7360602900238712
0.92 | 1.08 | 0 | 70 | 0.3832721175581423 ± 0.006985240589801057 | 0.08769001940749095 ± 0.0033442553267802088 | 1.563179098709069 ± 0.05205338038918579 | 3.597501921247561 ± 0.22546158219313378 | 0.6591513852331171
0.92 | 1.08 | 1 | 70 | 0.38327211750485596 ± 0.006984221977339439 | 0.08769001943246187 ± 0.0033436871591016296 | 1.5631791034893707 ± 0.052047956707347715 | 3.5975019013709892 ± 0.2254391179470952 | 0.6591513674559492
0.92 | 1.08 | 2 | 150 | 0.3851834816183198 ± 0.005759448208619469 | 0.08910780139930709 ± 0.002769365134273665 | 1.615187845529705 ± 0.05031234089051527 | 3.4615696641553972 ± 0.21864687561929333 | 0.7360602900238712
0.93 | 1.0699999999999998 | 0 | 70 | 0.3832721175581423 ± 0.006985240589801057 | 0.08769001940749095 ± 0.0033442553267802088 | 1.563179098709069 ± 0.05205338038918579 | 3.597501921247561 ± 0.22546158219313378 | 0.6591513852331171
