Otimização para pl em ATLAS - Limites: mg=1, eps=0, a1=1, a2=0
Configuração: down | up | strategy | migrad | mg ± error | eps ± error | a1 ± error | a2 ± error | χ²/ndof
========================================================================================================================
0.9 | 1.1 | 0 | 70 | 0.4114979875000739 ± 0.012132832309147551 | 0.07271673655128612 ± 0.005280764390989707 | 1.6620900121628177 ± 0.2827959866866234 | 1.4151084845687294 ± 0.5436846259159988 | 0.5031366098921434
0.9 | 1.1 | 1 | 70 | 0.41149799483641014 ± 0.012133662021619612 | 0.07271673828309798 ± 0.005281177260454347 | 1.6620899864718333 ± 0.2827999610327564 | 1.4151089076617585 ± 0.5436931948007794 | 0.5031366787873315
0.9 | 1.1 | 2 | 70 | 0.4196208756607677 ± 0.014793993281015855 | 0.0752908873276818 ± 0.005721679375347721 | 1.63356601338009 ± 0.06859055369894107 | 1.7391599537543043 ± 0.5781281166008968 | 0.6014950843343156
0.9 | 1.1 | 2 | 90 | 0.4155689303037412 ± 0.015091284521359022 | 0.07359430485067327 ± 0.006977844075416126 | 1.6281639990968657 ± 0.24590780950022573 | 1.7458424645599555 ± 0.7296133215273004 | 0.5232827737302104
0.9 | 1.1 | 2 | 100 | 0.4155689303037412 ± 0.015091284521359022 | 0.07359430485067327 ± 0.006977844075416126 | 1.6281639990968657 ± 0.24590780950022573 | 1.7458424645599555 ± 0.7296133215273004 | 0.5232827737302104
0.91 | 1.0899999999999999 | 0 | 70 | 0.412556008943396 ± 0.011436341440278663 | 0.07295090398372023 ± 0.004394549067220635 | 1.6510182172130596 ± 0.208118821195039 | 1.4937268877359513 ± 0.34196253741231286 | 0.506316127813819
0.91 | 1.0899999999999999 | 1 | 70 | 0.4125560120305217 ± 0.011435855133060446 | 0.07295090463515368 ± 0.004394354242213722 | 1.6510182099003115 ± 0.2081190399048134 | 1.493726964627537 ± 0.34196127433929524 | 0.5063162294935339
0.91 | 1.0899999999999999 | 2 | 70 | 0.41988110447977045 ± 0.01469193717627082 | 0.07528057062361211 ± 0.005649202451440932 | 1.6236928811481957 ± 0.05877574261006768 | 1.7895635752420607 ± 0.5310732746617692 | 0.6054587184532826
0.91 | 1.0899999999999999 | 2 | 90 | 0.4198852182727714 ± 0.014848585327268793 | 0.07526397673588517 ± 0.0058134216078065655 | 1.6236574037144706 ± 0.06077385051074158 | 1.789536142684941 ± 0.510302098626117 | 0.6046976427551264
0.91 | 1.0899999999999999 | 2 | 100 | 0.4163973016208631 ± 0.01442668864602717 | 0.07382549760918551 ± 0.005929123298201915 | 1.6190528031055813 ± 0.20643546424286163 | 1.8223649136890725 ± 0.6759437145358715 | 0.5240224631371331
0.92 | 1.08 | 0 | 70 | 0.41378686113872376 ± 0.01166465050796947 | 0.07321521518322606 ± 0.00439840694253363 | 1.6382067644314935 ± 0.16491706817615404 | 1.5943111979176965 ± 0.295099806314603 | 0.5111889252424466
