Otimização para pl em ATLAS - Limites: eps_1_mg_0_a1_0_a2_0
Configuração: down | up | strategy | migrad | mg ± error | eps ± error | a1 ± error | a2 ± error | χ²/ndof
========================================================================================================================
0.98 | 1.02 | 0 | 600 | 0.41627524823795103 ± 0.00416865052925382 | 0.07379400940337723 ± 0.0021895592963124405 | 1.6223294150036658 ± 0.11131838434389876 | 1.8229162728731279 ± 0.8074553637070863 | 0.5216593220871121
0.98 | 1.02 | 0 | 700 | 0.41627524823795103 ± 0.00416865052925382 | 0.07379400940337723 ± 0.0021895592963124405 | 1.6223294150036658 ± 0.11131838434389876 | 1.8229162728731279 ± 0.8074553637070863 | 0.5216593220871121
0.98 | 1.02 | 0 | 800 | 0.41627524823795103 ± 0.00416865052925382 | 0.07379400940337723 ± 0.0021895592963124405 | 1.6223294150036658 ± 0.11131838434389876 | 1.8229162728731279 ± 0.8074553637070863 | 0.5216593220871121
0.98 | 1.02 | 1 | 600 | 0.4162919585175535 ± 0.004179353140692252 | 0.07379400001150703 ± 0.002162566973291591 | 1.6218841330593265 ± 0.11174967073234907 | 1.8264363167050128 ± 0.8107857207073965 | 0.5216570315909879
0.98 | 1.02 | 1 | 700 | 0.4162919585175535 ± 0.004179353140692252 | 0.07379400001150703 ± 0.002162566973291591 | 1.6218841330593265 ± 0.11174967073234907 | 1.8264363167050128 ± 0.8107857207073965 | 0.5216570315909879
0.98 | 1.02 | 1 | 800 | 0.4162919585175535 ± 0.004179353140692252 | 0.07379400001150703 ± 0.002162566973291591 | 1.6218841330593265 ± 0.11174967073234907 | 1.8264363167050128 ± 0.8107857207073965 | 0.5216570315909879
0.98 | 1.02 | 2 | 800 | 0.4162915082873138 ± 0.004191488650873471 | 0.0737940001562238 ± 0.0021611981812564227 | 1.6218871481013404 ± 0.11204664714493111 | 1.8263398731446434 ± 0.8131016489825912 | 0.5216570472582416
0.99 | 1.01 | 0 | 400 | 0.41805474104973 ± 0.004180684977606534 | 0.07454700040530397 ± 0.0012824016846287034 | 1.6293459239244559 ± 0.11148453511454498 | 1.8083422485683784 ± 0.8084757748648183 | 0.55738321681831
0.99 | 1.01 | 0 | 500 | 0.41805474104973 ± 0.004180684977606534 | 0.07454700040530397 ± 0.0012824016846287034 | 1.6293459239244559 ± 0.11148453511454498 | 1.8083422485683784 ± 0.8084757748648183 | 0.55738321681831
0.99 | 1.01 | 0 | 600 | 0.41805474104973 ± 0.004180684977606534 | 0.07454700040530397 ± 0.0012824016846287034 | 1.6293459239244559 ± 0.11148453511454498 | 1.8083422485683784 ± 0.8084757748648183 | 0.55738321681831
0.99 | 1.01 | 0 | 700 | 0.41805474104973 ± 0.004180684977606534 | 0.07454700040530397 ± 0.0012824016846287034 | 1.6293459239244559 ± 0.11148453511454498 | 1.8083422485683784 ± 0.8084757748648183 | 0.55738321681831
0.99 | 1.01 | 0 | 800 | 0.41805474104973 ± 0.004180684977606534 | 0.07454700040530397 ± 0.0012824016846287034 | 1.6293459239244559 ± 0.11148453511454498 | 1.8083422485683784 ± 0.8084757748648183 | 0.55738321681831
0.99 | 1.01 | 1 | 400 | 0.41805481166492947 ± 0.004192420258045077 | 0.074547000442775 ± 0.0012823987398240255 | 1.6293445255160244 ± 0.11177780170494674 | 1.808355629270339 ± 0.8107442483566782 | 0.5573832155339541
0.99 | 1.01 | 1 | 500 | 0.41805481166492947 ± 0.004192420258045077 | 0.074547000442775 ± 0.0012823987398240255 | 1.6293445255160244 ± 0.11177780170494674 | 1.808355629270339 ± 0.8107442483566782 | 0.5573832155339541
0.99 | 1.01 | 1 | 600 | 0.41805481166492947 ± 0.004192420258045077 | 0.074547000442775 ± 0.0012823987398240255 | 1.6293445255160244 ± 0.11177780170494674 | 1.808355629270339 ± 0.8107442483566782 | 0.5573832155339541
0.99 | 1.01 | 1 | 700 | 0.41805481166492947 ± 0.004192420258045077 | 0.074547000442775 ± 0.0012823987398240255 | 1.6293445255160244 ± 0.11177780170494674 | 1.808355629270339 ± 0.8107442483566782 | 0.5573832155339541
0.99 | 1.01 | 1 | 800 | 0.41805481166492947 ± 0.004192420258045077 | 0.074547000442775 ± 0.0012823987398240255 | 1.6293445255160244 ± 0.11177780170494674 | 1.808355629270339 ± 0.8107442483566782 | 0.5573832155339541
0.99 | 1.01 | 2 | 400 | 0.4180555483655646 ± 0.004203333840994412 | 0.07454700000104691 ± 0.0012725524168244462 | 1.629339206534127 ± 0.11206023084515873 | 1.8087435674797068 ± 0.8130656295371889 | 0.5573831300653538
0.99 | 1.01 | 2 | 500 | 0.4180555483655646 ± 0.004203333840994412 | 0.07454700000104691 ± 0.0012725524168244462 | 1.629339206534127 ± 0.11206023084515873 | 1.8087435674797068 ± 0.8130656295371889 | 0.5573831300653538
0.99 | 1.01 | 2 | 600 | 0.4180555483655646 ± 0.004203333840994412 | 0.07454700000104691 ± 0.0012725524168244462 | 1.629339206534127 ± 0.11206023084515873 | 1.8087435674797068 ± 0.8130656295371889 | 0.5573831300653538
0.99 | 1.01 | 2 | 700 | 0.4180555483655646 ± 0.004203333840994412 | 0.07454700000104691 ± 0.0012725524168244462 | 1.629339206534127 ± 0.11206023084515873 | 1.8087435674797068 ± 0.8130656295371889 | 0.5573831300653538
0.99 | 1.01 | 2 | 800 | 0.4180555483655646 ± 0.004203333840994412 | 0.07454700000104691 ± 0.0012725524168244462 | 1.629339206534127 ± 0.11206023084515873 | 1.8087435674797068 ± 0.8130656295371889 | 0.5573831300653538
