Otimização para pl em TOTEM - Limites: eps_1_mg_1_a1_1_a2_0
Configuração: down | up | strategy | migrad | mg ± error | eps ± error | a1 ± error | a2 ± error | χ²/ndof
========================================================================================================================
0.97 | 1.03 | 0 | 600 | 0.4461058225324642 ± 0.006617597062359759 | 0.0874694341840251 ± 0.003082369027524401 | 1.6383307011978125 ± 0.022948347812181913 | 2.251234400525397 ± 0.0461606491415607 | 0.5565580418595645
0.97 | 1.03 | 0 | 700 | 0.4460716372437316 ± 0.007772086737940526 | 0.08745745783336104 ± 0.0029356343639743293 | 1.6383300060008548 ± 0.0207559100461282 | 2.2511639508017165 ± 0.0514104946632852 | 0.5565559398783902
0.97 | 1.03 | 0 | 800 | 0.4460716372437316 ± 0.007772086737940526 | 0.08745745783336104 ± 0.0029356343639743293 | 1.6383300060008548 ± 0.0207559100461282 | 2.2511639508017165 ± 0.0514104946632852 | 0.5565559398783902
0.97 | 1.03 | 1 | 600 | 0.4460728186908385 ± 0.0074074807632336925 | 0.08745789116597989 ± 0.0029872469047766345 | 1.6383300090474482 ± 0.021169661181343002 | 2.251162369194038 ± 0.049668873933731914 | 0.5565560272440037
0.97 | 1.03 | 1 | 700 | 0.4460728186908385 ± 0.0068338727635419705 | 0.08745789116597989 ± 0.003052034035297496 | 1.6383300090474482 ± 0.0211817935405737 | 2.251162369194038 ± 0.047071770353819015 | 0.5565560272440037
0.97 | 1.03 | 1 | 800 | 0.4460728186908385 ± 0.0068338727635419705 | 0.08745789116597989 ± 0.003052034035297496 | 1.6383300090474482 ± 0.0211817935405737 | 2.251162369194038 ± 0.047071770353819015 | 0.5565560272440037
0.97 | 1.03 | 2 | 600 | 0.4460876406598695 ± 0.008252568759304718 | 0.08746301402747453 ± 0.002864015828767885 | 1.6383300328217298 ± 0.020347090467804252 | 2.2512414221872166 ± 0.05382241811288844 | 0.5565561158296917
0.97 | 1.03 | 2 | 700 | 0.4460876406598695 ± 0.007368421831129873 | 0.08746301402747453 ± 0.002998157201636653 | 1.6383300328217298 ± 0.020369137813807336 | 2.2512414221872166 ± 0.04947803960827873 | 0.5565561158296917
0.97 | 1.03 | 2 | 800 | 0.4460876406598695 ± 0.007368421831129873 | 0.08746301402747453 ± 0.002998157201636653 | 1.6383300328217298 ± 0.020369137813807336 | 2.2512414221872166 ± 0.04947803960827873 | 0.5565561158296917
0.98 | 1.02 | 1 | 300 | 0.44818610348621074 ± 0.012941945418753042 | 0.08837014058529448 ± 0.0019502206548509954 | 1.6552200045940226 ± 0.042704644674611325 | 2.1897703933921004 ± 0.05409965797240973 | 0.575877935645474
0.98 | 1.02 | 1 | 400 | 0.44818610348621074 ± 0.0071069760265823345 | 0.08837014058529448 ± 0.0020364381219738076 | 1.6552200045940226 ± 0.04270748125186652 | 2.1897703933921004 ± 0.05156861436596431 | 0.575877935645474
0.98 | 1.02 | 1 | 500 | 0.44818610348621074 ± 0.0071069760265823345 | 0.08837014058529448 ± 0.0020364381219738076 | 1.6552200045940226 ± 0.04270748125186652 | 2.1897703933921004 ± 0.05156861436596431 | 0.575877935645474
0.98 | 1.02 | 1 | 600 | 0.44818610348621074 ± 0.0071069760265823345 | 0.08837014058529448 ± 0.0020364381219738076 | 1.6552200045940226 ± 0.04270748125186652 | 2.1897703933921004 ± 0.05156861436596431 | 0.575877935645474
0.98 | 1.02 | 1 | 700 | 0.44818610348621074 ± 0.0071069760265823345 | 0.08837014058529448 ± 0.0020364381219738076 | 1.6552200045940226 ± 0.04270748125186652 | 2.1897703933921004 ± 0.05156861436596431 | 0.575877935645474
0.98 | 1.02 | 1 | 800 | 0.44818610348621074 ± 0.0071069760265823345 | 0.08837014058529448 ± 0.0020364381219738076 | 1.6552200045940226 ± 0.04270748125186652 | 2.1897703933921004 ± 0.05156861436596431 | 0.575877935645474
0.98 | 1.02 | 2 | 700 | 0.4482141139637329 ± 0.0067361171814796506 | 0.0883798880199306 ± 0.002118396153553942 | 1.6552200475031347 ± 0.04299261461691217 | 2.189888968644049 ± 0.04922181357629117 | 0.5758779764092715
0.98 | 1.02 | 2 | 800 | 0.4482141139637329 ± 0.0067361171814796506 | 0.0883798880199306 ± 0.002118396153553942 | 1.6552200475031347 ± 0.04299261461691217 | 2.189888968644049 ± 0.04922181357629117 | 0.5758779764092715
0.99 | 1.01 | 1 | 400 | 0.45024129812615926 ± 0.0070968909960207605 | 0.08925949413496867 ± 0.001364973477880893 | 1.672110111783003 ± 0.025429670029860407 | 2.128250360099268 ± 0.03687694370989919 | 0.5970162105839164
0.99 | 1.01 | 1 | 500 | 0.4503397350474779 ± 0.008130309529746249 | 0.08929316325404214 ± 0.0013142822433099555 | 1.6721100054155713 ± 0.024505071741227402 | 2.128666966649223 ± 0.0425480718611687 | 0.5970091191122139
0.99 | 1.01 | 1 | 600 | 0.4503397350474779 ± 0.00837247791538806 | 0.08929316325404214 ± 0.0011561276563276726 | 1.6721100054155713 ± 0.024507315823804166 | 2.128666966649223 ± 0.047130373748614174 | 0.5970091191122139
0.99 | 1.01 | 1 | 700 | 0.4503397350474779 ± 0.00837247791538806 | 0.08929316325404214 ± 0.0011561276563276726 | 1.6721100054155713 ± 0.024507315823804166 | 2.128666966649223 ± 0.047130373748614174 | 0.5970091191122139
0.99 | 1.01 | 1 | 800 | 0.4503397350474779 ± 0.00837247791538806 | 0.08929316325404214 ± 0.0011561276563276726 | 1.6721100054155713 ± 0.024507315823804166 | 2.128666966649223 ± 0.047130373748614174 | 0.5970091191122139
0.99 | 1.01 | 2 | 300 | 0.450370830202053 ± 0.00790671541862678 | 0.08930394721009742 ± 0.0013675238089544545 | 1.67211000431701 ± 0.024680374340168454 | 2.128842609904982 ± 0.040482954148573606 | 0.5970091891274985
0.99 | 1.01 | 2 | 400 | 0.450370830202053 ± 0.008267138343396652 | 0.08930394721009742 ± 0.0012840650403425635 | 1.67211000431701 ± 0.024682442166745866 | 2.128842609904982 ± 0.04385069925309867 | 0.5970091891274985
0.99 | 1.01 | 2 | 500 | 0.450370830202053 ± 0.008267138343396652 | 0.08930394721009742 ± 0.0012840650403425635 | 1.67211000431701 ± 0.024682442166745866 | 2.128842609904982 ± 0.04385069925309867 | 0.5970091891274985
0.99 | 1.01 | 2 | 600 | 0.450370830202053 ± 0.008267138343396652 | 0.08930394721009742 ± 0.0012840650403425635 | 1.67211000431701 ± 0.024682442166745866 | 2.128842609904982 ± 0.04385069925309867 | 0.5970091891274985
0.99 | 1.01 | 2 | 700 | 0.450370830202053 ± 0.008267138343396652 | 0.08930394721009742 ± 0.0012840650403425635 | 1.67211000431701 ± 0.024682442166745866 | 2.128842609904982 ± 0.04385069925309867 | 0.5970091891274985
0.99 | 1.01 | 2 | 800 | 0.450370830202053 ± 0.008267138343396652 | 0.08930394721009742 ± 0.0012840650403425635 | 1.67211000431701 ± 0.024682442166745866 | 2.128842609904982 ± 0.04385069925309867 | 0.5970091891274985
