Otimização para log em ATLAS - Limites: eps_1_mg_1_a1_0_a2_0
Configuração: down | up | strategy | migrad | mg ± error | eps ± error | a1 ± error | a2 ± error | χ²/ndof
========================================================================================================================
0.98 | 1.02 | 0 | 300 | 0.3561898274193416 ± 0.0029962971723384024 | 0.07379400016614099 ± 0.0021562990952656708 | 1.6936563885948703 ± 0.11793218131632192 | 2.714251644200712 ± 0.8653370666440491 | 0.5133643909246012
0.98 | 1.02 | 0 | 400 | 0.3561898274193416 ± 0.0029962971723384024 | 0.07379400016614099 ± 0.0021562990952656708 | 1.6936563885948703 ± 0.11793218131632192 | 2.714251644200712 ± 0.8653370666440491 | 0.5133643909246012
0.98 | 1.02 | 0 | 500 | 0.3561898274193416 ± 0.0029962971723384024 | 0.07379400016614099 ± 0.0021562990952656708 | 1.6936563885948703 ± 0.11793218131632192 | 2.714251644200712 ± 0.8653370666440491 | 0.5133643909246012
0.98 | 1.02 | 0 | 600 | 0.3561898274193416 ± 0.0029962971723384024 | 0.07379400016614099 ± 0.0021562990952656708 | 1.6936563885948703 ± 0.11793218131632192 | 2.714251644200712 ± 0.8653370666440491 | 0.5133643909246012
0.98 | 1.02 | 0 | 700 | 0.3561898274193416 ± 0.0029962971723384024 | 0.07379400016614099 ± 0.0021562990952656708 | 1.6936563885948703 ± 0.11793218131632192 | 2.714251644200712 ± 0.8653370666440491 | 0.5133643909246012
0.98 | 1.02 | 0 | 800 | 0.3561898274193416 ± 0.0029962971723384024 | 0.07379400016614099 ± 0.0021562990952656708 | 1.6936563885948703 ± 0.11793218131632192 | 2.714251644200712 ± 0.8653370666440491 | 0.5133643909246012
0.98 | 1.02 | 1 | 300 | 0.3561898174082104 ± 0.0029963029624646698 | 0.07379400016013603 ± 0.0021562531760594833 | 1.6936567183119158 ± 0.11793229657198141 | 2.714249301162676 ± 0.8653384763909151 | 0.5133643907188223
0.98 | 1.02 | 1 | 400 | 0.3561898174082104 ± 0.003002232159557805 | 0.07379400016013603 ± 0.0021563105106418914 | 1.6936567183119158 ± 0.1181679173449918 | 2.714249301162676 ± 0.867160277084665 | 0.5133643907188223
0.98 | 1.02 | 1 | 500 | 0.3561898174082104 ± 0.003002232159557805 | 0.07379400016013603 ± 0.0021563105106418914 | 1.6936567183119158 ± 0.1181679173449918 | 2.714249301162676 ± 0.867160277084665 | 0.5133643907188223
0.98 | 1.02 | 1 | 600 | 0.3561898174082104 ± 0.003002232159557805 | 0.07379400016013603 ± 0.0021563105106418914 | 1.6936567183119158 ± 0.1181679173449918 | 2.714249301162676 ± 0.867160277084665 | 0.5133643907188223
0.98 | 1.02 | 1 | 700 | 0.3561898174082104 ± 0.003002232159557805 | 0.07379400016013603 ± 0.0021563105106418914 | 1.6936567183119158 ± 0.1181679173449918 | 2.714249301162676 ± 0.867160277084665 | 0.5133643907188223
0.98 | 1.02 | 1 | 800 | 0.3561898174082104 ± 0.003002232159557805 | 0.07379400016013603 ± 0.0021563105106418914 | 1.6936567183119158 ± 0.1181679173449918 | 2.714249301162676 ± 0.867160277084665 | 0.5133643907188223
0.98 | 1.02 | 2 | 500 | 0.3561909563823728 ± 0.0030005931468426728 | 0.07379400784558623 ± 0.0021568567103510405 | 1.69367142961091 ± 0.11812033721685561 | 2.7146755225384207 ± 0.8667586052673415 | 0.5133650158303238
0.98 | 1.02 | 2 | 600 | 0.3561909563823728 ± 0.0030005931468426728 | 0.07379400784558623 ± 0.0021568567103510405 | 1.69367142961091 ± 0.11812033721685561 | 2.7146755225384207 ± 0.8667586052673415 | 0.5133650158303238
0.98 | 1.02 | 2 | 700 | 0.3561909563823728 ± 0.0030005931468426728 | 0.07379400784558623 ± 0.0021568567103510405 | 1.69367142961091 ± 0.11812033721685561 | 2.7146755225384207 ± 0.8667586052673415 | 0.5133650158303238
0.98 | 1.02 | 2 | 800 | 0.3561909563823728 ± 0.0030005931468426728 | 0.07379400784558623 ± 0.0021568567103510405 | 1.69367142961091 ± 0.11812033721685561 | 2.7146755225384207 ± 0.8667586052673415 | 0.5133650158303238
0.99 | 1.01 | 1 | 200 | 0.35761410210572114 ± 0.002624631668719013 | 0.07454700000840093 ± 0.0012731299631583357 | 1.6987631237763825 ± 0.11749047907293639 | 2.696993427415787 ± 0.8612108981334428 | 0.5494992230596866
0.99 | 1.01 | 1 | 300 | 0.35761410210572114 ± 0.002624631668719013 | 0.07454700000840093 ± 0.0012731299631583357 | 1.6987631237763825 ± 0.11749047907293639 | 2.696993427415787 ± 0.8612108981334428 | 0.5494992230596866
0.99 | 1.01 | 1 | 400 | 0.35761410210572114 ± 0.002624631668719013 | 0.07454700000840093 ± 0.0012731299631583357 | 1.6987631237763825 ± 0.11749047907293639 | 2.696993427415787 ± 0.8612108981334428 | 0.5494992230596866
0.99 | 1.01 | 1 | 500 | 0.35761410210572114 ± 0.002624631668719013 | 0.07454700000840093 ± 0.0012731299631583357 | 1.6987631237763825 ± 0.11749047907293639 | 2.696993427415787 ± 0.8612108981334428 | 0.5494992230596866
0.99 | 1.01 | 1 | 600 | 0.35761410210572114 ± 0.002624631668719013 | 0.07454700000840093 ± 0.0012731299631583357 | 1.6987631237763825 ± 0.11749047907293639 | 2.696993427415787 ± 0.8612108981334428 | 0.5494992230596866
