down | strategy | ncall | sigma_tot
0.92 | 0.00 | 400 | 102.543
0.92 | 0.00 | 500 | 102.543
0.92 | 0.00 | 600 | 102.543
0.92 | 0.00 | 700 | 102.543
0.92 | 0.00 | 800 | 102.543
0.92 | 1.00 | 400 | 102.543
0.92 | 1.00 | 500 | 102.543
0.92 | 1.00 | 600 | 102.543
0.92 | 1.00 | 700 | 102.543
0.92 | 1.00 | 800 | 102.543
0.92 | 2.00 | 600 | 102.543
0.92 | 2.00 | 700 | 102.543
0.92 | 2.00 | 800 | 102.543
0.93 | 0.00 | 400 | 102.438
0.93 | 0.00 | 500 | 102.438
0.93 | 0.00 | 600 | 102.438
0.93 | 0.00 | 700 | 102.438
0.93 | 0.00 | 800 | 102.438
0.93 | 1.00 | 400 | 102.438
0.93 | 1.00 | 500 | 102.438
0.93 | 1.00 | 600 | 102.438
0.93 | 1.00 | 700 | 102.438
0.93 | 1.00 | 800 | 102.438
0.93 | 2.00 | 500 | 102.440
0.93 | 2.00 | 600 | 102.440
0.93 | 2.00 | 700 | 102.440
0.93 | 2.00 | 800 | 102.440
0.94 | 0.00 | 400 | 102.334
0.94 | 0.00 | 500 | 102.334
0.94 | 0.00 | 600 | 102.334
0.94 | 0.00 | 700 | 102.334
0.94 | 0.00 | 800 | 102.334
0.94 | 1.00 | 400 | 102.334
0.94 | 1.00 | 500 | 102.334
0.94 | 1.00 | 600 | 102.334
0.94 | 1.00 | 700 | 102.334
0.94 | 1.00 | 800 | 102.334
0.94 | 2.00 | 500 | 102.334
0.94 | 2.00 | 600 | 102.334
0.94 | 2.00 | 700 | 102.334
0.94 | 2.00 | 800 | 102.334
0.95 | 0.00 | 300 | 102.231
0.95 | 0.00 | 400 | 102.231
0.95 | 0.00 | 500 | 102.231
0.95 | 0.00 | 600 | 102.231
0.95 | 0.00 | 700 | 102.231
0.95 | 0.00 | 800 | 102.231
0.95 | 1.00 | 300 | 102.231
0.95 | 1.00 | 400 | 102.231
0.95 | 1.00 | 500 | 102.231
0.95 | 1.00 | 600 | 102.231
0.95 | 1.00 | 700 | 102.231
0.95 | 1.00 | 800 | 102.231
0.95 | 2.00 | 400 | 102.231
0.95 | 2.00 | 500 | 102.231
0.95 | 2.00 | 600 | 102.231
0.95 | 2.00 | 700 | 102.231
0.95 | 2.00 | 800 | 102.231
0.96 | 0.00 | 300 | 102.128
0.96 | 0.00 | 400 | 102.128
0.96 | 0.00 | 500 | 102.128
0.96 | 0.00 | 600 | 102.128
0.96 | 0.00 | 700 | 102.128
0.96 | 0.00 | 800 | 102.128
0.96 | 1.00 | 300 | 102.127
0.96 | 1.00 | 400 | 102.127
0.96 | 1.00 | 500 | 102.127
0.96 | 1.00 | 600 | 102.127
0.96 | 1.00 | 700 | 102.127
0.96 | 1.00 | 800 | 102.127
0.96 | 2.00 | 400 | 102.129
0.96 | 2.00 | 500 | 102.129
0.96 | 2.00 | 600 | 102.129
0.96 | 2.00 | 700 | 102.129
0.96 | 2.00 | 800 | 102.129
0.97 | 0.00 | 200 | 102.024
0.97 | 0.00 | 300 | 102.025
0.97 | 0.00 | 400 | 102.025
0.97 | 0.00 | 500 | 102.025
0.97 | 0.00 | 600 | 102.025
0.97 | 0.00 | 700 | 102.025
0.97 | 0.00 | 800 | 102.025
0.97 | 1.00 | 300 | 102.025
0.97 | 1.00 | 400 | 102.025
0.97 | 1.00 | 500 | 102.025
0.97 | 1.00 | 600 | 102.025
0.97 | 1.00 | 700 | 102.025
0.97 | 1.00 | 800 | 102.025
0.97 | 2.00 | 300 | 102.025
0.97 | 2.00 | 400 | 102.025
0.97 | 2.00 | 500 | 102.025
0.97 | 2.00 | 600 | 102.025
0.97 | 2.00 | 700 | 102.025
0.97 | 2.00 | 800 | 102.025
0.98 | 0.00 | 200 | 101.922
0.98 | 0.00 | 300 | 101.922
0.98 | 0.00 | 400 | 101.922
0.98 | 0.00 | 500 | 101.922
0.98 | 0.00 | 600 | 101.922
0.98 | 0.00 | 700 | 101.922
0.98 | 0.00 | 800 | 101.922
0.98 | 1.00 | 200 | 101.922
0.98 | 1.00 | 300 | 101.922
0.98 | 1.00 | 400 | 101.922
0.98 | 1.00 | 500 | 101.922
0.98 | 1.00 | 600 | 101.922
0.98 | 1.00 | 700 | 101.922
0.98 | 1.00 | 800 | 101.922
0.98 | 2.00 | 400 | 101.923
0.98 | 2.00 | 500 | 101.923
0.98 | 2.00 | 600 | 101.923
0.98 | 2.00 | 700 | 101.923
0.98 | 2.00 | 800 | 101.923
