down | strategy | ncall | sigma_tot
0.96 | 0.00 | 700 | 107.362
0.96 | 0.00 | 800 | 107.362
0.96 | 1.00 | 700 | 107.362
0.96 | 1.00 | 800 | 107.362
0.96 | 2.00 | 700 | 107.362
0.96 | 2.00 | 800 | 107.362
0.97 | 0.00 | 600 | 107.025
0.97 | 0.00 | 700 | 107.025
0.97 | 0.00 | 800 | 107.025
0.97 | 1.00 | 600 | 107.025
0.97 | 1.00 | 700 | 107.025
0.97 | 1.00 | 800 | 107.025
0.97 | 2.00 | 600 | 107.025
0.97 | 2.00 | 700 | 107.025
0.97 | 2.00 | 800 | 107.025
0.98 | 0.00 | 400 | 106.691
0.98 | 0.00 | 500 | 106.691
0.98 | 0.00 | 600 | 106.691
0.98 | 0.00 | 700 | 106.691
0.98 | 0.00 | 800 | 106.691
0.98 | 1.00 | 400 | 106.690
0.98 | 1.00 | 500 | 106.691
0.98 | 1.00 | 600 | 106.691
0.98 | 1.00 | 700 | 106.691
0.98 | 1.00 | 800 | 106.691
0.98 | 2.00 | 600 | 106.690
0.98 | 2.00 | 700 | 106.690
0.98 | 2.00 | 800 | 106.690
