down | strategy | ncall | sigma_tot
0.97 | 0.00 | 300 | 103.586
0.97 | 0.00 | 400 | 103.586
0.97 | 0.00 | 500 | 103.586
0.97 | 0.00 | 600 | 103.586
0.97 | 0.00 | 700 | 103.586
0.97 | 0.00 | 800 | 103.586
0.97 | 1.00 | 300 | 103.586
0.97 | 1.00 | 400 | 103.586
0.97 | 1.00 | 500 | 103.586
0.97 | 1.00 | 600 | 103.586
0.97 | 1.00 | 700 | 103.586
0.97 | 1.00 | 800 | 103.586
0.97 | 2.00 | 300 | 103.586
0.97 | 2.00 | 400 | 103.586
0.97 | 2.00 | 500 | 103.586
0.97 | 2.00 | 600 | 103.586
0.97 | 2.00 | 700 | 103.586
0.97 | 2.00 | 800 | 103.586
0.98 | 0.00 | 300 | 103.446
0.98 | 0.00 | 400 | 103.446
0.98 | 0.00 | 500 | 103.446
0.98 | 0.00 | 600 | 103.446
0.98 | 0.00 | 700 | 103.446
0.98 | 0.00 | 800 | 103.446
0.98 | 1.00 | 300 | 103.446
0.98 | 1.00 | 400 | 103.446
0.98 | 1.00 | 500 | 103.446
0.98 | 1.00 | 600 | 103.446
0.98 | 1.00 | 700 | 103.446
0.98 | 1.00 | 800 | 103.446
0.98 | 2.00 | 300 | 103.447
0.98 | 2.00 | 400 | 103.447
0.98 | 2.00 | 500 | 103.447
0.98 | 2.00 | 600 | 103.447
0.98 | 2.00 | 700 | 103.447
0.98 | 2.00 | 800 | 103.447
0.99 | 0.00 | 200 | 103.307
0.99 | 0.00 | 300 | 103.307
0.99 | 0.00 | 400 | 103.307
0.99 | 0.00 | 500 | 103.307
0.99 | 0.00 | 600 | 103.307
0.99 | 0.00 | 700 | 103.307
0.99 | 0.00 | 800 | 103.307
0.99 | 1.00 | 200 | 103.307
0.99 | 1.00 | 300 | 103.307
0.99 | 1.00 | 400 | 103.307
0.99 | 1.00 | 500 | 103.307
0.99 | 1.00 | 600 | 103.307
0.99 | 1.00 | 700 | 103.307
0.99 | 1.00 | 800 | 103.307
0.99 | 2.00 | 200 | 103.305
0.99 | 2.00 | 300 | 103.307
0.99 | 2.00 | 400 | 103.307
0.99 | 2.00 | 500 | 103.307
0.99 | 2.00 | 600 | 103.307
0.99 | 2.00 | 700 | 103.307
0.99 | 2.00 | 800 | 103.307
