Otimização para pl em TOTEM - Limites: eps_0_mg_1_a1_1_a2_0
Configuração: down | up | strategy | migrad | mg ± error | eps ± error | a1 ± error | a2 ± error | χ²/ndof
========================================================================================================================
0.94 | 1.06 | 1 | 600 | 0.4397445218537104 ± 0.007433596174878265 | 0.08470484758524165 ± 0.002678370505092702 | 1.5876600199947994 ± 0.029086527192990097 | 2.4360491406321536 ± 0.047464015194260335 | 0.5092156313674783
0.94 | 1.06 | 1 | 700 | 0.4397445218537104 ± 0.007490630780217167 | 0.08470484758524165 ± 0.0026995326657140283 | 1.5876600199947994 ± 0.029122687302320815 | 2.4360491406321536 ± 0.04768089219872142 | 0.5092156313674783
0.94 | 1.06 | 1 | 800 | 0.4397445218537104 ± 0.007490630780217167 | 0.08470484758524165 ± 0.0026995326657140283 | 1.5876600199947994 ± 0.029122687302320815 | 2.4360491406321536 ± 0.04768089219872142 | 0.5092156313674783
0.94 | 1.06 | 2 | 500 | 0.4397427065014672 ± 0.007435003188815403 | 0.08470418629330115 ± 0.0026789034449163328 | 1.5876600334401647 ± 0.028961980636679097 | 2.4360262444400638 ± 0.04746906324705948 | 0.5092156508242213
0.94 | 1.06 | 2 | 600 | 0.4397427065014672 ± 0.007606169830369103 | 0.08470418629330115 ± 0.002742449914276551 | 1.5876600334401647 ± 0.0290072060519313 | 2.4360262444400638 ± 0.0481128216776812 | 0.5092156508242213
0.94 | 1.06 | 2 | 700 | 0.4397427065014672 ± 0.007606169830369103 | 0.08470418629330115 ± 0.002742449914276551 | 1.5876600334401647 ± 0.0290072060519313 | 2.4360262444400638 ± 0.0481128216776812 | 0.5092156508242213
0.94 | 1.06 | 2 | 800 | 0.4397427065014672 ± 0.007606169830369103 | 0.08470418629330115 ± 0.002742449914276551 | 1.5876600334401647 ± 0.0290072060519313 | 2.4360262444400638 ± 0.0481128216776812 | 0.5092156508242213
0.95 | 1.05 | 0 | 800 | 0.4418310943612671 ± 0.007456950650641309 | 0.08561783615106162 ± 0.0026881219884461716 | 1.6045500237086532 ± 0.025457215649356435 | 2.37418462285579 ± 0.048074465292696836 | 0.5232462603826172
0.95 | 1.05 | 2 | 600 | 0.4418369379095196 ± 0.007546521103523551 | 0.08561987304353988 ± 0.002721777284460011 | 1.6045501190404234 ± 0.025630303375197228 | 2.374175028032084 ± 0.048425138683943256 | 0.5232463903939797
