down | strategy | ncall | sigma_tot
0.90 | 0.00 | 200 | 110.116
0.90 | 0.00 | 300 | 110.116
0.90 | 0.00 | 400 | 110.116
0.90 | 0.00 | 500 | 110.116
0.90 | 0.00 | 600 | 110.116
0.90 | 0.00 | 700 | 110.116
0.90 | 0.00 | 800 | 110.116
0.90 | 1.00 | 200 | 110.115
0.90 | 1.00 | 300 | 110.116
0.90 | 1.00 | 400 | 110.116
0.90 | 1.00 | 500 | 110.116
0.90 | 1.00 | 600 | 110.116
0.90 | 1.00 | 700 | 110.116
0.90 | 1.00 | 800 | 110.116
0.90 | 2.00 | 200 | 110.116
0.90 | 2.00 | 300 | 110.116
0.90 | 2.00 | 400 | 110.116
0.90 | 2.00 | 500 | 110.116
0.90 | 2.00 | 600 | 110.116
0.90 | 2.00 | 700 | 110.116
0.90 | 2.00 | 800 | 110.116
0.91 | 0.00 | 200 | 110.157
0.91 | 0.00 | 300 | 110.154
0.91 | 0.00 | 400 | 110.154
0.91 | 0.00 | 500 | 110.154
0.91 | 0.00 | 600 | 110.154
0.91 | 0.00 | 700 | 110.154
0.91 | 0.00 | 800 | 110.154
0.91 | 1.00 | 200 | 110.157
0.91 | 1.00 | 300 | 110.154
0.91 | 1.00 | 400 | 110.154
0.91 | 1.00 | 500 | 110.154
0.91 | 1.00 | 600 | 110.154
0.91 | 1.00 | 700 | 110.154
0.91 | 1.00 | 800 | 110.154
0.91 | 2.00 | 200 | 110.153
0.91 | 2.00 | 300 | 110.153
0.91 | 2.00 | 400 | 110.153
0.91 | 2.00 | 500 | 110.153
0.91 | 2.00 | 600 | 110.153
0.91 | 2.00 | 700 | 110.153
0.91 | 2.00 | 800 | 110.153
0.92 | 0.00 | 300 | 110.190
0.92 | 0.00 | 400 | 110.190
0.92 | 0.00 | 500 | 110.190
0.92 | 0.00 | 600 | 110.190
0.92 | 0.00 | 700 | 110.190
0.92 | 0.00 | 800 | 110.190
0.92 | 1.00 | 300 | 110.190
0.92 | 1.00 | 400 | 110.190
0.92 | 1.00 | 500 | 110.190
0.92 | 1.00 | 600 | 110.190
0.92 | 1.00 | 700 | 110.190
0.92 | 1.00 | 800 | 110.190
0.92 | 2.00 | 200 | 110.190
0.92 | 2.00 | 300 | 110.190
0.92 | 2.00 | 400 | 110.190
0.92 | 2.00 | 500 | 110.190
0.92 | 2.00 | 600 | 110.190
0.92 | 2.00 | 700 | 110.190
0.92 | 2.00 | 800 | 110.190
0.93 | 0.00 | 300 | 110.227
0.93 | 0.00 | 400 | 110.227
0.93 | 0.00 | 500 | 110.227
0.93 | 0.00 | 600 | 110.227
0.93 | 0.00 | 700 | 110.227
0.93 | 0.00 | 800 | 110.227
0.93 | 1.00 | 300 | 110.227
0.93 | 1.00 | 400 | 110.227
0.93 | 1.00 | 500 | 110.227
0.93 | 1.00 | 600 | 110.227
0.93 | 1.00 | 700 | 110.227
0.93 | 1.00 | 800 | 110.227
0.93 | 2.00 | 300 | 110.227
0.93 | 2.00 | 400 | 110.227
0.93 | 2.00 | 500 | 110.227
0.93 | 2.00 | 600 | 110.227
0.93 | 2.00 | 700 | 110.227
0.93 | 2.00 | 800 | 110.227
0.94 | 0.00 | 400 | 110.263
0.94 | 0.00 | 500 | 110.263
0.94 | 0.00 | 600 | 110.263
0.94 | 0.00 | 700 | 110.263
0.94 | 0.00 | 800 | 110.263
0.94 | 1.00 | 400 | 110.263
0.94 | 1.00 | 500 | 110.263
0.94 | 1.00 | 600 | 110.263
0.94 | 1.00 | 700 | 110.263
0.94 | 1.00 | 800 | 110.263
0.94 | 2.00 | 300 | 110.264
0.94 | 2.00 | 400 | 110.264
0.94 | 2.00 | 500 | 110.264
0.94 | 2.00 | 600 | 110.264
0.94 | 2.00 | 700 | 110.264
0.94 | 2.00 | 800 | 110.264
0.95 | 0.00 | 500 | 110.302
0.95 | 0.00 | 600 | 110.302
0.95 | 0.00 | 700 | 110.302
0.95 | 0.00 | 800 | 110.302
0.95 | 1.00 | 500 | 110.302
0.95 | 1.00 | 600 | 110.302
0.95 | 1.00 | 700 | 110.302
0.95 | 1.00 | 800 | 110.302
0.95 | 2.00 | 600 | 110.300
0.95 | 2.00 | 700 | 110.300
0.95 | 2.00 | 800 | 110.300
0.96 | 1.00 | 300 | 110.423
0.96 | 1.00 | 400 | 110.423
0.96 | 1.00 | 500 | 110.423
0.96 | 1.00 | 600 | 110.423
0.96 | 1.00 | 700 | 110.423
0.96 | 1.00 | 800 | 110.423
0.96 | 2.00 | 300 | 110.423
0.96 | 2.00 | 400 | 110.423
0.96 | 2.00 | 500 | 110.423
0.96 | 2.00 | 600 | 110.423
0.96 | 2.00 | 700 | 110.423
0.96 | 2.00 | 800 | 110.423
0.97 | 0.00 | 300 | 110.713
0.97 | 0.00 | 400 | 110.716
0.97 | 0.00 | 500 | 110.716
0.97 | 0.00 | 600 | 110.716
0.97 | 0.00 | 700 | 110.716
0.97 | 0.00 | 800 | 110.716
0.97 | 1.00 | 300 | 110.715
0.97 | 1.00 | 400 | 110.715
0.97 | 1.00 | 500 | 110.715
0.97 | 1.00 | 600 | 110.715
0.97 | 1.00 | 700 | 110.715
0.97 | 1.00 | 800 | 110.715
0.97 | 2.00 | 300 | 110.716
0.97 | 2.00 | 400 | 110.716
0.97 | 2.00 | 500 | 110.716
0.97 | 2.00 | 600 | 110.716
0.97 | 2.00 | 700 | 110.716
0.97 | 2.00 | 800 | 110.716
