Otimização para log em ATLAS - Limites: eps_1_mg_0_a1_0_a2_0
Configuração: down | up | strategy | migrad | mg ± error | eps ± error | a1 ± error | a2 ± error | χ²/ndof
========================================================================================================================
0.95 | 1.05 | 0 | 300 | 0.3519735371267738 ± 0.0030830722083503544 | 0.0715350029740343 ± 0.0016136107471688352 | 1.677986036556452 ± 0.11899283271339609 | 2.769053056560018 ± 0.8730307173793487 | 0.4176197132697527
0.95 | 1.05 | 0 | 500 | 0.3519735371267738 ± 0.0030830722083503544 | 0.0715350029740343 ± 0.0016136107471688352 | 1.677986036556452 ± 0.11899283271339609 | 2.769053056560018 ± 0.8730307173793487 | 0.4176197132697527
0.95 | 1.05 | 0 | 600 | 0.3519735371267738 ± 0.0030830722083503544 | 0.0715350029740343 ± 0.0016136107471688352 | 1.677986036556452 ± 0.11899283271339609 | 2.769053056560018 ± 0.8730307173793487 | 0.4176197132697527
0.95 | 1.05 | 0 | 700 | 0.3519735371267738 ± 0.0030830722083503544 | 0.0715350029740343 ± 0.0016136107471688352 | 1.677986036556452 ± 0.11899283271339609 | 2.769053056560018 ± 0.8730307173793487 | 0.4176197132697527
0.95 | 1.05 | 0 | 800 | 0.3519735371267738 ± 0.0030830722083503544 | 0.0715350029740343 ± 0.0016136107471688352 | 1.677986036556452 ± 0.11899283271339609 | 2.769053056560018 ± 0.8730307173793487 | 0.4176197132697527
0.95 | 1.05 | 0 | 900 | 0.3519735371267738 ± 0.0030830722083503544 | 0.0715350029740343 ± 0.0016136107471688352 | 1.677986036556452 ± 0.11899283271339609 | 2.769053056560018 ± 0.8730307173793487 | 0.4176197132697527
0.95 | 1.05 | 0 | 1100 | 0.3519735371267738 ± 0.0030830722083503544 | 0.0715350029740343 ± 0.0016136107471688352 | 1.677986036556452 ± 0.11899283271339609 | 2.769053056560018 ± 0.8730307173793487 | 0.4176197132697527
0.95 | 1.05 | 2 | 500 | 0.35197542174429375 ± 0.00306295179867249 | 0.071535006276669 ± 0.001729598759156771 | 1.6779132927692153 ± 0.11806220375377158 | 2.7695802315201754 ± 0.8685634738632697 | 0.4176199067704276
0.95 | 1.05 | 2 | 600 | 0.35197542174429375 ± 0.00306295179867249 | 0.071535006276669 ± 0.001729598759156771 | 1.6779132927692153 ± 0.11806220375377158 | 2.7695802315201754 ± 0.8685634738632697 | 0.4176199067704276
0.95 | 1.05 | 2 | 700 | 0.35197542174429375 ± 0.00306295179867249 | 0.071535006276669 ± 0.001729598759156771 | 1.6779132927692153 ± 0.11806220375377158 | 2.7695802315201754 ± 0.8685634738632697 | 0.4176199067704276
0.95 | 1.05 | 2 | 800 | 0.35197542174429375 ± 0.00306295179867249 | 0.071535006276669 ± 0.001729598759156771 | 1.6779132927692153 ± 0.11806220375377158 | 2.7695802315201754 ± 0.8685634738632697 | 0.4176199067704276
0.95 | 1.05 | 2 | 900 | 0.35197542174429375 ± 0.00306295179867249 | 0.071535006276669 ± 0.001729598759156771 | 1.6779132927692153 ± 0.11806220375377158 | 2.7695802315201754 ± 0.8685634738632697 | 0.4176199067704276
0.95 | 1.05 | 2 | 1100 | 0.35197542174429375 ± 0.00306295179867249 | 0.071535006276669 ± 0.001729598759156771 | 1.6779132927692153 ± 0.11806220375377158 | 2.7695802315201754 ± 0.8685634738632697 | 0.4176199067704276
0.96 | 1.04 | 0 | 500 | 0.3533703617532212 ± 0.0030791611309024477 | 0.07228800312833004 ± 0.0037722912611093742 | 1.6832479559159443 ± 0.11885837388741552 | 2.7508795607003997 ± 0.8698283990980211 | 0.44742407119479827
0.96 | 1.04 | 0 | 600 | 0.3533703617532212 ± 0.0030791611309024477 | 0.07228800312833004 ± 0.0037722912611093742 | 1.6832479559159443 ± 0.11885837388741552 | 2.7508795607003997 ± 0.8698283990980211 | 0.44742407119479827
0.96 | 1.04 | 0 | 700 | 0.3533703617532212 ± 0.0030791611309024477 | 0.07228800312833004 ± 0.0037722912611093742 | 1.6832479559159443 ± 0.11885837388741552 | 2.7508795607003997 ± 0.8698283990980211 | 0.44742407119479827
0.96 | 1.04 | 0 | 800 | 0.3533703617532212 ± 0.0030791611309024477 | 0.07228800312833004 ± 0.0037722912611093742 | 1.6832479559159443 ± 0.11885837388741552 | 2.7508795607003997 ± 0.8698283990980211 | 0.44742407119479827
0.96 | 1.04 | 0 | 900 | 0.3533703617532212 ± 0.0030791611309024477 | 0.07228800312833004 ± 0.0037722912611093742 | 1.6832479559159443 ± 0.11885837388741552 | 2.7508795607003997 ± 0.8698283990980211 | 0.44742407119479827
0.96 | 1.04 | 0 | 1100 | 0.3533703617532212 ± 0.0030791611309024477 | 0.07228800312833004 ± 0.0037722912611093742 | 1.6832479559159443 ± 0.11885837388741552 | 2.7508795607003997 ± 0.8698283990980211 | 0.44742407119479827
0.96 | 1.04 | 2 | 500 | 0.3533660755774861 ± 0.0030744215344613154 | 0.07228800685054666 ± 0.0038063559936642455 | 1.6833900395425119 ± 0.11801287080066182 | 2.749270739319431 ± 0.8675207161623799 | 0.4474235646964362
0.96 | 1.04 | 2 | 600 | 0.3533660755774861 ± 0.0030744215344613154 | 0.07228800685054666 ± 0.0038063559936642455 | 1.6833900395425119 ± 0.11801287080066182 | 2.749270739319431 ± 0.8675207161623799 | 0.4474235646964362
0.96 | 1.04 | 2 | 700 | 0.3533660755774861 ± 0.0030744215344613154 | 0.07228800685054666 ± 0.0038063559936642455 | 1.6833900395425119 ± 0.11801287080066182 | 2.749270739319431 ± 0.8675207161623799 | 0.4474235646964362
0.96 | 1.04 | 2 | 800 | 0.3533660755774861 ± 0.0030744215344613154 | 0.07228800685054666 ± 0.0038063559936642455 | 1.6833900395425119 ± 0.11801287080066182 | 2.749270739319431 ± 0.8675207161623799 | 0.4474235646964362
0.96 | 1.04 | 2 | 900 | 0.3533660755774861 ± 0.0030744215344613154 | 0.07228800685054666 ± 0.0038063559936642455 | 1.6833900395425119 ± 0.11801287080066182 | 2.749270739319431 ± 0.8675207161623799 | 0.4474235646964362
0.96 | 1.04 | 2 | 1100 | 0.3533660755774861 ± 0.0030744215344613154 | 0.07228800685054666 ± 0.0038063559936642455 | 1.6833900395425119 ± 0.11801287080066182 | 2.749270739319431 ± 0.8675207161623799 | 0.4474235646964362
0.97 | 1.03 | 0 | 500 | 0.35477536779340113 ± 0.003180351902311966 | 0.07304100000872295 ± 0.002982302341906523 | 1.6884641784979866 ± 0.12125917802453565 | 2.7321581154658383 ± 0.8912880815942466 | 0.4793386032641125
0.97 | 1.03 | 0 | 600 | 0.35477536779340113 ± 0.003180351902311966 | 0.07304100000872295 ± 0.002982302341906523 | 1.6884641784979866 ± 0.12125917802453565 | 2.7321581154658383 ± 0.8912880815942466 | 0.4793386032641125
0.97 | 1.03 | 0 | 700 | 0.35477536779340113 ± 0.003180351902311966 | 0.07304100000872295 ± 0.002982302341906523 | 1.6884641784979866 ± 0.12125917802453565 | 2.7321581154658383 ± 0.8912880815942466 | 0.4793386032641125
0.97 | 1.03 | 0 | 800 | 0.35477536779340113 ± 0.003180351902311966 | 0.07304100000872295 ± 0.002982302341906523 | 1.6884641784979866 ± 0.12125917802453565 | 2.7321581154658383 ± 0.8912880815942466 | 0.4793386032641125
0.97 | 1.03 | 0 | 900 | 0.35477536779340113 ± 0.003180351902311966 | 0.07304100000872295 ± 0.002982302341906523 | 1.6884641784979866 ± 0.12125917802453565 | 2.7321581154658383 ± 0.8912880815942466 | 0.4793386032641125
0.97 | 1.03 | 0 | 1100 | 0.35477536779340113 ± 0.003180351902311966 | 0.07304100000872295 ± 0.002982302341906523 | 1.6884641784979866 ± 0.12125917802453565 | 2.7321581154658383 ± 0.8912880815942466 | 0.4793386032641125
0.97 | 1.03 | 2 | 500 | 0.3547758845384437 ± 0.003083495193133302 | 0.07304100077804371 ± 0.0029841945954589694 | 1.6884646671063648 ± 0.11799081194169654 | 2.732325055428069 ± 0.8665516767388884 | 0.47933861757263413
0.97 | 1.03 | 2 | 600 | 0.3547758845384437 ± 0.003083495193133302 | 0.07304100077804371 ± 0.0029841945954589694 | 1.6884646671063648 ± 0.11799081194169654 | 2.732325055428069 ± 0.8665516767388884 | 0.47933861757263413
0.97 | 1.03 | 2 | 700 | 0.3547758845384437 ± 0.003083495193133302 | 0.07304100077804371 ± 0.0029841945954589694 | 1.6884646671063648 ± 0.11799081194169654 | 2.732325055428069 ± 0.8665516767388884 | 0.47933861757263413
0.97 | 1.03 | 2 | 800 | 0.3547758845384437 ± 0.003083495193133302 | 0.07304100077804371 ± 0.0029841945954589694 | 1.6884646671063648 ± 0.11799081194169654 | 2.732325055428069 ± 0.8665516767388884 | 0.47933861757263413
0.97 | 1.03 | 2 | 900 | 0.3547758845384437 ± 0.003083495193133302 | 0.07304100077804371 ± 0.0029841945954589694 | 1.6884646671063648 ± 0.11799081194169654 | 2.732325055428069 ± 0.8665516767388884 | 0.47933861757263413
0.97 | 1.03 | 2 | 1100 | 0.3547758845384437 ± 0.003083495193133302 | 0.07304100077804371 ± 0.0029841945954589694 | 1.6884646671063648 ± 0.11799081194169654 | 2.732325055428069 ± 0.8665516767388884 | 0.47933861757263413
0.98 | 1.02 | 0 | 300 | 0.3561911748418842 ± 0.0031488552257153486 | 0.07379400004141318 ± 0.0021416874396856037 | 1.6935460890375418 ± 0.12102797930921763 | 2.7148029875640787 ± 0.8928551875310144 | 0.5133649700287064
