Otimização para log em TOTEM - Limites: eps_1_mg_1_a1_1_a2_0
Configuração: down | up | strategy | migrad | mg ± error | eps ± error | a1 ± error | a2 ± error | χ²/ndof
========================================================================================================================
0.94 | 1.06 | 0 | 700 | 0.374311277962377 ± 7.549292959455056e-05 | 0.08384800225191968 ± 0.000531037923583659 | 1.5804599980095246 ± 0.002011111876658034 | 3.5196087599808425 ± 0.03172856562958877 | 0.44208143370980596
0.94 | 1.06 | 0 | 800 | 0.374311277962377 ± 7.549292959455056e-05 | 0.08384800225191968 ± 0.000531037923583659 | 1.5804599980095246 ± 0.002011111876658034 | 3.5196087599808425 ± 0.03172856562958877 | 0.44208143370980596
0.94 | 1.06 | 0 | 900 | 0.374311277962377 ± 7.549292959455056e-05 | 0.08384800225191968 ± 0.000531037923583659 | 1.5804599980095246 ± 0.002011111876658034 | 3.5196087599808425 ± 0.03172856562958877 | 0.44208143370980596
0.94 | 1.06 | 0 | 1100 | 0.374311277962377 ± 7.549292959455056e-05 | 0.08384800225191968 ± 0.000531037923583659 | 1.5804599980095246 ± 0.002011111876658034 | 3.5196087599808425 ± 0.03172856562958877 | 0.44208143370980596
0.94 | 1.06 | 2 | 900 | 0.3743113101478587 ± 7.614751657927799e-05 | 0.08384800481213889 ± 0.0007478561579134166 | 1.580459998296026 ± 0.008577187357753813 | 3.519596315275721 ± 0.031566478779716745 | 0.4420815054598318
0.94 | 1.06 | 2 | 1100 | 0.3743113101478587 ± 7.614751657927799e-05 | 0.08384800481213889 ± 0.0007478561579134166 | 1.580459998296026 ± 0.008577187357753813 | 3.519596315275721 ± 0.031566478779716745 | 0.4420815054598318
0.96 | 1.04 | 0 | 700 | 0.3789269933585959 ± 7.875636339921277e-05 | 0.08563200002170536 ± 0.0005007650444310077 | 1.5506399968848275 ± 0.0021376907262936617 | 3.649340944985117 ± 0.030733754815402567 | 0.6110324390863872
0.96 | 1.04 | 0 | 800 | 0.3789269933585959 ± 7.875636339921277e-05 | 0.08563200002170536 ± 0.0005007650444310077 | 1.5506399968848275 ± 0.0021376907262936617 | 3.649340944985117 ± 0.030733754815402567 | 0.6110324390863872
0.96 | 1.04 | 0 | 900 | 0.3789269933585959 ± 7.875636339921277e-05 | 0.08563200002170536 ± 0.0005007650444310077 | 1.5506399968848275 ± 0.0021376907262936617 | 3.649340944985117 ± 0.030733754815402567 | 0.6110324390863872
0.96 | 1.04 | 0 | 1100 | 0.3789269933585959 ± 7.875636339921277e-05 | 0.08563200002170536 ± 0.0005007650444310077 | 1.5506399968848275 ± 0.0021376907262936617 | 3.649340944985117 ± 0.030733754815402567 | 0.6110324390863872
0.96 | 1.04 | 2 | 700 | 0.37892693096857155 ± 7.945774900899871e-05 | 0.08563200052487399 ± 0.00048485907023380903 | 1.5506399993896363 ± 0.005815394181023281 | 3.649324915169063 ± 0.0313349403581067 | 0.611032513433973
0.96 | 1.04 | 2 | 800 | 0.37892693096857155 ± 7.945774900899871e-05 | 0.08563200052487399 ± 0.00048485907023380903 | 1.5506399993896363 ± 0.005815394181023281 | 3.649324915169063 ± 0.0313349403581067 | 0.611032513433973
0.96 | 1.04 | 2 | 900 | 0.37892693096857155 ± 7.945774900899871e-05 | 0.08563200052487399 ± 0.00048485907023380903 | 1.5506399993896363 ± 0.005815394181023281 | 3.649324915169063 ± 0.0313349403581067 | 0.611032513433973
0.96 | 1.04 | 2 | 1100 | 0.37892693096857155 ± 7.945774900899871e-05 | 0.08563200052487399 ± 0.00048485907023380903 | 1.5506399993896363 ± 0.005815394181023281 | 3.649324915169063 ± 0.0313349403581067 | 0.611032513433973
0.97 | 1.03 | 0 | 600 | 0.38125558927965036 ± 0.00010174085743414052 | 0.08652400008253067 ± 0.000453698277350513 | 1.5357299993447502 ± 0.0026662223589798417 | 3.713687416762728 ± 0.030702984563621902 | 0.7180872279575715
0.97 | 1.03 | 0 | 700 | 0.38125558927965036 ± 0.00010174085743414052 | 0.08652400008253067 ± 0.000453698277350513 | 1.5357299993447502 ± 0.0026662223589798417 | 3.713687416762728 ± 0.030702984563621902 | 0.7180872279575715
0.97 | 1.03 | 0 | 800 | 0.38125558927965036 ± 0.00010174085743414052 | 0.08652400008253067 ± 0.000453698277350513 | 1.5357299993447502 ± 0.0026662223589798417 | 3.713687416762728 ± 0.030702984563621902 | 0.7180872279575715
