down | strategy | ncall | sigma_tot
0.94 | 0.00 | 700 | 108.043
0.94 | 0.00 | 800 | 108.043
0.94 | 0.00 | 900 | 108.043
0.94 | 0.00 | 1100 | 108.043
0.94 | 2.00 | 900 | 108.042
0.94 | 2.00 | 1100 | 108.042
0.96 | 0.00 | 700 | 107.362
0.96 | 0.00 | 800 | 107.362
0.96 | 0.00 | 900 | 107.362
0.96 | 0.00 | 1100 | 107.362
0.96 | 2.00 | 700 | 107.362
0.96 | 2.00 | 800 | 107.362
0.96 | 2.00 | 900 | 107.362
0.96 | 2.00 | 1100 | 107.362
0.97 | 0.00 | 600 | 107.025
0.97 | 0.00 | 700 | 107.025
0.97 | 0.00 | 800 | 107.025
0.97 | 0.00 | 900 | 107.025
0.97 | 0.00 | 1100 | 107.025
0.97 | 2.00 | 600 | 107.025
0.97 | 2.00 | 700 | 107.025
0.97 | 2.00 | 800 | 107.025
0.97 | 2.00 | 900 | 107.025
0.97 | 2.00 | 1100 | 107.025
0.98 | 0.00 | 500 | 106.691
0.98 | 0.00 | 600 | 106.691
0.98 | 0.00 | 700 | 106.691
0.98 | 0.00 | 800 | 106.691
0.98 | 0.00 | 900 | 106.691
0.98 | 0.00 | 1100 | 106.691
0.98 | 2.00 | 600 | 106.690
0.98 | 2.00 | 700 | 106.690
0.98 | 2.00 | 800 | 106.690
0.98 | 2.00 | 900 | 106.690
0.98 | 2.00 | 1100 | 106.690
