Otimização LOG TOTEM - Config: mg_0_eps_0_a1_1_a2_0
ncall | strategy | tol | mg ± err | eps ± err | a1 ± err | a2 ± err | χ²/ndof
========================================================================================================================
800 | 0 | 0.01 | 0.362684 ± 0.009581 | 0.079026 ± 0.004870 | 1.634958 ± 0.059433 | 3.277735 ± 0.256266 | 0.288772
400 | 1 | 10 | 0.362479 ± 0.007344 | 0.078851 ± 0.003694 | 1.627624 ± 0.045745 | 3.306848 ± 0.199160 | 0.289598
400 | 1 | 5 | 0.361622 ± 0.007841 | 0.078500 ± 0.003999 | 1.632775 ± 0.051785 | 3.285943 ± 0.225410 | 0.289182
400 | 1 | 0.1 | 0.362676 ± 0.009598 | 0.079023 ± 0.004879 | 1.634930 ± 0.059514 | 3.277866 ± 0.256588 | 0.288772
400 | 1 | 0.01 | 0.362682 ± 0.009543 | 0.079025 ± 0.004852 | 1.634929 ± 0.059379 | 3.277879 ± 0.256066 | 0.288772
500 | 1 | 10 | 0.362385 ± 0.010086 | 0.078863 ± 0.005131 | 1.632811 ± 0.061744 | 3.287546 ± 0.265211 | 0.288809
500 | 1 | 5 | 0.361610 ± 0.007539 | 0.078492 ± 0.003845 | 1.632543 ± 0.050668 | 3.286735 ± 0.220846 | 0.289212
600 | 1 | 10 | 0.362385 ± 0.009900 | 0.078863 ± 0.005037 | 1.632811 ± 0.060986 | 3.287546 ± 0.262268 | 0.288809
600 | 1 | 5 | 0.362401 ± 0.008064 | 0.078875 ± 0.004131 | 1.633372 ± 0.055943 | 3.284912 ± 0.242687 | 0.288821
600 | 1 | 0.1 | 0.362668 ± 0.009282 | 0.079017 ± 0.004723 | 1.634801 ± 0.058445 | 3.278367 ± 0.252354 | 0.288773
800 | 1 | 10 | 0.362385 ± 0.009900 | 0.078863 ± 0.005037 | 1.632811 ± 0.060986 | 3.287546 ± 0.262268 | 0.288809
800 | 1 | 5 | 0.362401 ± 0.008064 | 0.078875 ± 0.004131 | 1.633372 ± 0.055943 | 3.284912 ± 0.242687 | 0.288821
800 | 1 | 1 | 0.362868 ± 0.010005 | 0.079124 ± 0.005062 | 1.635976 ± 0.059624 | 3.273102 ± 0.256918 | 0.288783
800 | 1 | 0.1 | 0.362668 ± 0.009282 | 0.079017 ± 0.004723 | 1.634801 ± 0.058445 | 3.278367 ± 0.252354 | 0.288773
800 | 1 | 0.01 | 0.362683 ± 0.009076 | 0.079026 ± 0.004614 | 1.634933 ± 0.057335 | 3.277858 ± 0.247950 | 0.288772
400 | 2 | 10 | 0.357529 ± 0.006169 | 0.076055 ± 0.002964 | 1.585383 ± 0.007454 | 3.499999 ± 1.038630 | 0.306136
400 | 2 | 5 | 0.357416 ± 0.006313 | 0.076001 ± 0.003033 | 1.585367 ± 0.007326 | 3.499999 ± 1.068877 | 0.306096
400 | 2 | 3 | 0.357416 ± 0.006313 | 0.076001 ± 0.003033 | 1.585367 ± 0.007326 | 3.499999 ± 1.068877 | 0.306096
400 | 2 | 1 | 0.357422 ± 0.006310 | 0.076005 ± 0.003033 | 1.585423 ± 0.007594 | 3.499998 ± 1.015900 | 0.306095
500 | 2 | 10 | 0.357529 ± 0.006169 | 0.076055 ± 0.002964 | 1.585383 ± 0.007454 | 3.499999 ± 1.038630 | 0.306136
500 | 2 | 5 | 0.357416 ± 0.006313 | 0.076001 ± 0.003033 | 1.585367 ± 0.007326 | 3.499999 ± 1.068877 | 0.306096
500 | 2 | 3 | 0.357416 ± 0.006313 | 0.076001 ± 0.003033 | 1.585367 ± 0.007326 | 3.499999 ± 1.068877 | 0.306096
500 | 2 | 1 | 0.357420 ± 0.006490 | 0.076003 ± 0.003118 | 1.585391 ± 0.007521 | 3.499998 ± 1.027157 | 0.306096
600 | 2 | 10 | 0.357529 ± 0.006169 | 0.076055 ± 0.002964 | 1.585383 ± 0.007454 | 3.499999 ± 1.038630 | 0.306136
600 | 2 | 5 | 0.357416 ± 0.006313 | 0.076001 ± 0.003033 | 1.585367 ± 0.007326 | 3.499999 ± 1.068877 | 0.306096
600 | 2 | 3 | 0.357416 ± 0.006313 | 0.076001 ± 0.003033 | 1.585367 ± 0.007326 | 3.499999 ± 1.068877 | 0.306096
600 | 2 | 1 | 0.357420 ± 0.006490 | 0.076003 ± 0.003118 | 1.585391 ± 0.007521 | 3.499998 ± 1.027157 | 0.306096
800 | 2 | 10 | 0.357529 ± 0.006169 | 0.076055 ± 0.002964 | 1.585383 ± 0.007454 | 3.499999 ± 1.038630 | 0.306136
800 | 2 | 5 | 0.357416 ± 0.006313 | 0.076001 ± 0.003033 | 1.585367 ± 0.007326 | 3.499999 ± 1.068877 | 0.306096
800 | 2 | 3 | 0.357416 ± 0.006313 | 0.076001 ± 0.003033 | 1.585367 ± 0.007326 | 3.499999 ± 1.068877 | 0.306096
800 | 2 | 1 | 0.357420 ± 0.006490 | 0.076003 ± 0.003118 | 1.585391 ± 0.007521 | 3.499998 ± 1.027157 | 0.306096
800 | 2 | 0.1 | 0.362665 ± 0.009518 | 0.079018 ± 0.004835 | 1.635049 ± 0.058677 | 3.277224 ± 0.253198 | 0.288773
800 | 2 | 0.01 | 0.362643 ± 0.009505 | 0.079006 ± 0.004831 | 1.634894 ± 0.058940 | 3.278014 ± 0.254290 | 0.288773
