Otimização para log em TOTEM - Limites: eps_0_mg_1_a1_0_a2_1
Configuração: down | up | strategy | tol | migrad | mg ± error | eps ± error | a1 ± error | a2 ± error | χ²/ndof
======================================================================================================================================================
0.95 | 1.05 | 0 | 1e-01 | 800 | 0.376612 ± 0.000089 | 0.084740 ± 0.000613 | 1.565550 ± 0.006991 | 3.584763 ± 0.031448 | 0.518968
0.95 | 1.05 | 2 | 5e+00 | 700 | 0.376931 ± 0.000517 | 0.084886 ± 0.000228 | 1.565550 ± 0.003551 | 3.583279 ± 0.031470 | 0.525109
0.95 | 1.05 | 2 | 5e+00 | 800 | 0.376767 ± 0.000547 | 0.084811 ± 0.000240 | 1.565550 ± 0.005386 | 3.584830 ± 0.031453 | 0.521770
0.96 | 1.04 | 0 | 5e+00 | 300 | 0.378927 ± 0.000102 | 0.085633 ± 0.000204 | 1.550640 ± 0.004796 | 3.649158 ± 0.031342 | 0.611115
0.96 | 1.04 | 0 | 1e+00 | 300 | 0.378926 ± 0.000084 | 0.085632 ± 0.000331 | 1.550640 ± 0.005485 | 3.649466 ± 0.031337 | 0.611043
0.96 | 1.04 | 0 | 1e-01 | 300 | 0.378926 ± 0.000082 | 0.085632 ± 0.000357 | 1.550640 ± 0.005608 | 3.649608 ± 0.031336 | 0.611041
0.96 | 1.04 | 0 | 5e+00 | 400 | 0.378927 ± 0.000102 | 0.085633 ± 0.000204 | 1.550640 ± 0.004796 | 3.649158 ± 0.031342 | 0.611115
0.96 | 1.04 | 0 | 1e+00 | 400 | 0.378926 ± 0.000084 | 0.085632 ± 0.000331 | 1.550640 ± 0.005485 | 3.649466 ± 0.031337 | 0.611043
0.96 | 1.04 | 0 | 1e-01 | 400 | 0.378927 ± 0.000081 | 0.085632 ± 0.000518 | 1.550640 ± 0.005884 | 3.649290 ± 0.031334 | 0.611034
0.96 | 1.04 | 0 | 1e-02 | 400 | 0.378927 ± 0.000079 | 0.085632 ± 0.000510 | 1.550640 ± 0.005868 | 3.649338 ± 0.031335 | 0.611032
0.96 | 1.04 | 0 | 5e+00 | 500 | 0.378927 ± 0.000102 | 0.085633 ± 0.000204 | 1.550640 ± 0.004796 | 3.649158 ± 0.031342 | 0.611115
0.96 | 1.04 | 0 | 1e+00 | 500 | 0.378926 ± 0.000084 | 0.085632 ± 0.000331 | 1.550640 ± 0.005485 | 3.649466 ± 0.031337 | 0.611043
0.96 | 1.04 | 0 | 1e-01 | 500 | 0.378927 ± 0.000081 | 0.085632 ± 0.000518 | 1.550640 ± 0.005884 | 3.649290 ± 0.031334 | 0.611034
0.96 | 1.04 | 0 | 1e-02 | 500 | 0.378927 ± 0.000079 | 0.085632 ± 0.000510 | 1.550640 ± 0.005868 | 3.649338 ± 0.031335 | 0.611032
0.96 | 1.04 | 0 | 5e+00 | 600 | 0.378927 ± 0.000102 | 0.085633 ± 0.000204 | 1.550640 ± 0.004796 | 3.649158 ± 0.031342 | 0.611115
0.96 | 1.04 | 0 | 1e+00 | 600 | 0.378926 ± 0.000084 | 0.085632 ± 0.000331 | 1.550640 ± 0.005485 | 3.649466 ± 0.031337 | 0.611043
0.96 | 1.04 | 0 | 1e-01 | 600 | 0.378927 ± 0.000081 | 0.085632 ± 0.000518 | 1.550640 ± 0.005884 | 3.649290 ± 0.031334 | 0.611034
0.96 | 1.04 | 0 | 1e-02 | 600 | 0.378927 ± 0.000079 | 0.085632 ± 0.000510 | 1.550640 ± 0.005868 | 3.649338 ± 0.031335 | 0.611032
0.96 | 1.04 | 0 | 5e+00 | 700 | 0.378927 ± 0.000102 | 0.085633 ± 0.000204 | 1.550640 ± 0.004796 | 3.649158 ± 0.031342 | 0.611115
0.96 | 1.04 | 0 | 1e+00 | 700 | 0.378926 ± 0.000084 | 0.085632 ± 0.000331 | 1.550640 ± 0.005485 | 3.649466 ± 0.031337 | 0.611043
0.96 | 1.04 | 0 | 1e-01 | 700 | 0.378927 ± 0.000081 | 0.085632 ± 0.000518 | 1.550640 ± 0.005884 | 3.649290 ± 0.031334 | 0.611034
0.96 | 1.04 | 0 | 1e-02 | 700 | 0.378927 ± 0.000079 | 0.085632 ± 0.000510 | 1.550640 ± 0.005868 | 3.649338 ± 0.031335 | 0.611032
0.96 | 1.04 | 0 | 5e+00 | 800 | 0.378927 ± 0.000102 | 0.085633 ± 0.000204 | 1.550640 ± 0.004796 | 3.649158 ± 0.031342 | 0.611115
0.96 | 1.04 | 0 | 1e+00 | 800 | 0.378926 ± 0.000084 | 0.085632 ± 0.000331 | 1.550640 ± 0.005485 | 3.649466 ± 0.031337 | 0.611043
