down | strategy | tol | ncall | sigma_tot
0.95 | 0.00 | 0.1 | 800 | 107.702
0.95 | 2.00 | 5.0 | 700 | 107.685
0.95 | 2.00 | 5.0 | 800 | 107.696
0.96 | 0.00 | 5.0 | 300 | 107.364
0.96 | 0.00 | 1.0 | 300 | 107.363
0.96 | 0.00 | 0.1 | 300 | 107.364
0.96 | 0.00 | 5.0 | 400 | 107.364
0.96 | 0.00 | 1.0 | 400 | 107.363
0.96 | 0.00 | 0.1 | 400 | 107.362
0.96 | 0.00 | 0.01 | 400 | 107.362
0.96 | 0.00 | 5.0 | 500 | 107.364
0.96 | 0.00 | 1.0 | 500 | 107.363
0.96 | 0.00 | 0.1 | 500 | 107.362
0.96 | 0.00 | 0.01 | 500 | 107.362
0.96 | 0.00 | 5.0 | 600 | 107.364
0.96 | 0.00 | 1.0 | 600 | 107.363
0.96 | 0.00 | 0.1 | 600 | 107.362
0.96 | 0.00 | 0.01 | 600 | 107.362
0.96 | 0.00 | 5.0 | 700 | 107.364
0.96 | 0.00 | 1.0 | 700 | 107.363
0.96 | 0.00 | 0.1 | 700 | 107.362
0.96 | 0.00 | 0.01 | 700 | 107.362
0.96 | 0.00 | 5.0 | 800 | 107.364
0.96 | 0.00 | 1.0 | 800 | 107.363
0.96 | 0.00 | 0.1 | 800 | 107.362
0.96 | 0.00 | 0.01 | 800 | 107.362
0.96 | 2.00 | 5.0 | 300 | 107.361
0.96 | 2.00 | 1.0 | 300 | 107.361
0.96 | 2.00 | 0.1 | 300 | 107.362
0.96 | 2.00 | 0.01 | 300 | 107.362
0.96 | 2.00 | 5.0 | 400 | 107.361
0.96 | 2.00 | 1.0 | 400 | 107.361
0.96 | 2.00 | 0.1 | 400 | 107.362
0.96 | 2.00 | 0.01 | 400 | 107.362
0.96 | 2.00 | 5.0 | 500 | 107.361
0.96 | 2.00 | 1.0 | 500 | 107.361
0.96 | 2.00 | 0.1 | 500 | 107.362
0.96 | 2.00 | 0.01 | 500 | 107.362
0.96 | 2.00 | 5.0 | 600 | 107.361
0.96 | 2.00 | 1.0 | 600 | 107.361
0.96 | 2.00 | 0.1 | 600 | 107.362
0.96 | 2.00 | 0.01 | 600 | 107.362
0.96 | 2.00 | 5.0 | 700 | 107.361
0.96 | 2.00 | 1.0 | 700 | 107.361
0.96 | 2.00 | 0.1 | 700 | 107.362
0.96 | 2.00 | 0.01 | 700 | 107.362
0.96 | 2.00 | 5.0 | 800 | 107.361
0.96 | 2.00 | 1.0 | 800 | 107.361
0.96 | 2.00 | 0.1 | 800 | 107.362
0.96 | 2.00 | 0.01 | 800 | 107.362
0.97 | 0.00 | 5.0 | 300 | 107.028
0.97 | 0.00 | 1.0 | 300 | 107.028
0.97 | 0.00 | 0.1 | 300 | 107.025
0.97 | 0.00 | 0.01 | 300 | 107.025
0.97 | 0.00 | 5.0 | 400 | 107.028
0.97 | 0.00 | 1.0 | 400 | 107.028
0.97 | 0.00 | 0.1 | 400 | 107.025
0.97 | 0.00 | 0.01 | 400 | 107.025
0.97 | 0.00 | 5.0 | 500 | 107.028
0.97 | 0.00 | 1.0 | 500 | 107.028
0.97 | 0.00 | 0.1 | 500 | 107.025
0.97 | 0.00 | 0.01 | 500 | 107.025
0.97 | 0.00 | 5.0 | 600 | 107.028
0.97 | 0.00 | 1.0 | 600 | 107.028
0.97 | 0.00 | 0.1 | 600 | 107.025
0.97 | 0.00 | 0.01 | 600 | 107.025
0.97 | 0.00 | 5.0 | 700 | 107.028
0.97 | 0.00 | 1.0 | 700 | 107.028
0.97 | 0.00 | 0.1 | 700 | 107.025
0.97 | 0.00 | 0.01 | 700 | 107.025
0.97 | 0.00 | 5.0 | 800 | 107.028
0.97 | 0.00 | 1.0 | 800 | 107.028
0.97 | 0.00 | 0.1 | 800 | 107.025
0.97 | 0.00 | 0.01 | 800 | 107.025
0.97 | 2.00 | 5.0 | 300 | 107.025
0.97 | 2.00 | 1.0 | 300 | 107.025
0.97 | 2.00 | 0.1 | 300 | 107.025
0.97 | 2.00 | 0.01 | 300 | 107.025
0.97 | 2.00 | 5.0 | 400 | 107.025
0.97 | 2.00 | 1.0 | 400 | 107.025
0.97 | 2.00 | 0.1 | 400 | 107.025
0.97 | 2.00 | 0.01 | 400 | 107.025
0.97 | 2.00 | 5.0 | 500 | 107.025
0.97 | 2.00 | 1.0 | 500 | 107.025
