Otimização para pl em ATLAS - Limites: eps_0_mg_1_a1_1_a2_1
Configuração: down | up | strategy | tol | migrad | mg ± error | eps ± error | a1 ± error | a2 ± error | χ²/ndof
======================================================================================================================================================
0.95 | 1.05 | 0 | 1e+00 | 500 | 0.411111 ± 0.004202 | 0.071536 ± 0.001533 | 1.597914 ± 0.113676 | 1.892513 ± 0.826260 | 0.427281
0.95 | 1.05 | 0 | 1e-01 | 500 | 0.411111 ± 0.004202 | 0.071536 ± 0.001533 | 1.597914 ± 0.113676 | 1.892513 ± 0.826260 | 0.427281
0.95 | 1.05 | 0 | 1e+00 | 600 | 0.411111 ± 0.004202 | 0.071536 ± 0.001533 | 1.597914 ± 0.113676 | 1.892513 ± 0.826260 | 0.427281
0.95 | 1.05 | 0 | 1e-01 | 600 | 0.411043 ± 0.004170 | 0.071535 ± 0.004640 | 1.599650 ± 0.112286 | 1.878544 ± 0.815698 | 0.427235
0.95 | 1.05 | 0 | 1e-02 | 600 | 0.411055 ± 0.004167 | 0.071535 ± 0.004643 | 1.599323 ± 0.112326 | 1.880946 ± 0.815875 | 0.427234
0.95 | 1.05 | 0 | 1e+00 | 700 | 0.411111 ± 0.004202 | 0.071536 ± 0.001533 | 1.597914 ± 0.113676 | 1.892513 ± 0.826260 | 0.427281
0.95 | 1.05 | 0 | 1e-01 | 700 | 0.411043 ± 0.004170 | 0.071535 ± 0.004640 | 1.599650 ± 0.112286 | 1.878544 ± 0.815698 | 0.427235
0.95 | 1.05 | 0 | 1e-02 | 700 | 0.411055 ± 0.004167 | 0.071535 ± 0.004643 | 1.599323 ± 0.112326 | 1.880946 ± 0.815875 | 0.427234
0.95 | 1.05 | 0 | 1e+00 | 800 | 0.411111 ± 0.004202 | 0.071536 ± 0.001533 | 1.597914 ± 0.113676 | 1.892513 ± 0.826260 | 0.427281
0.95 | 1.05 | 0 | 1e-01 | 800 | 0.411043 ± 0.004170 | 0.071535 ± 0.004640 | 1.599650 ± 0.112286 | 1.878544 ± 0.815698 | 0.427235
0.95 | 1.05 | 0 | 1e-02 | 800 | 0.411055 ± 0.004167 | 0.071535 ± 0.004643 | 1.599323 ± 0.112326 | 1.880946 ± 0.815875 | 0.427234
0.95 | 1.05 | 2 | 5e+00 | 400 | 0.410932 ± 0.004926 | 0.071578 ± 0.000720 | 1.604614 ± 0.127189 | 1.842961 ± 0.939708 | 0.429366
0.95 | 1.05 | 2 | 5e+00 | 500 | 0.411021 ± 0.004544 | 0.071545 ± 0.000951 | 1.599960 ± 0.120552 | 1.872088 ± 0.883508 | 0.427753
0.95 | 1.05 | 2 | 1e+00 | 500 | 0.410920 ± 0.004737 | 0.071544 ± 0.000795 | 1.602469 ± 0.124401 | 1.854619 ± 0.916369 | 0.427936
0.95 | 1.05 | 2 | 5e+00 | 600 | 0.411021 ± 0.004544 | 0.071545 ± 0.000951 | 1.599960 ± 0.120552 | 1.872088 ± 0.883508 | 0.427753
0.95 | 1.05 | 2 | 1e+00 | 600 | 0.411073 ± 0.004342 | 0.071536 ± 0.001190 | 1.598712 ± 0.116804 | 1.886193 ± 0.852212 | 0.427311
0.95 | 1.05 | 2 | 1e-01 | 600 | 0.411049 ± 0.004196 | 0.071535 ± 0.001626 | 1.599442 ± 0.112984 | 1.879938 ± 0.821359 | 0.427235
0.95 | 1.05 | 2 | 1e-02 | 600 | 0.411049 ± 0.004196 | 0.071535 ± 0.001626 | 1.599442 ± 0.112984 | 1.879938 ± 0.821359 | 0.427235
0.95 | 1.05 | 2 | 5e+00 | 700 | 0.411021 ± 0.004544 | 0.071545 ± 0.000951 | 1.599960 ± 0.120552 | 1.872088 ± 0.883508 | 0.427753
0.95 | 1.05 | 2 | 1e+00 | 700 | 0.411073 ± 0.004342 | 0.071536 ± 0.001190 | 1.598712 ± 0.116804 | 1.886193 ± 0.852212 | 0.427311
0.95 | 1.05 | 2 | 1e-01 | 700 | 0.411049 ± 0.004207 | 0.071535 ± 0.001626 | 1.599442 ± 0.113251 | 1.879938 ± 0.823425 | 0.427235
0.95 | 1.05 | 2 | 1e-02 | 700 | 0.411056 ± 0.004177 | 0.071535 ± 0.004642 | 1.599310 ± 0.112582 | 1.881071 ± 0.817856 | 0.427234
0.95 | 1.05 | 2 | 5e+00 | 800 | 0.411021 ± 0.004544 | 0.071545 ± 0.000951 | 1.599960 ± 0.120552 | 1.872088 ± 0.883508 | 0.427753
0.95 | 1.05 | 2 | 1e+00 | 800 | 0.411073 ± 0.004342 | 0.071536 ± 0.001190 | 1.598712 ± 0.116804 | 1.886193 ± 0.852212 | 0.427311
0.95 | 1.05 | 2 | 1e-01 | 800 | 0.411049 ± 0.004207 | 0.071535 ± 0.001626 | 1.599442 ± 0.113251 | 1.879938 ± 0.823425 | 0.427235
0.95 | 1.05 | 2 | 1e-02 | 800 | 0.411056 ± 0.004177 | 0.071535 ± 0.004642 | 1.599310 ± 0.112582 | 1.881071 ± 0.817856 | 0.427234
