down | strategy | tol | ncall | sigma_tot
0.95 | 0.00 | 1.0 | 500 | 103.920
0.95 | 0.00 | 0.1 | 500 | 103.920
0.95 | 0.00 | 1.0 | 600 | 103.920
0.95 | 0.00 | 0.1 | 600 | 103.929
0.95 | 0.00 | 0.01 | 600 | 103.926
0.95 | 0.00 | 1.0 | 700 | 103.920
0.95 | 0.00 | 0.1 | 700 | 103.929
0.95 | 0.00 | 0.01 | 700 | 103.926
0.95 | 0.00 | 1.0 | 800 | 103.920
0.95 | 0.00 | 0.1 | 800 | 103.929
0.95 | 0.00 | 0.01 | 800 | 103.926
0.95 | 2.00 | 5.0 | 400 | 103.991
0.95 | 2.00 | 5.0 | 500 | 103.942
0.95 | 2.00 | 1.0 | 500 | 103.968
0.95 | 2.00 | 5.0 | 600 | 103.942
0.95 | 2.00 | 1.0 | 600 | 103.931
0.95 | 2.00 | 0.1 | 600 | 103.928
0.95 | 2.00 | 0.01 | 600 | 103.928
0.95 | 2.00 | 5.0 | 700 | 103.942
0.95 | 2.00 | 1.0 | 700 | 103.931
0.95 | 2.00 | 0.1 | 700 | 103.928
0.95 | 2.00 | 0.01 | 700 | 103.926
0.95 | 2.00 | 5.0 | 800 | 103.942
0.95 | 2.00 | 1.0 | 800 | 103.931
0.95 | 2.00 | 0.1 | 800 | 103.928
0.95 | 2.00 | 0.01 | 800 | 103.926
0.96 | 0.00 | 1.0 | 500 | 103.963
0.96 | 0.00 | 0.1 | 500 | 103.963
0.96 | 0.00 | 0.01 | 500 | 103.963
0.96 | 0.00 | 1.0 | 600 | 103.963
0.96 | 0.00 | 0.1 | 600 | 103.963
0.96 | 0.00 | 0.01 | 600 | 103.960
0.96 | 0.00 | 1.0 | 700 | 103.963
0.96 | 0.00 | 0.1 | 700 | 103.963
0.96 | 0.00 | 0.01 | 700 | 103.960
0.96 | 0.00 | 1.0 | 800 | 103.963
0.96 | 0.00 | 0.1 | 800 | 103.963
0.96 | 0.00 | 0.01 | 800 | 103.960
0.96 | 2.00 | 5.0 | 300 | 104.092
0.96 | 2.00 | 5.0 | 400 | 103.987
0.96 | 2.00 | 5.0 | 500 | 103.970
0.96 | 2.00 | 1.0 | 500 | 103.968
0.96 | 2.00 | 5.0 | 600 | 103.970
0.96 | 2.00 | 1.0 | 600 | 103.945
0.96 | 2.00 | 0.1 | 600 | 103.962
0.96 | 2.00 | 5.0 | 700 | 103.970
0.96 | 2.00 | 1.0 | 700 | 103.945
0.96 | 2.00 | 0.1 | 700 | 103.963
0.96 | 2.00 | 0.01 | 700 | 103.961
0.96 | 2.00 | 5.0 | 800 | 103.970
0.96 | 2.00 | 1.0 | 800 | 103.945
0.96 | 2.00 | 0.1 | 800 | 103.963
0.96 | 2.00 | 0.01 | 800 | 103.961
0.97 | 0.00 | 1.0 | 400 | 103.990
0.97 | 0.00 | 1.0 | 500 | 103.995
0.97 | 0.00 | 0.1 | 500 | 103.994
0.97 | 0.00 | 0.01 | 500 | 103.994
0.97 | 0.00 | 1.0 | 600 | 103.995
0.97 | 0.00 | 0.1 | 600 | 103.994
0.97 | 0.00 | 0.01 | 600 | 103.994
0.97 | 0.00 | 1.0 | 700 | 103.995
0.97 | 0.00 | 0.1 | 700 | 103.994
0.97 | 0.00 | 0.01 | 700 | 103.994
0.97 | 0.00 | 1.0 | 800 | 103.995
0.97 | 0.00 | 0.1 | 800 | 103.994
0.97 | 0.00 | 0.01 | 800 | 103.994
0.97 | 2.00 | 5.0 | 400 | 103.932
0.97 | 2.00 | 1.0 | 400 | 104.002
0.97 | 2.00 | 5.0 | 500 | 103.999
0.97 | 2.00 | 1.0 | 500 | 104.002
0.97 | 2.00 | 0.1 | 500 | 103.991
0.97 | 2.00 | 0.01 | 500 | 103.991
0.97 | 2.00 | 5.0 | 600 | 103.999
0.97 | 2.00 | 1.0 | 600 | 104.002
0.97 | 2.00 | 0.1 | 600 | 103.991
0.97 | 2.00 | 0.01 | 600 | 103.994
0.97 | 2.00 | 5.0 | 700 | 103.999
0.97 | 2.00 | 1.0 | 700 | 104.002
0.97 | 2.00 | 0.1 | 700 | 103.991
0.97 | 2.00 | 0.01 | 700 | 103.994
0.97 | 2.00 | 5.0 | 800 | 103.999
0.97 | 2.00 | 1.0 | 800 | 104.002
0.97 | 2.00 | 0.1 | 800 | 103.991
0.97 | 2.00 | 0.01 | 800 | 103.994
0.98 | 0.00 | 1.0 | 300 | 104.003
0.98 | 0.00 | 0.1 | 300 | 104.023
0.98 | 0.00 | 0.01 | 300 | 104.030
0.98 | 0.00 | 1.0 | 400 | 104.003
0.98 | 0.00 | 0.1 | 400 | 104.023
0.98 | 0.00 | 0.01 | 400 | 104.028
0.98 | 0.00 | 1.0 | 500 | 104.003
0.98 | 0.00 | 0.1 | 500 | 104.023
0.98 | 0.00 | 0.01 | 500 | 104.028
0.98 | 0.00 | 1.0 | 600 | 104.003
0.98 | 0.00 | 0.1 | 600 | 104.023
0.98 | 0.00 | 0.01 | 600 | 104.028
0.98 | 0.00 | 1.0 | 700 | 104.003
0.98 | 0.00 | 0.1 | 700 | 104.023
0.98 | 0.00 | 0.01 | 700 | 104.028
0.98 | 0.00 | 1.0 | 800 | 104.003
0.98 | 0.00 | 0.1 | 800 | 104.023
0.98 | 0.00 | 0.01 | 800 | 104.028
0.98 | 2.00 | 5.0 | 400 | 104.001
0.98 | 2.00 | 1.0 | 400 | 104.028
0.98 | 2.00 | 0.1 | 400 | 104.028
0.98 | 2.00 | 5.0 | 500 | 104.001
0.98 | 2.00 | 1.0 | 500 | 104.028
0.98 | 2.00 | 0.1 | 500 | 104.028
0.98 | 2.00 | 0.01 | 500 | 104.028
0.98 | 2.00 | 5.0 | 600 | 104.001
0.98 | 2.00 | 1.0 | 600 | 104.028
0.98 | 2.00 | 0.1 | 600 | 104.028
0.98 | 2.00 | 0.01 | 600 | 104.028
0.98 | 2.00 | 5.0 | 700 | 104.001
0.98 | 2.00 | 1.0 | 700 | 104.028
0.98 | 2.00 | 0.1 | 700 | 104.028
0.98 | 2.00 | 0.01 | 700 | 104.028
0.98 | 2.00 | 5.0 | 800 | 104.001
0.98 | 2.00 | 1.0 | 800 | 104.028
0.98 | 2.00 | 0.1 | 800 | 104.028
0.98 | 2.00 | 0.01 | 800 | 104.028
0.99 | 0.00 | 1.0 | 300 | 104.064
0.99 | 0.00 | 0.1 | 300 | 104.053
0.99 | 0.00 | 0.01 | 300 | 104.056
0.99 | 0.00 | 1.0 | 400 | 104.064
0.99 | 0.00 | 0.1 | 400 | 104.053
0.99 | 0.00 | 0.01 | 400 | 104.056
0.99 | 0.00 | 1.0 | 500 | 104.064
0.99 | 0.00 | 0.1 | 500 | 104.053
0.99 | 0.00 | 0.01 | 500 | 104.056
0.99 | 0.00 | 1.0 | 600 | 104.064
0.99 | 0.00 | 0.1 | 600 | 104.053
0.99 | 0.00 | 0.01 | 600 | 104.056
0.99 | 0.00 | 1.0 | 700 | 104.064
0.99 | 0.00 | 0.1 | 700 | 104.053
0.99 | 0.00 | 0.01 | 700 | 104.056
0.99 | 0.00 | 1.0 | 800 | 104.064
0.99 | 0.00 | 0.1 | 800 | 104.053
0.99 | 0.00 | 0.01 | 800 | 104.056
0.99 | 2.00 | 5.0 | 300 | 104.047
0.99 | 2.00 | 1.0 | 300 | 104.047
0.99 | 2.00 | 5.0 | 400 | 104.047
0.99 | 2.00 | 1.0 | 400 | 104.055
0.99 | 2.00 | 0.1 | 400 | 104.063
0.99 | 2.00 | 0.01 | 400 | 104.063
0.99 | 2.00 | 5.0 | 500 | 104.047
0.99 | 2.00 | 1.0 | 500 | 104.055
0.99 | 2.00 | 0.1 | 500 | 104.063
0.99 | 2.00 | 0.01 | 500 | 104.063
0.99 | 2.00 | 5.0 | 600 | 104.047
0.99 | 2.00 | 1.0 | 600 | 104.055
0.99 | 2.00 | 0.1 | 600 | 104.063
0.99 | 2.00 | 0.01 | 600 | 104.063
0.99 | 2.00 | 5.0 | 700 | 104.047
0.99 | 2.00 | 1.0 | 700 | 104.055
0.99 | 2.00 | 0.1 | 700 | 104.063
0.99 | 2.00 | 0.01 | 700 | 104.063
0.99 | 2.00 | 5.0 | 800 | 104.047
0.99 | 2.00 | 1.0 | 800 | 104.055
0.99 | 2.00 | 0.1 | 800 | 104.063
0.99 | 2.00 | 0.01 | 800 | 104.063
