Otimização para pl em TOTEM - Limites: eps_1_mg_1_a1_1_a2_0
Configuração: down | up | strategy | tol | migrad | mg ± error | eps ± error | a1 ± error | a2 ± error | χ²/ndof
======================================================================================================================================================
0.95 | 1.05 | 0 | 1e-02 | 300 | 0.457693 ± 0.009675 | 0.092735 ± 0.003406 | 1.759069 ± 0.014706 | 1.785000 ± 0.105627 | 0.743877
0.95 | 1.05 | 0 | 1e-02 | 400 | 0.457693 ± 0.009675 | 0.092735 ± 0.003406 | 1.759069 ± 0.014706 | 1.785000 ± 0.105627 | 0.743877
0.95 | 1.05 | 0 | 1e-02 | 500 | 0.457693 ± 0.009675 | 0.092735 ± 0.003406 | 1.759069 ± 0.014706 | 1.785000 ± 0.105627 | 0.743877
0.95 | 1.05 | 0 | 1e-02 | 600 | 0.457693 ± 0.009675 | 0.092735 ± 0.003406 | 1.759069 ± 0.014706 | 1.785000 ± 0.105627 | 0.743877
0.95 | 1.05 | 0 | 1e-02 | 700 | 0.457693 ± 0.009675 | 0.092735 ± 0.003406 | 1.759069 ± 0.014706 | 1.785000 ± 0.105627 | 0.743877
0.95 | 1.05 | 0 | 1e-02 | 800 | 0.457693 ± 0.009675 | 0.092735 ± 0.003406 | 1.759069 ± 0.014706 | 1.785000 ± 0.105627 | 0.743877
0.95 | 1.05 | 2 | 5e+00 | 300 | 0.457090 ± 0.009322 | 0.092528 ± 0.003286 | 1.758628 ± 0.014299 | 1.785000 ± 0.108137 | 0.744032
0.95 | 1.05 | 2 | 1e+00 | 300 | 0.457515 ± 0.009347 | 0.092672 ± 0.003291 | 1.758737 ± 0.014323 | 1.785000 ± 0.104693 | 0.743890
0.95 | 1.05 | 2 | 1e-01 | 300 | 0.457697 ± 0.009416 | 0.092737 ± 0.003314 | 1.759074 ± 0.014401 | 1.785000 ± 0.105583 | 0.743877
0.95 | 1.05 | 2 | 1e-02 | 300 | 0.457697 ± 0.009416 | 0.092737 ± 0.003314 | 1.759074 ± 0.014401 | 1.785000 ± 0.105583 | 0.743877
0.95 | 1.05 | 2 | 5e+00 | 400 | 0.457090 ± 0.009322 | 0.092528 ± 0.003286 | 1.758628 ± 0.014299 | 1.785000 ± 0.108137 | 0.744032
0.95 | 1.05 | 2 | 1e+00 | 400 | 0.457515 ± 0.009347 | 0.092672 ± 0.003291 | 1.758737 ± 0.014323 | 1.785000 ± 0.104693 | 0.743890
0.95 | 1.05 | 2 | 1e-01 | 400 | 0.457697 ± 0.009416 | 0.092737 ± 0.003314 | 1.759074 ± 0.014401 | 1.785000 ± 0.105583 | 0.743877
0.95 | 1.05 | 2 | 1e-02 | 400 | 0.457697 ± 0.009416 | 0.092737 ± 0.003314 | 1.759074 ± 0.014401 | 1.785000 ± 0.105583 | 0.743877
0.95 | 1.05 | 2 | 5e+00 | 500 | 0.457090 ± 0.009322 | 0.092528 ± 0.003286 | 1.758628 ± 0.014299 | 1.785000 ± 0.108137 | 0.744032
0.95 | 1.05 | 2 | 1e+00 | 500 | 0.457515 ± 0.009347 | 0.092672 ± 0.003291 | 1.758737 ± 0.014323 | 1.785000 ± 0.104693 | 0.743890
0.95 | 1.05 | 2 | 1e-01 | 500 | 0.457697 ± 0.009416 | 0.092737 ± 0.003314 | 1.759074 ± 0.014401 | 1.785000 ± 0.105583 | 0.743877
0.95 | 1.05 | 2 | 1e-02 | 500 | 0.457697 ± 0.009416 | 0.092737 ± 0.003314 | 1.759074 ± 0.014401 | 1.785000 ± 0.105583 | 0.743877
0.95 | 1.05 | 2 | 5e+00 | 600 | 0.457090 ± 0.009322 | 0.092528 ± 0.003286 | 1.758628 ± 0.014299 | 1.785000 ± 0.108137 | 0.744032
0.95 | 1.05 | 2 | 1e+00 | 600 | 0.457515 ± 0.009347 | 0.092672 ± 0.003291 | 1.758737 ± 0.014323 | 1.785000 ± 0.104693 | 0.743890
0.95 | 1.05 | 2 | 1e-01 | 600 | 0.457697 ± 0.009416 | 0.092737 ± 0.003314 | 1.759074 ± 0.014401 | 1.785000 ± 0.105583 | 0.743877
0.95 | 1.05 | 2 | 1e-02 | 600 | 0.457697 ± 0.009416 | 0.092737 ± 0.003314 | 1.759074 ± 0.014401 | 1.785000 ± 0.105583 | 0.743877
0.95 | 1.05 | 2 | 5e+00 | 700 | 0.457090 ± 0.009322 | 0.092528 ± 0.003286 | 1.758628 ± 0.014299 | 1.785000 ± 0.108137 | 0.744032
0.95 | 1.05 | 2 | 1e+00 | 700 | 0.457515 ± 0.009347 | 0.092672 ± 0.003291 | 1.758737 ± 0.014323 | 1.785000 ± 0.104693 | 0.743890
0.95 | 1.05 | 2 | 1e-01 | 700 | 0.457697 ± 0.009416 | 0.092737 ± 0.003314 | 1.759074 ± 0.014401 | 1.785000 ± 0.105583 | 0.743877
0.95 | 1.05 | 2 | 1e-02 | 700 | 0.457697 ± 0.009416 | 0.092737 ± 0.003314 | 1.759074 ± 0.014401 | 1.785000 ± 0.105583 | 0.743877
0.95 | 1.05 | 2 | 5e+00 | 800 | 0.457090 ± 0.009322 | 0.092528 ± 0.003286 | 1.758628 ± 0.014299 | 1.785000 ± 0.108137 | 0.744032
0.95 | 1.05 | 2 | 1e+00 | 800 | 0.457515 ± 0.009347 | 0.092672 ± 0.003291 | 1.758737 ± 0.014323 | 1.785000 ± 0.104693 | 0.743890
0.95 | 1.05 | 2 | 1e-01 | 800 | 0.457697 ± 0.009416 | 0.092737 ± 0.003314 | 1.759074 ± 0.014401 | 1.785000 ± 0.105583 | 0.743877
0.95 | 1.05 | 2 | 1e-02 | 800 | 0.457697 ± 0.009416 | 0.092737 ± 0.003314 | 1.759074 ± 0.014401 | 1.785000 ± 0.105583 | 0.743877
0.96 | 1.04 | 0 | 1e-02 | 300 | 0.458220 ± 0.009676 | 0.092964 ± 0.003402 | 1.763656 ± 0.014726 | 1.768000 ± 0.087866 | 0.752909
0.96 | 1.04 | 0 | 1e-02 | 400 | 0.458220 ± 0.009676 | 0.092964 ± 0.003402 | 1.763656 ± 0.014726 | 1.768000 ± 0.087866 | 0.752909
0.96 | 1.04 | 0 | 1e-02 | 500 | 0.458220 ± 0.009676 | 0.092964 ± 0.003402 | 1.763656 ± 0.014726 | 1.768000 ± 0.087866 | 0.752909
0.96 | 1.04 | 0 | 1e-02 | 600 | 0.458220 ± 0.009676 | 0.092964 ± 0.003402 | 1.763656 ± 0.014726 | 1.768000 ± 0.087866 | 0.752909
0.96 | 1.04 | 0 | 1e-02 | 700 | 0.458220 ± 0.009676 | 0.092964 ± 0.003402 | 1.763656 ± 0.014726 | 1.768000 ± 0.087866 | 0.752909
0.96 | 1.04 | 0 | 1e-02 | 800 | 0.458220 ± 0.009676 | 0.092964 ± 0.003402 | 1.763656 ± 0.014726 | 1.768000 ± 0.087866 | 0.752909
0.96 | 1.04 | 2 | 5e+00 | 300 | 0.457518 ± 0.009300 | 0.092721 ± 0.003274 | 1.762995 ± 0.014294 | 1.768000 ± 0.089284 | 0.753064
0.96 | 1.04 | 2 | 1e+00 | 300 | 0.458049 ± 0.009391 | 0.092902 ± 0.003302 | 1.763311 ± 0.014393 | 1.768000 ± 0.086898 | 0.752921
0.96 | 1.04 | 2 | 1e-01 | 300 | 0.458204 ± 0.009456 | 0.092958 ± 0.003324 | 1.763634 ± 0.014467 | 1.768000 ± 0.087824 | 0.752908
0.96 | 1.04 | 2 | 1e-02 | 300 | 0.458204 ± 0.009456 | 0.092958 ± 0.003324 | 1.763634 ± 0.014467 | 1.768000 ± 0.087824 | 0.752908
0.96 | 1.04 | 2 | 5e+00 | 400 | 0.457518 ± 0.009300 | 0.092721 ± 0.003274 | 1.762995 ± 0.014294 | 1.768000 ± 0.089284 | 0.753064
0.96 | 1.04 | 2 | 1e+00 | 400 | 0.458049 ± 0.009391 | 0.092902 ± 0.003302 | 1.763311 ± 0.014393 | 1.768000 ± 0.086898 | 0.752921
0.96 | 1.04 | 2 | 1e-01 | 400 | 0.458204 ± 0.009456 | 0.092958 ± 0.003324 | 1.763634 ± 0.014467 | 1.768000 ± 0.087824 | 0.752908
0.96 | 1.04 | 2 | 1e-02 | 400 | 0.458204 ± 0.009456 | 0.092958 ± 0.003324 | 1.763634 ± 0.014467 | 1.768000 ± 0.087824 | 0.752908
0.96 | 1.04 | 2 | 5e+00 | 500 | 0.457518 ± 0.009300 | 0.092721 ± 0.003274 | 1.762995 ± 0.014294 | 1.768000 ± 0.089284 | 0.753064
0.96 | 1.04 | 2 | 1e+00 | 500 | 0.458049 ± 0.009391 | 0.092902 ± 0.003302 | 1.763311 ± 0.014393 | 1.768000 ± 0.086898 | 0.752921
0.96 | 1.04 | 2 | 1e-01 | 500 | 0.458204 ± 0.009456 | 0.092958 ± 0.003324 | 1.763634 ± 0.014467 | 1.768000 ± 0.087824 | 0.752908
0.96 | 1.04 | 2 | 1e-02 | 500 | 0.458204 ± 0.009456 | 0.092958 ± 0.003324 | 1.763634 ± 0.014467 | 1.768000 ± 0.087824 | 0.752908
0.96 | 1.04 | 2 | 5e+00 | 600 | 0.457518 ± 0.009300 | 0.092721 ± 0.003274 | 1.762995 ± 0.014294 | 1.768000 ± 0.089284 | 0.753064
0.96 | 1.04 | 2 | 1e+00 | 600 | 0.458049 ± 0.009391 | 0.092902 ± 0.003302 | 1.763311 ± 0.014393 | 1.768000 ± 0.086898 | 0.752921
0.96 | 1.04 | 2 | 1e-01 | 600 | 0.458204 ± 0.009456 | 0.092958 ± 0.003324 | 1.763634 ± 0.014467 | 1.768000 ± 0.087824 | 0.752908
