down | strategy | tol | ncall | sigma_tot
0.95 | 0.00 | 0.01 | 300 | 110.302
0.95 | 0.00 | 0.01 | 400 | 110.302
0.95 | 0.00 | 0.01 | 500 | 110.302
0.95 | 0.00 | 0.01 | 600 | 110.302
0.95 | 0.00 | 0.01 | 700 | 110.302
0.95 | 0.00 | 0.01 | 800 | 110.302
0.95 | 1.00 | 5.0 | 300 | 110.320
0.95 | 1.00 | 1.0 | 300 | 110.315
0.95 | 1.00 | 0.1 | 300 | 110.304
0.95 | 1.00 | 0.01 | 300 | 110.301
0.95 | 1.00 | 5.0 | 400 | 110.320
0.95 | 1.00 | 1.0 | 400 | 110.315
0.95 | 1.00 | 0.1 | 400 | 110.304
0.95 | 1.00 | 0.01 | 400 | 110.301
0.95 | 1.00 | 5.0 | 500 | 110.320
0.95 | 1.00 | 1.0 | 500 | 110.315
0.95 | 1.00 | 0.1 | 500 | 110.304
0.95 | 1.00 | 0.01 | 500 | 110.301
0.95 | 1.00 | 5.0 | 600 | 110.320
0.95 | 1.00 | 1.0 | 600 | 110.315
0.95 | 1.00 | 0.1 | 600 | 110.304
0.95 | 1.00 | 0.01 | 600 | 110.301
0.95 | 1.00 | 5.0 | 700 | 110.320
0.95 | 1.00 | 1.0 | 700 | 110.315
0.95 | 1.00 | 0.1 | 700 | 110.304
0.95 | 1.00 | 0.01 | 700 | 110.301
0.95 | 1.00 | 5.0 | 800 | 110.320
0.95 | 1.00 | 1.0 | 800 | 110.315
0.95 | 1.00 | 0.1 | 800 | 110.304
0.95 | 1.00 | 0.01 | 800 | 110.301
0.96 | 0.00 | 0.01 | 300 | 110.340
0.96 | 0.00 | 0.01 | 400 | 110.338
0.96 | 0.00 | 0.01 | 500 | 110.338
0.96 | 0.00 | 0.01 | 600 | 110.338
0.96 | 0.00 | 0.01 | 700 | 110.338
0.96 | 0.00 | 0.01 | 800 | 110.338
0.96 | 1.00 | 5.0 | 300 | 110.394
0.96 | 1.00 | 1.0 | 300 | 110.360
0.96 | 1.00 | 0.1 | 300 | 110.344
0.96 | 1.00 | 5.0 | 400 | 110.394
0.96 | 1.00 | 1.0 | 400 | 110.354
0.96 | 1.00 | 0.1 | 400 | 110.344
0.96 | 1.00 | 0.01 | 400 | 110.339
0.96 | 1.00 | 5.0 | 500 | 110.394
0.96 | 1.00 | 1.0 | 500 | 110.354
0.96 | 1.00 | 0.1 | 500 | 110.344
0.96 | 1.00 | 0.01 | 500 | 110.339
0.96 | 1.00 | 5.0 | 600 | 110.394
0.96 | 1.00 | 1.0 | 600 | 110.354
0.96 | 1.00 | 0.1 | 600 | 110.344
0.96 | 1.00 | 0.01 | 600 | 110.339
0.96 | 1.00 | 5.0 | 700 | 110.394
0.96 | 1.00 | 1.0 | 700 | 110.354
0.96 | 1.00 | 0.1 | 700 | 110.344
0.96 | 1.00 | 0.01 | 700 | 110.339
0.96 | 1.00 | 5.0 | 800 | 110.394
0.96 | 1.00 | 1.0 | 800 | 110.354
0.96 | 1.00 | 0.1 | 800 | 110.344
0.96 | 1.00 | 0.01 | 800 | 110.339
0.97 | 0.00 | 0.01 | 600 | 110.377
0.97 | 0.00 | 0.01 | 700 | 110.377
0.97 | 0.00 | 0.01 | 800 | 110.377
0.97 | 1.00 | 5.0 | 300 | 110.467
0.97 | 1.00 | 1.0 | 300 | 110.430
0.97 | 1.00 | 5.0 | 400 | 110.462
0.97 | 1.00 | 1.0 | 400 | 110.408
0.97 | 1.00 | 0.1 | 400 | 110.385
0.97 | 1.00 | 5.0 | 500 | 110.462
0.97 | 1.00 | 1.0 | 500 | 110.406
0.97 | 1.00 | 0.1 | 500 | 110.385
0.97 | 1.00 | 5.0 | 600 | 110.462
0.97 | 1.00 | 1.0 | 600 | 110.406
0.97 | 1.00 | 0.1 | 600 | 110.384
0.97 | 1.00 | 0.01 | 600 | 110.376
0.97 | 1.00 | 5.0 | 700 | 110.462
0.97 | 1.00 | 1.0 | 700 | 110.406
0.97 | 1.00 | 0.1 | 700 | 110.384
0.97 | 1.00 | 0.01 | 700 | 110.376
0.97 | 1.00 | 5.0 | 800 | 110.462
0.97 | 1.00 | 1.0 | 800 | 110.406
0.97 | 1.00 | 0.1 | 800 | 110.384
0.97 | 1.00 | 0.01 | 800 | 110.376
0.98 | 0.00 | 0.01 | 800 | 110.527
0.98 | 1.00 | 5.0 | 300 | 110.686
0.98 | 1.00 | 1.0 | 300 | 110.585
0.98 | 1.00 | 5.0 | 400 | 110.686
0.98 | 1.00 | 1.0 | 400 | 110.547
0.98 | 1.00 | 5.0 | 500 | 110.686
0.98 | 1.00 | 1.0 | 500 | 110.547
0.98 | 1.00 | 0.1 | 500 | 110.531
0.98 | 1.00 | 5.0 | 600 | 110.686
0.98 | 1.00 | 1.0 | 600 | 110.543
0.98 | 1.00 | 0.1 | 600 | 110.528
0.98 | 1.00 | 5.0 | 700 | 110.686
0.98 | 1.00 | 1.0 | 700 | 110.543
0.98 | 1.00 | 0.1 | 700 | 110.528
0.98 | 1.00 | 5.0 | 800 | 110.686
0.98 | 1.00 | 1.0 | 800 | 110.543
0.98 | 1.00 | 0.1 | 800 | 110.528
0.98 | 1.00 | 0.01 | 800 | 110.527
0.99 | 0.00 | 0.01 | 600 | 110.744
0.99 | 0.00 | 0.01 | 700 | 110.744
0.99 | 0.00 | 0.01 | 800 | 110.744
0.99 | 1.00 | 5.0 | 300 | 110.765
0.99 | 1.00 | 1.0 | 300 | 110.751
0.99 | 1.00 | 5.0 | 400 | 110.763
0.99 | 1.00 | 1.0 | 400 | 110.750
0.99 | 1.00 | 0.1 | 400 | 110.743
0.99 | 1.00 | 5.0 | 500 | 110.763
0.99 | 1.00 | 1.0 | 500 | 110.750
0.99 | 1.00 | 0.1 | 500 | 110.743
0.99 | 1.00 | 5.0 | 600 | 110.763
0.99 | 1.00 | 1.0 | 600 | 110.750
0.99 | 1.00 | 0.1 | 600 | 110.746
0.99 | 1.00 | 0.01 | 600 | 110.744
0.99 | 1.00 | 5.0 | 700 | 110.763
