down | strategy | tol | ncall
0.95 | 0 | 0.01 | 600
0.95 | 0 | 0.01 | 700
0.95 | 0 | 0.01 | 800
0.95 | 0 | 0.1 | 600
0.95 | 0 | 0.1 | 700
0.95 | 0 | 0.1 | 800
0.95 | 2 | 0.01 | 500
0.95 | 2 | 0.01 | 600
0.95 | 2 | 0.01 | 700
0.95 | 2 | 0.01 | 800
0.95 | 2 | 0.1 | 500
0.95 | 2 | 0.1 | 600
0.95 | 2 | 0.1 | 700
0.95 | 2 | 0.1 | 800
0.95 | 2 | 1.0 | 500
0.95 | 2 | 1.0 | 600
0.95 | 2 | 1.0 | 700
0.95 | 2 | 1.0 | 800
0.95 | 2 | 5.0 | 400
0.95 | 2 | 5.0 | 500
0.95 | 2 | 5.0 | 600
0.95 | 2 | 5.0 | 700
0.95 | 2 | 5.0 | 800
0.96 | 0 | 0.01 | 600
0.96 | 0 | 0.01 | 700
0.96 | 0 | 0.01 | 800
0.96 | 0 | 0.1 | 600
0.96 | 0 | 0.1 | 700
0.96 | 0 | 0.1 | 800
0.96 | 0 | 1.0 | 600
0.96 | 0 | 1.0 | 700
0.96 | 0 | 1.0 | 800
0.96 | 2 | 0.01 | 700
0.96 | 2 | 0.01 | 800
0.96 | 2 | 0.1 | 600
0.96 | 2 | 0.1 | 700
0.96 | 2 | 0.1 | 800
0.96 | 2 | 1.0 | 600
0.96 | 2 | 1.0 | 700
0.96 | 2 | 1.0 | 800
0.96 | 2 | 5.0 | 500
0.96 | 2 | 5.0 | 600
0.96 | 2 | 5.0 | 700
0.96 | 2 | 5.0 | 800
0.97 | 0 | 0.01 | 500
0.97 | 0 | 0.01 | 600
0.97 | 0 | 0.01 | 700
0.97 | 0 | 0.01 | 800
0.97 | 0 | 0.1 | 500
0.97 | 0 | 0.1 | 600
0.97 | 0 | 0.1 | 700
0.97 | 0 | 0.1 | 800
0.97 | 0 | 1.0 | 600
0.97 | 0 | 1.0 | 700
0.97 | 0 | 1.0 | 800
0.97 | 2 | 0.01 | 700
0.97 | 2 | 0.01 | 800
0.97 | 2 | 0.1 | 700
0.97 | 2 | 0.1 | 800
0.97 | 2 | 1.0 | 500
0.97 | 2 | 1.0 | 600
0.97 | 2 | 1.0 | 700
0.97 | 2 | 1.0 | 800
0.97 | 2 | 5.0 | 500
0.97 | 2 | 5.0 | 600
0.97 | 2 | 5.0 | 700
0.97 | 2 | 5.0 | 800
0.98 | 0 | 0.01 | 300
0.98 | 0 | 0.01 | 400
0.98 | 0 | 0.01 | 500
0.98 | 0 | 0.01 | 600
0.98 | 0 | 0.01 | 700
0.98 | 0 | 0.01 | 800
0.98 | 0 | 0.1 | 500
0.98 | 0 | 0.1 | 600
0.98 | 0 | 0.1 | 700
0.98 | 0 | 0.1 | 800
0.98 | 2 | 0.01 | 400
0.98 | 2 | 0.01 | 500
0.98 | 2 | 0.01 | 600
0.98 | 2 | 0.01 | 700
0.98 | 2 | 0.01 | 800
0.98 | 2 | 0.1 | 400
0.98 | 2 | 0.1 | 500
0.98 | 2 | 0.1 | 600
0.98 | 2 | 0.1 | 700
0.98 | 2 | 0.1 | 800
0.98 | 2 | 1.0 | 400
0.98 | 2 | 1.0 | 500
0.98 | 2 | 1.0 | 600
0.98 | 2 | 1.0 | 700
0.98 | 2 | 1.0 | 800
0.98 | 2 | 5.0 | 300
0.98 | 2 | 5.0 | 400
0.98 | 2 | 5.0 | 500
0.98 | 2 | 5.0 | 600
0.98 | 2 | 5.0 | 700
0.98 | 2 | 5.0 | 800
