Otimização para log em ATLAS - Limites: eps_0_mg_0_a1_0_a2_1
Configuração: down | up | strategy | tol | migrad | mg ± error | eps ± error | a1 ± error | a2 ± error | χ²/ndof
======================================================================================================================================================
0.95 | 1.05 | 0 | 5e+00 | 300 | 0.356887 ± 0.000575 | 0.071541 ± 0.001137 | 1.441650 ± 0.026646 | 4.369557 ± 0.237342 | 0.699811
0.95 | 1.05 | 0 | 1e+00 | 300 | 0.356891 ± 0.000481 | 0.071535 ± 0.001200 | 1.441650 ± 0.028506 | 4.379095 ± 0.237361 | 0.699464
0.95 | 1.05 | 0 | 1e-01 | 300 | 0.356886 ± 0.000473 | 0.071535 ± 0.001135 | 1.441650 ± 0.027872 | 4.376462 ± 0.237378 | 0.699440
0.95 | 1.05 | 0 | 1e-02 | 300 | 0.356888 ± 0.000473 | 0.071535 ± 0.001244 | 1.441650 ± 0.028187 | 4.376731 ± 0.237307 | 0.699437
0.95 | 1.05 | 0 | 5e+00 | 400 | 0.356887 ± 0.000575 | 0.071541 ± 0.001137 | 1.441650 ± 0.026646 | 4.369557 ± 0.237342 | 0.699811
0.95 | 1.05 | 0 | 1e+00 | 400 | 0.356891 ± 0.000481 | 0.071535 ± 0.001200 | 1.441650 ± 0.028506 | 4.379095 ± 0.237361 | 0.699464
0.95 | 1.05 | 0 | 1e-01 | 400 | 0.356886 ± 0.000473 | 0.071535 ± 0.001135 | 1.441650 ± 0.027872 | 4.376462 ± 0.237378 | 0.699440
0.95 | 1.05 | 0 | 1e-02 | 400 | 0.356888 ± 0.000473 | 0.071535 ± 0.001244 | 1.441650 ± 0.028187 | 4.376731 ± 0.237307 | 0.699437
0.95 | 1.05 | 0 | 5e+00 | 500 | 0.356887 ± 0.000575 | 0.071541 ± 0.001137 | 1.441650 ± 0.026646 | 4.369557 ± 0.237342 | 0.699811
0.95 | 1.05 | 0 | 1e+00 | 500 | 0.356891 ± 0.000481 | 0.071535 ± 0.001200 | 1.441650 ± 0.028506 | 4.379095 ± 0.237361 | 0.699464
0.95 | 1.05 | 0 | 1e-01 | 500 | 0.356886 ± 0.000473 | 0.071535 ± 0.001135 | 1.441650 ± 0.027872 | 4.376462 ± 0.237378 | 0.699440
0.95 | 1.05 | 0 | 1e-02 | 500 | 0.356888 ± 0.000473 | 0.071535 ± 0.001244 | 1.441650 ± 0.028187 | 4.376731 ± 0.237307 | 0.699437
0.95 | 1.05 | 0 | 5e+00 | 600 | 0.356887 ± 0.000575 | 0.071541 ± 0.001137 | 1.441650 ± 0.026646 | 4.369557 ± 0.237342 | 0.699811
0.95 | 1.05 | 0 | 1e+00 | 600 | 0.356891 ± 0.000481 | 0.071535 ± 0.001200 | 1.441650 ± 0.028506 | 4.379095 ± 0.237361 | 0.699464
0.95 | 1.05 | 0 | 1e-01 | 600 | 0.356886 ± 0.000473 | 0.071535 ± 0.001135 | 1.441650 ± 0.027872 | 4.376462 ± 0.237378 | 0.699440
0.95 | 1.05 | 0 | 1e-02 | 600 | 0.356888 ± 0.000473 | 0.071535 ± 0.001244 | 1.441650 ± 0.028187 | 4.376731 ± 0.237307 | 0.699437
0.95 | 1.05 | 0 | 5e+00 | 700 | 0.356887 ± 0.000575 | 0.071541 ± 0.001137 | 1.441650 ± 0.026646 | 4.369557 ± 0.237342 | 0.699811
0.95 | 1.05 | 0 | 1e+00 | 700 | 0.356891 ± 0.000481 | 0.071535 ± 0.001200 | 1.441650 ± 0.028506 | 4.379095 ± 0.237361 | 0.699464
0.95 | 1.05 | 0 | 1e-01 | 700 | 0.356886 ± 0.000473 | 0.071535 ± 0.001135 | 1.441650 ± 0.027872 | 4.376462 ± 0.237378 | 0.699440
0.95 | 1.05 | 0 | 1e-02 | 700 | 0.356888 ± 0.000473 | 0.071535 ± 0.001244 | 1.441650 ± 0.028187 | 4.376731 ± 0.237307 | 0.699437
0.95 | 1.05 | 0 | 5e+00 | 800 | 0.356887 ± 0.000575 | 0.071541 ± 0.001137 | 1.441650 ± 0.026646 | 4.369557 ± 0.237342 | 0.699811
0.95 | 1.05 | 0 | 1e+00 | 800 | 0.356891 ± 0.000481 | 0.071535 ± 0.001200 | 1.441650 ± 0.028506 | 4.379095 ± 0.237361 | 0.699464
0.95 | 1.05 | 0 | 1e-01 | 800 | 0.356886 ± 0.000473 | 0.071535 ± 0.001135 | 1.441650 ± 0.027872 | 4.376462 ± 0.237378 | 0.699440
