down | strategy | tol | ncall | sigma_tot
0.98 | 0.00 | 5.0 | 300 | 103.897
0.98 | 0.00 | 0.1 | 300 | 104.049
0.98 | 0.00 | 0.01 | 300 | 104.056
0.98 | 0.00 | 5.0 | 400 | 103.897
0.98 | 0.00 | 0.1 | 400 | 104.049
0.98 | 0.00 | 0.01 | 400 | 104.056
0.98 | 0.00 | 5.0 | 500 | 103.897
0.98 | 0.00 | 0.1 | 500 | 104.049
0.98 | 0.00 | 0.01 | 500 | 104.056
0.98 | 0.00 | 5.0 | 600 | 103.897
0.98 | 0.00 | 0.1 | 600 | 104.049
0.98 | 0.00 | 0.01 | 600 | 104.056
0.98 | 0.00 | 5.0 | 700 | 103.897
0.98 | 0.00 | 0.1 | 700 | 104.049
0.98 | 0.00 | 0.01 | 700 | 104.056
0.98 | 0.00 | 5.0 | 800 | 103.897
0.98 | 0.00 | 0.1 | 800 | 104.049
0.98 | 0.00 | 0.01 | 800 | 104.056
0.98 | 2.00 | 5.0 | 300 | 104.068
0.98 | 2.00 | 1.0 | 300 | 104.060
0.98 | 2.00 | 0.1 | 300 | 104.056
0.98 | 2.00 | 0.01 | 300 | 104.056
0.98 | 2.00 | 5.0 | 400 | 104.068
0.98 | 2.00 | 1.0 | 400 | 104.060
0.98 | 2.00 | 0.1 | 400 | 104.056
0.98 | 2.00 | 0.01 | 400 | 104.056
0.98 | 2.00 | 5.0 | 500 | 104.068
0.98 | 2.00 | 1.0 | 500 | 104.060
0.98 | 2.00 | 0.1 | 500 | 104.056
0.98 | 2.00 | 0.01 | 500 | 104.056
0.98 | 2.00 | 5.0 | 600 | 104.068
0.98 | 2.00 | 1.0 | 600 | 104.060
0.98 | 2.00 | 0.1 | 600 | 104.056
0.98 | 2.00 | 0.01 | 600 | 104.056
0.98 | 2.00 | 5.0 | 700 | 104.068
0.98 | 2.00 | 1.0 | 700 | 104.060
0.98 | 2.00 | 0.1 | 700 | 104.056
0.98 | 2.00 | 0.01 | 700 | 104.056
0.98 | 2.00 | 5.0 | 800 | 104.068
0.98 | 2.00 | 1.0 | 800 | 104.060
0.98 | 2.00 | 0.1 | 800 | 104.056
0.98 | 2.00 | 0.01 | 800 | 104.056
0.99 | 0.00 | 5.0 | 300 | 104.100
0.99 | 0.00 | 1.0 | 300 | 104.100
0.99 | 0.00 | 0.1 | 300 | 104.100
0.99 | 0.00 | 5.0 | 400 | 104.100
0.99 | 0.00 | 1.0 | 400 | 104.100
0.99 | 0.00 | 0.1 | 400 | 104.100
0.99 | 0.00 | 5.0 | 500 | 104.100
0.99 | 0.00 | 1.0 | 500 | 104.100
0.99 | 0.00 | 0.1 | 500 | 104.100
0.99 | 0.00 | 5.0 | 600 | 104.100
0.99 | 0.00 | 1.0 | 600 | 104.100
0.99 | 0.00 | 0.1 | 600 | 104.100
0.99 | 0.00 | 5.0 | 700 | 104.100
0.99 | 0.00 | 1.0 | 700 | 104.100
0.99 | 0.00 | 0.1 | 700 | 104.100
0.99 | 0.00 | 5.0 | 800 | 104.100
0.99 | 0.00 | 1.0 | 800 | 104.100
0.99 | 0.00 | 0.1 | 800 | 104.100
0.99 | 2.00 | 5.0 | 300 | 104.077
0.99 | 2.00 | 1.0 | 300 | 104.077
0.99 | 2.00 | 0.1 | 300 | 104.087
0.99 | 2.00 | 0.01 | 300 | 104.088
0.99 | 2.00 | 5.0 | 400 | 104.077
0.99 | 2.00 | 1.0 | 400 | 104.077
0.99 | 2.00 | 0.1 | 400 | 104.087
0.99 | 2.00 | 0.01 | 400 | 104.088
0.99 | 2.00 | 5.0 | 500 | 104.077
0.99 | 2.00 | 1.0 | 500 | 104.077
0.99 | 2.00 | 0.1 | 500 | 104.087
0.99 | 2.00 | 0.01 | 500 | 104.088
0.99 | 2.00 | 5.0 | 600 | 104.077
0.99 | 2.00 | 1.0 | 600 | 104.077
0.99 | 2.00 | 0.1 | 600 | 104.087
0.99 | 2.00 | 0.01 | 600 | 104.088
0.99 | 2.00 | 5.0 | 700 | 104.077
0.99 | 2.00 | 1.0 | 700 | 104.077
0.99 | 2.00 | 0.1 | 700 | 104.087
0.99 | 2.00 | 0.01 | 700 | 104.088
0.99 | 2.00 | 5.0 | 800 | 104.077
0.99 | 2.00 | 1.0 | 800 | 104.077
0.99 | 2.00 | 0.1 | 800 | 104.087
0.99 | 2.00 | 0.01 | 800 | 104.088
