Otimização para log em ATLAS - Limites: eps_0_mg_0_a1_0_a2_1
Configuração: down | up | strategy | tol | migrad | mg ± error | eps ± error | a1 ± error | a2 ± error | χ²/ndof
======================================================================================================================================================
0.96 | 1.04 | 0 | 5e+00 | 300 | 0.358635 ± 0.000168 | 0.072288 ± 0.000141 | 1.427920 ± 0.003574 | 4.483991 ± 0.084842 | 0.776011
0.96 | 1.04 | 0 | 1e+00 | 300 | 0.358633 ± 0.000166 | 0.072288 ± 0.000150 | 1.427920 ± 0.003551 | 4.481905 ± 0.084818 | 0.775985
0.96 | 1.04 | 0 | 5e+00 | 400 | 0.358635 ± 0.000168 | 0.072288 ± 0.000141 | 1.427920 ± 0.003574 | 4.483991 ± 0.084842 | 0.776011
0.96 | 1.04 | 0 | 1e+00 | 400 | 0.358633 ± 0.000166 | 0.072288 ± 0.000150 | 1.427920 ± 0.003551 | 4.481905 ± 0.084818 | 0.775985
0.96 | 1.04 | 0 | 1e-01 | 400 | 0.358635 ± 0.000166 | 0.072288 ± 0.000156 | 1.427920 ± 0.003575 | 4.482250 ± 0.084808 | 0.775984
0.96 | 1.04 | 0 | 5e+00 | 500 | 0.358635 ± 0.000168 | 0.072288 ± 0.000141 | 1.427920 ± 0.003574 | 4.483991 ± 0.084842 | 0.776011
0.96 | 1.04 | 0 | 1e+00 | 500 | 0.358633 ± 0.000166 | 0.072288 ± 0.000150 | 1.427920 ± 0.003551 | 4.481905 ± 0.084818 | 0.775985
0.96 | 1.04 | 0 | 1e-01 | 500 | 0.358635 ± 0.000166 | 0.072288 ± 0.000156 | 1.427920 ± 0.003575 | 4.482250 ± 0.084808 | 0.775984
0.96 | 1.04 | 0 | 5e+00 | 600 | 0.358635 ± 0.000168 | 0.072288 ± 0.000141 | 1.427920 ± 0.003574 | 4.483991 ± 0.084842 | 0.776011
0.96 | 1.04 | 0 | 1e+00 | 600 | 0.358633 ± 0.000166 | 0.072288 ± 0.000150 | 1.427920 ± 0.003551 | 4.481905 ± 0.084818 | 0.775985
0.96 | 1.04 | 0 | 1e-01 | 600 | 0.358635 ± 0.000166 | 0.072288 ± 0.000156 | 1.427920 ± 0.003575 | 4.482250 ± 0.084808 | 0.775984
0.96 | 1.04 | 0 | 5e+00 | 700 | 0.358635 ± 0.000168 | 0.072288 ± 0.000141 | 1.427920 ± 0.003574 | 4.483991 ± 0.084842 | 0.776011
0.96 | 1.04 | 0 | 1e+00 | 700 | 0.358633 ± 0.000166 | 0.072288 ± 0.000150 | 1.427920 ± 0.003551 | 4.481905 ± 0.084818 | 0.775985
0.96 | 1.04 | 0 | 1e-01 | 700 | 0.358635 ± 0.000166 | 0.072288 ± 0.000156 | 1.427920 ± 0.003575 | 4.482250 ± 0.084808 | 0.775984
0.96 | 1.04 | 0 | 5e+00 | 800 | 0.358635 ± 0.000168 | 0.072288 ± 0.000141 | 1.427920 ± 0.003574 | 4.483991 ± 0.084842 | 0.776011
0.96 | 1.04 | 0 | 1e+00 | 800 | 0.358633 ± 0.000166 | 0.072288 ± 0.000150 | 1.427920 ± 0.003551 | 4.481905 ± 0.084818 | 0.775985
0.96 | 1.04 | 0 | 1e-01 | 800 | 0.358635 ± 0.000166 | 0.072288 ± 0.000156 | 1.427920 ± 0.003575 | 4.482250 ± 0.084808 | 0.775984
0.98 | 1.02 | 0 | 5e+00 | 300 | 0.362135 ± 0.000160 | 0.073794 ± 0.000121 | 1.400460 ± 0.003077 | 4.692740 ± 0.084408 | 0.945792
0.98 | 1.02 | 0 | 1e+00 | 300 | 0.362135 ± 0.000160 | 0.073794 ± 0.000121 | 1.400460 ± 0.003077 | 4.692740 ± 0.084408 | 0.945792
0.98 | 1.02 | 0 | 1e-01 | 300 | 0.362135 ± 0.000160 | 0.073794 ± 0.000131 | 1.400460 ± 0.003076 | 4.690971 ± 0.084408 | 0.945779
0.98 | 1.02 | 0 | 1e-02 | 300 | 0.362137 ± 0.000160 | 0.073794 ± 0.000138 | 1.400460 ± 0.003093 | 4.691150 ± 0.084413 | 0.945779
0.98 | 1.02 | 0 | 5e+00 | 400 | 0.362135 ± 0.000160 | 0.073794 ± 0.000121 | 1.400460 ± 0.003077 | 4.692740 ± 0.084408 | 0.945792
0.98 | 1.02 | 0 | 1e+00 | 400 | 0.362135 ± 0.000160 | 0.073794 ± 0.000121 | 1.400460 ± 0.003077 | 4.692740 ± 0.084408 | 0.945792
0.98 | 1.02 | 0 | 1e-01 | 400 | 0.362135 ± 0.000160 | 0.073794 ± 0.000131 | 1.400460 ± 0.003076 | 4.690971 ± 0.084408 | 0.945779
0.98 | 1.02 | 0 | 1e-02 | 400 | 0.362137 ± 0.000160 | 0.073794 ± 0.000138 | 1.400460 ± 0.003093 | 4.691150 ± 0.084413 | 0.945779
0.98 | 1.02 | 0 | 5e+00 | 500 | 0.362135 ± 0.000160 | 0.073794 ± 0.000121 | 1.400460 ± 0.003077 | 4.692740 ± 0.084408 | 0.945792
0.98 | 1.02 | 0 | 1e+00 | 500 | 0.362135 ± 0.000160 | 0.073794 ± 0.000121 | 1.400460 ± 0.003077 | 4.692740 ± 0.084408 | 0.945792
0.98 | 1.02 | 0 | 1e-01 | 500 | 0.362135 ± 0.000160 | 0.073794 ± 0.000131 | 1.400460 ± 0.003076 | 4.690971 ± 0.084408 | 0.945779
0.98 | 1.02 | 0 | 1e-02 | 500 | 0.362137 ± 0.000160 | 0.073794 ± 0.000138 | 1.400460 ± 0.003093 | 4.691150 ± 0.084413 | 0.945779
0.98 | 1.02 | 0 | 5e+00 | 600 | 0.362135 ± 0.000160 | 0.073794 ± 0.000121 | 1.400460 ± 0.003077 | 4.692740 ± 0.084408 | 0.945792
0.98 | 1.02 | 0 | 1e+00 | 600 | 0.362135 ± 0.000160 | 0.073794 ± 0.000121 | 1.400460 ± 0.003077 | 4.692740 ± 0.084408 | 0.945792
0.98 | 1.02 | 0 | 1e-01 | 600 | 0.362135 ± 0.000160 | 0.073794 ± 0.000131 | 1.400460 ± 0.003076 | 4.690971 ± 0.084408 | 0.945779
0.98 | 1.02 | 0 | 1e-02 | 600 | 0.362137 ± 0.000160 | 0.073794 ± 0.000138 | 1.400460 ± 0.003093 | 4.691150 ± 0.084413 | 0.945779
0.98 | 1.02 | 0 | 5e+00 | 700 | 0.362135 ± 0.000160 | 0.073794 ± 0.000121 | 1.400460 ± 0.003077 | 4.692740 ± 0.084408 | 0.945792
0.98 | 1.02 | 0 | 1e+00 | 700 | 0.362135 ± 0.000160 | 0.073794 ± 0.000121 | 1.400460 ± 0.003077 | 4.692740 ± 0.084408 | 0.945792
0.98 | 1.02 | 0 | 1e-01 | 700 | 0.362135 ± 0.000160 | 0.073794 ± 0.000131 | 1.400460 ± 0.003076 | 4.690971 ± 0.084408 | 0.945779
0.98 | 1.02 | 0 | 1e-02 | 700 | 0.362137 ± 0.000160 | 0.073794 ± 0.000138 | 1.400460 ± 0.003093 | 4.691150 ± 0.084413 | 0.945779
0.98 | 1.02 | 0 | 5e+00 | 800 | 0.362135 ± 0.000160 | 0.073794 ± 0.000121 | 1.400460 ± 0.003077 | 4.692740 ± 0.084408 | 0.945792
0.98 | 1.02 | 0 | 1e+00 | 800 | 0.362135 ± 0.000160 | 0.073794 ± 0.000121 | 1.400460 ± 0.003077 | 4.692740 ± 0.084408 | 0.945792
0.98 | 1.02 | 0 | 1e-01 | 800 | 0.362135 ± 0.000160 | 0.073794 ± 0.000131 | 1.400460 ± 0.003076 | 4.690971 ± 0.084408 | 0.945779
0.98 | 1.02 | 0 | 1e-02 | 800 | 0.362137 ± 0.000160 | 0.073794 ± 0.000138 | 1.400460 ± 0.003093 | 4.691150 ± 0.084413 | 0.945779
