Otimização para pl em ATLAS - Limites: eps_0_mg_1_a1_1_a2_1
Configuração: down | up | strategy | tol | migrad | mg ± error | eps ± error | a1 ± error | a2 ± error | χ²/ndof
======================================================================================================================================================
0.98 | 1.02 | 0 | 5e+00 | 300 | 0.416275 ± 0.001494 | 0.073794 ± 0.000206 | 1.622332 ± 0.039889 | 1.822897 ± 0.289342 | 0.521659
0.98 | 1.02 | 0 | 1e+00 | 300 | 0.416275 ± 0.001494 | 0.073794 ± 0.000206 | 1.622332 ± 0.039889 | 1.822897 ± 0.289342 | 0.521659
0.98 | 1.02 | 0 | 1e-01 | 300 | 0.416275 ± 0.001494 | 0.073794 ± 0.000206 | 1.622332 ± 0.039889 | 1.822897 ± 0.289342 | 0.521659
0.98 | 1.02 | 0 | 1e-02 | 300 | 0.416285 ± 0.001496 | 0.073794 ± 0.000200 | 1.622079 ± 0.039983 | 1.825025 ± 0.290070 | 0.521658
0.98 | 1.02 | 0 | 5e+00 | 400 | 0.416275 ± 0.001494 | 0.073794 ± 0.000206 | 1.622332 ± 0.039889 | 1.822897 ± 0.289342 | 0.521659
0.98 | 1.02 | 0 | 1e+00 | 400 | 0.416275 ± 0.001494 | 0.073794 ± 0.000206 | 1.622332 ± 0.039889 | 1.822897 ± 0.289342 | 0.521659
0.98 | 1.02 | 0 | 1e-01 | 400 | 0.416275 ± 0.001494 | 0.073794 ± 0.000206 | 1.622332 ± 0.039889 | 1.822897 ± 0.289342 | 0.521659
0.98 | 1.02 | 0 | 1e-02 | 400 | 0.416285 ± 0.001496 | 0.073794 ± 0.000200 | 1.622079 ± 0.039983 | 1.825025 ± 0.290070 | 0.521658
0.98 | 1.02 | 0 | 5e+00 | 500 | 0.416275 ± 0.001494 | 0.073794 ± 0.000206 | 1.622332 ± 0.039889 | 1.822897 ± 0.289342 | 0.521659
0.98 | 1.02 | 0 | 1e+00 | 500 | 0.416275 ± 0.001494 | 0.073794 ± 0.000206 | 1.622332 ± 0.039889 | 1.822897 ± 0.289342 | 0.521659
0.98 | 1.02 | 0 | 1e-01 | 500 | 0.416275 ± 0.001494 | 0.073794 ± 0.000206 | 1.622332 ± 0.039889 | 1.822897 ± 0.289342 | 0.521659
