Otimização para pl em TOTEM - Limites: eps_0_mg_1_a1_1_a2_1
Configuração: down | up | strategy | tol | migrad | mg ± error | eps ± error | a1 ± error | a2 ± error | χ²/ndof
======================================================================================================================================================
0.96 | 1.04 | 0 | 1e-01 | 800 | 0.442862 ± 0.000441 | 0.085632 ± 0.000235 | 1.570236 ± 0.015408 | 2.524828 ± 0.068225 | 0.508226
0.96 | 1.04 | 0 | 1e-02 | 800 | 0.442860 ± 0.000441 | 0.085632 ± 0.000244 | 1.570309 ± 0.015404 | 2.524525 ± 0.068208 | 0.508226
0.97 | 1.03 | 0 | 1e-01 | 700 | 0.445036 ± 0.000445 | 0.086524 ± 0.000237 | 1.582710 ± 0.015421 | 2.482262 ± 0.068276 | 0.519867
0.97 | 1.03 | 0 | 1e-01 | 800 | 0.445036 ± 0.000445 | 0.086524 ± 0.000237 | 1.582710 ± 0.015421 | 2.482262 ± 0.068276 | 0.519867
0.98 | 1.02 | 0 | 1e-01 | 500 | 0.447224 ± 0.000449 | 0.087416 ± 0.000195 | 1.595099 ± 0.015439 | 2.440308 ± 0.068346 | 0.532694
0.98 | 1.02 | 0 | 1e-02 | 500 | 0.447225 ± 0.000449 | 0.087416 ± 0.000189 | 1.595086 ± 0.015438 | 2.440342 ± 0.068342 | 0.532694
0.98 | 1.02 | 0 | 1e-01 | 600 | 0.447224 ± 0.000449 | 0.087416 ± 0.000195 | 1.595099 ± 0.015439 | 2.440308 ± 0.068346 | 0.532694
0.98 | 1.02 | 0 | 1e-02 | 600 | 0.447225 ± 0.000449 | 0.087416 ± 0.000189 | 1.595086 ± 0.015438 | 2.440342 ± 0.068342 | 0.532694
0.98 | 1.02 | 0 | 1e-01 | 700 | 0.447224 ± 0.000449 | 0.087416 ± 0.000195 | 1.595099 ± 0.015439 | 2.440308 ± 0.068346 | 0.532694
0.98 | 1.02 | 0 | 1e-02 | 700 | 0.447225 ± 0.000449 | 0.087416 ± 0.000189 | 1.595086 ± 0.015438 | 2.440342 ± 0.068342 | 0.532694
0.98 | 1.02 | 0 | 1e-01 | 800 | 0.447224 ± 0.000449 | 0.087416 ± 0.000195 | 1.595099 ± 0.015439 | 2.440308 ± 0.068346 | 0.532694
0.98 | 1.02 | 0 | 1e-02 | 800 | 0.447225 ± 0.000449 | 0.087416 ± 0.000189 | 1.595086 ± 0.015438 | 2.440342 ± 0.068342 | 0.532694
0.99 | 1.01 | 0 | 5e+00 | 300 | 0.449416 ± 0.000452 | 0.088308 ± 0.000260 | 1.607779 ± 0.015432 | 2.397205 ± 0.068312 | 0.546706
0.99 | 1.01 | 0 | 1e+00 | 300 | 0.449416 ± 0.000452 | 0.088308 ± 0.000260 | 1.607779 ± 0.015432 | 2.397205 ± 0.068312 | 0.546706
0.99 | 1.01 | 0 | 5e+00 | 400 | 0.449416 ± 0.000452 | 0.088308 ± 0.000260 | 1.607779 ± 0.015432 | 2.397205 ± 0.068312 | 0.546706
0.99 | 1.01 | 0 | 1e+00 | 400 | 0.449416 ± 0.000452 | 0.088308 ± 0.000260 | 1.607779 ± 0.015432 | 2.397205 ± 0.068312 | 0.546706
0.99 | 1.01 | 0 | 5e+00 | 500 | 0.449416 ± 0.000452 | 0.088308 ± 0.000260 | 1.607779 ± 0.015432 | 2.397205 ± 0.068312 | 0.546706
0.99 | 1.01 | 0 | 1e+00 | 500 | 0.449416 ± 0.000452 | 0.088308 ± 0.000260 | 1.607779 ± 0.015432 | 2.397205 ± 0.068312 | 0.546706
0.99 | 1.01 | 0 | 5e+00 | 600 | 0.449416 ± 0.000452 | 0.088308 ± 0.000260 | 1.607779 ± 0.015432 | 2.397205 ± 0.068312 | 0.546706
0.99 | 1.01 | 0 | 1e+00 | 600 | 0.449416 ± 0.000452 | 0.088308 ± 0.000260 | 1.607779 ± 0.015432 | 2.397205 ± 0.068312 | 0.546706
0.99 | 1.01 | 0 | 5e+00 | 700 | 0.449416 ± 0.000452 | 0.088308 ± 0.000260 | 1.607779 ± 0.015432 | 2.397205 ± 0.068312 | 0.546706
0.99 | 1.01 | 0 | 1e+00 | 700 | 0.449416 ± 0.000452 | 0.088308 ± 0.000260 | 1.607779 ± 0.015432 | 2.397205 ± 0.068312 | 0.546706
0.99 | 1.01 | 0 | 5e+00 | 800 | 0.449416 ± 0.000452 | 0.088308 ± 0.000260 | 1.607779 ± 0.015432 | 2.397205 ± 0.068312 | 0.546706
0.99 | 1.01 | 0 | 1e+00 | 800 | 0.449416 ± 0.000452 | 0.088308 ± 0.000260 | 1.607779 ± 0.015432 | 2.397205 ± 0.068312 | 0.546706
