down | strategy | tol | ncall | sigma_tot
0.96 | 0.00 | 0.01 | 600 | 109.165
0.96 | 0.00 | 0.01 | 700 | 109.165
0.96 | 0.00 | 0.01 | 800 | 109.165
0.98 | 0.00 | 5.0 | 300 | 109.350
0.98 | 0.00 | 5.0 | 400 | 109.350
0.98 | 0.00 | 5.0 | 500 | 109.350
0.98 | 0.00 | 5.0 | 600 | 109.350
0.98 | 0.00 | 5.0 | 700 | 109.350
0.98 | 0.00 | 5.0 | 800 | 109.350
0.99 | 0.00 | 5.0 | 300 | 109.674
0.99 | 0.00 | 1.0 | 300 | 109.677
0.99 | 0.00 | 5.0 | 400 | 109.674
0.99 | 0.00 | 1.0 | 400 | 109.677
0.99 | 0.00 | 5.0 | 500 | 109.674
0.99 | 0.00 | 1.0 | 500 | 109.677
0.99 | 0.00 | 5.0 | 600 | 109.674
0.99 | 0.00 | 1.0 | 600 | 109.677
0.99 | 0.00 | 5.0 | 700 | 109.674
0.99 | 0.00 | 1.0 | 700 | 109.677
0.99 | 0.00 | 5.0 | 800 | 109.674
0.99 | 0.00 | 1.0 | 800 | 109.677
