Otimização para log em ATLAS - Limites: eps_0_mg_1_a1_0_a2_1
Configuração: down | up | strategy | tol | migrad | mg ± error | eps ± error | a1 ± error | a2 ± error | χ²/ndof
======================================================================================================================================================
0.95 | 1.05 | 0 | 5e+00 | 300 | 0.356890 ± 0.000171 | 0.071535 ± 0.000167 | 1.441649 ± 0.003877 | 4.377497 ± 0.085033 | 0.699449
0.95 | 1.05 | 0 | 1e+00 | 300 | 0.356890 ± 0.000171 | 0.071535 ± 0.000167 | 1.441649 ± 0.003877 | 4.377497 ± 0.085033 | 0.699449
0.95 | 1.05 | 0 | 5e+00 | 400 | 0.356890 ± 0.000171 | 0.071535 ± 0.000167 | 1.441649 ± 0.003877 | 4.377497 ± 0.085033 | 0.699449
0.95 | 1.05 | 0 | 1e+00 | 400 | 0.356890 ± 0.000171 | 0.071535 ± 0.000167 | 1.441649 ± 0.003877 | 4.377497 ± 0.085033 | 0.699449
0.95 | 1.05 | 0 | 1e-01 | 400 | 0.356888 ± 0.000170 | 0.071535 ± 0.000168 | 1.441650 ± 0.003859 | 4.376697 ± 0.085025 | 0.699437
0.95 | 1.05 | 0 | 1e-02 | 400 | 0.356888 ± 0.000170 | 0.071535 ± 0.000168 | 1.441650 ± 0.003859 | 4.376697 ± 0.085025 | 0.699437
0.95 | 1.05 | 0 | 5e+00 | 500 | 0.356890 ± 0.000171 | 0.071535 ± 0.000167 | 1.441649 ± 0.003877 | 4.377497 ± 0.085033 | 0.699449
0.95 | 1.05 | 0 | 1e+00 | 500 | 0.356890 ± 0.000171 | 0.071535 ± 0.000167 | 1.441649 ± 0.003877 | 4.377497 ± 0.085033 | 0.699449
0.95 | 1.05 | 0 | 1e-01 | 500 | 0.356888 ± 0.000170 | 0.071535 ± 0.000168 | 1.441650 ± 0.003859 | 4.376697 ± 0.085025 | 0.699437
0.95 | 1.05 | 0 | 1e-02 | 500 | 0.356888 ± 0.000170 | 0.071535 ± 0.000168 | 1.441650 ± 0.003859 | 4.376697 ± 0.085025 | 0.699437
