Otimização para log em ATLAS - Limites: mg=1, eps=0, a1=1, a2=0
Configuração: down | up | strategy | migrad | mg ± error | eps ± error | a1 ± error | a2 ± error | χ²/ndof
========================================================================================================================
0.9 | 1.1 | 0 | 70 | 0.3593942214117633 ± 0.011786359153695164 | 0.07337889193489347 ± 0.005936044844438763 | 1.5010093828843423 ± 0.027099353515498636 | 3.943935362964863 ± 0.3240042614697605 | 0.6837549627848177
0.9 | 1.1 | 0 | 90 | 0.35921458686844754 ± 0.009654361100686737 | 0.07332305561655786 ± 0.004828917524449947 | 1.5074909884991095 ± 0.027629922286267372 | 3.981228341662818 ± 0.2880286623936316 | 0.6640829472263308
0.9 | 1.1 | 0 | 100 | 0.35901211305140646 ± 0.011041225146303402 | 0.07324776921581881 ± 0.0055402623210412515 | 1.5102853744617641 ± 0.028350737645499557 | 3.9302958677520157 ± 0.2664192251518933 | 0.6526373764695085
0.9 | 1.1 | 0 | 150 | 0.35492364060675585 ± 0.010626244441867716 | 0.07090721689319135 ± 0.005463592729451972 | 1.4768035903709984 ± 0.05350555216257802 | 4.119580205951093 ± 0.459315018065163 | 0.5927991347767061
0.9 | 1.1 | 1 | 70 | 0.35939422125225573 ± 0.011785838636943297 | 0.07337889201458149 ± 0.00593577157213905 | 1.5010093937511066 ± 0.027099328272920165 | 3.9439352437833284 ± 0.32400235757349044 | 0.6837549561681221
0.9 | 1.1 | 1 | 90 | 0.35921458716888144 ± 0.009654442560659199 | 0.07332305565627133 ± 0.004828959541930958 | 1.507490983708428 ± 0.027629934188270977 | 3.9812284401739437 ± 0.2880290007533226 | 0.6640829568382755
0.9 | 1.1 | 1 | 100 | 0.35901211295268926 ± 0.01104092699986381 | 0.07324776922696083 ± 0.005540106945846797 | 1.51028537437625 ± 0.02835072461337007 | 3.930295848315016 ± 0.266417879672864 | 0.6526373808650376
0.9 | 1.1 | 1 | 150 | 0.3549235315513962 ± 0.010625550985460669 | 0.07090715590503095 ± 0.00546322247548096 | 1.4768030521667117 ± 0.05350609039548604 | 4.119585095934525 ± 0.45931840127179324 | 0.5927972203146675
0.9 | 1.1 | 2 | 150 | 0.35423276152823924 ± 0.011810192982998152 | 0.07083002997421099 ± 0.006043134243432566 | 1.5102978272191092 ± 0.044484993738662215 | 3.901172160169293 ± 0.2699624350450843 | 0.5259944923603077
0.9 | 1.1 | 2 | 200 | 0.3528361351425241 ± 0.011820527329876207 | 0.06999158004377246 ± 0.006147984879561305 | 1.497749937828289 ± 0.04339028689002877 | 3.9686731934726347 ± 0.4064026648249078 | 0.5096180508978089
0.91 | 1.0899999999999999 | 0 | 70 | 0.35948708993716505 ± 0.01159802150833908 | 0.07332090130818299 ± 0.005865371097188522 | 1.4889372608937443 ± 0.02352030214055223 | 4.01298836910563 ± 0.31008808567652124 | 0.7062241365260594
0.91 | 1.0899999999999999 | 0 | 90 | 0.3593547189398081 ± 0.009536976469946612 | 0.073259220783148 ± 0.004789343290349585 | 1.4937585079652531 ± 0.027393838854241626 | 4.076150678780513 ± 0.286178479154458 | 0.6862580013771654
0.91 | 1.0899999999999999 | 0 | 100 | 0.35912264051883785 ± 0.010720502482866295 | 0.07317611474559516 ± 0.00540116049857154 | 1.4965185548011017 ± 0.026306302421902794 | 4.020947223520865 ± 0.2647546249230795 | 0.6744562951490758
0.91 | 1.0899999999999999 | 0 | 150 | 0.3563698144718151 ± 0.010611422136244747 | 0.0716193171441937 ± 0.005430602761831553 | 1.4728543623747015 ± 0.041707901933788816 | 4.117884135623655 ± 0.39098603716601543 | 0.63965730543695
0.91 | 1.0899999999999999 | 1 | 70 | 0.3594870898319091 ± 0.011597862679547016 | 0.07332090135679788 ± 0.005865286143286398 | 1.4889372757401669 ± 0.023520279375658704 | 4.012988294601929 ± 0.31008752342120904 | 0.7062241039786334
0.91 | 1.0899999999999999 | 1 | 90 | 0.35935471874596614 ± 0.009537404188176946 | 0.07325922076962657 ± 0.004789565916022159 | 1.4937585170527452 ± 0.027393847375125402 | 4.076150602995645 ± 0.2861798336257694 | 0.6862579803123088
0.91 | 1.0899999999999999 | 1 | 100 | 0.3591226403755495 ± 0.010720934818064631 | 0.07317611461103846 ± 0.00540138778504391 | 1.4965185541181423 ± 0.026306314785245366 | 4.020947261789516 ± 0.264756690728602 | 0.6744562844561328
0.91 | 1.0899999999999999 | 1 | 150 | 0.35832978990090053 ± 0.012677311243054545 | 0.07267197659905382 ± 0.0064919546708787435 | 1.488339932158428 ± 0.032613486859497165 | 4.079025510861936 ± 0.34418645579709733 | 0.661076072428358
0.91 | 1.0899999999999999 | 2 | 70 | 0.3596593232919155 ± 0.00611183831720058 | 0.07354722416499188 ± 0.0030270393551194864 | 1.4883628232704178 ± 0.018748559736874615 | 4.050263092362128 ± 0.29582630106655894 | 0.7855275277121367
0.91 | 1.0899999999999999 | 2 | 90 | 0.3512614376464072 ± 0.0018337923335570994 | 0.0686467417107178 ± 0.000977563312694541 | 1.4918674392462958 ± 0.16594078830922776 | 4.25597404292693 ± 0.27624727044839503 | 0.7623776973292585
0.91 | 1.0899999999999999 | 2 | 100 | 0.34707876989249253 ± 0.001816497802666045 | 0.06652335344091181 ± 0.0009880694904045757 | 1.4919358812916443 ± 0.19523655622573743 | 4.2151322939795834 ± 0.26533571007870704 | 0.6455508412105644
0.92 | 1.08 | 0 | 70 | 0.35960759773556034 ± 0.012383574234744177 | 0.07324629036014078 ± 0.006341277657189424 | 1.4763848548575258 ± 0.022255198942839338 | 4.10831602006256 ± 0.3081271077739354 | 0.725316268638984
0.92 | 1.08 | 0 | 90 | 0.3593549885272552 ± 0.009586973028790302 | 0.0731619903487198 ± 0.004837125338383814 | 1.4823863482227375 ± 0.02497332948801123 | 4.133021645613211 ± 0.2637329303855453 | 0.7027197779723288
0.92 | 1.08 | 0 | 100 | 0.3592114567842413 ± 0.012657636656877858 | 0.07305595803730547 ± 0.0064958362892348475 | 1.4823054404203961 ± 0.032849166180610956 | 4.127043861187257 ± 0.2762278444400777 | 0.6951277908561245
