Otimização para pl em ATLAS - Limites: mg=0, eps=0, a1=1, a2=0
Configuração: down | up | strategy | migrad | mg ± error | eps ± error | a1 ± error | a2 ± error | χ²/ndof
========================================================================================================================
0.9 | 1.1 | 2 | 70 | 0.4196164216411323 ± 0.015052409115379525 | 0.07528997637243301 ± 0.005697403108653127 | 1.6336383475730374 ± 0.06859084809040483 | 1.738885537523083 ± 0.5781862798834265 | 0.6013990337426119
0.91 | 1.0899999999999999 | 0 | 70 | 0.4122662067231857 ± 0.015104166381354386 | 0.07289210682026123 ± 0.005534658425086782 | 1.651708267563546 ± 0.18047483797637442 | 1.479191695411366 ± 0.36463650819201404 | 0.5024069451075319
0.91 | 1.0899999999999999 | 1 | 70 | 0.4122662053131065 ± 0.015104218767872504 | 0.07289210633677175 ± 0.005534677556828778 | 1.6517082709083442 ± 0.1804749334206558 | 1.4791914223492977 ± 0.36463680438050033 | 0.5024070187540046
0.91 | 1.0899999999999999 | 2 | 70 | 0.41987620711765855 ± 0.014973072984848795 | 0.07527966523763097 ± 0.005607061715101237 | 1.6237790509452745 ± 0.05874097867144734 | 1.7891480991663973 ± 0.5302479556968067 | 0.6053503396574915
0.92 | 1.08 | 0 | 70 | 0.41338725924079883 ± 0.014917254107337413 | 0.0731239518743941 ± 0.005428766220051503 | 1.6383596009319346 ± 0.04438597932796262 | 1.5778397972532474 ± 0.35647730489822127 | 0.5075782339038495
0.92 | 1.08 | 1 | 70 | 0.41338725912007435 ± 0.01491777727553041 | 0.07312395183631695 ± 0.00542895763225074 | 1.638359600937817 ± 0.04438516760618905 | 1.577839749805499 ± 0.35648246533270794 | 0.5075782423880133
0.92 | 1.08 | 2 | 70 | 0.4202060069031471 ± 0.014778817101202274 | 0.07526626626806249 ± 0.005491276298376979 | 1.611733926887836 ± 0.05179302842132594 | 1.8594679130705705 ± 0.5062352636077189 | 0.6105413785835722
0.93 | 1.0699999999999998 | 0 | 70 | 0.41490447077850867 ± 0.014596068210011108 | 0.07343635109397997 ± 0.005332990426622753 | 1.6212731752997078 ± 0.03412486455417263 | 1.721796350962539 ± 0.3847146469769142 | 0.5176230423995476
0.93 | 1.0699999999999998 | 1 | 70 | 0.41490447077850867 ± 0.014596066504472562 | 0.07343635109397997 ± 0.005332981323171645 | 1.6212731752997078 ± 0.03410302109338992 | 1.721796350962539 ± 0.38467052389427525 | 0.5176230423995476
0.93 | 1.0699999999999998 | 2 | 70 | 0.4126283431876201 ± 0.006330111964049373 | 0.07221205542540533 ± 0.0018996589904134735 | 1.5975004435401656 ± 0.16810302053805526 | 1.9569313289397754 ± 0.8873890366329359 | 0.5201194978548651
0.94 | 1.06 | 0 | 70 | 0.4171698360637305 ± 0.014307156460880835 | 0.07404768412914224 ± 0.005264378713289169 | 1.607737133033086 ± 0.03738385437369718 | 1.8756598394502157 ± 0.3635088824573763 | 0.5420101850857585
