down | strategy | ncall | sigma_tot
0.90 | 0.00 | 70 | 102.555
0.90 | 0.00 | 90 | 102.770
0.90 | 0.00 | 100 | 102.703
0.90 | 0.00 | 150 | 102.538
0.90 | 1.00 | 70 | 102.555
0.90 | 1.00 | 90 | 102.770
0.90 | 1.00 | 100 | 102.703
0.90 | 1.00 | 150 | 102.538
0.90 | 2.00 | 150 | 102.707
0.90 | 2.00 | 200 | 102.597
0.91 | 0.00 | 70 | 102.459
0.91 | 0.00 | 90 | 102.673
0.91 | 0.00 | 100 | 102.611
0.91 | 0.00 | 150 | 102.436
0.91 | 1.00 | 70 | 102.459
0.91 | 1.00 | 90 | 102.673
0.91 | 1.00 | 100 | 102.611
0.91 | 1.00 | 150 | 102.522
0.91 | 2.00 | 70 | 102.825
0.91 | 2.00 | 90 | 102.339
0.91 | 2.00 | 100 | 102.429
0.92 | 0.00 | 70 | 102.369
0.92 | 0.00 | 90 | 102.560
0.92 | 0.00 | 100 | 102.480
0.92 | 0.00 | 150 | 102.585
0.92 | 1.00 | 70 | 102.369
0.92 | 1.00 | 90 | 102.560
0.92 | 1.00 | 100 | 102.560
0.92 | 1.00 | 150 | 102.585
0.92 | 2.00 | 90 | 102.546
0.92 | 2.00 | 100 | 102.549
0.93 | 0.00 | 70 | 102.342
0.93 | 0.00 | 90 | 102.432
0.93 | 0.00 | 100 | 102.432
0.93 | 0.00 | 150 | 102.359
0.93 | 1.00 | 70 | 102.342
0.93 | 1.00 | 90 | 102.423
0.93 | 1.00 | 100 | 102.432
0.93 | 1.00 | 150 | 102.359
0.93 | 2.00 | 90 | 102.498
0.93 | 2.00 | 100 | 102.572
0.93 | 2.00 | 150 | 102.587
0.94 | 0.00 | 70 | 102.191
0.94 | 0.00 | 90 | 102.366
0.94 | 0.00 | 100 | 102.335
0.94 | 0.00 | 150 | 102.227
0.94 | 0.00 | 200 | 102.274
0.94 | 1.00 | 70 | 102.191
0.94 | 1.00 | 90 | 102.366
0.94 | 1.00 | 100 | 102.335
0.94 | 1.00 | 150 | 102.227
0.94 | 1.00 | 200 | 102.274
0.94 | 2.00 | 70 | 102.249
0.94 | 2.00 | 90 | 102.008
0.94 | 2.00 | 100 | 101.694
0.95 | 0.00 | 70 | 102.142
0.95 | 0.00 | 90 | 102.325
0.95 | 0.00 | 100 | 102.208
0.95 | 0.00 | 150 | 102.308
0.95 | 0.00 | 200 | 101.836
0.95 | 1.00 | 70 | 102.142
0.95 | 1.00 | 90 | 102.325
0.95 | 1.00 | 100 | 102.325
0.95 | 1.00 | 150 | 102.221
0.95 | 1.00 | 200 | 102.052
0.95 | 2.00 | 150 | 101.613
0.96 | 0.00 | 70 | 102.113
0.96 | 0.00 | 90 | 102.143
0.96 | 0.00 | 100 | 102.129
0.96 | 0.00 | 150 | 101.828
0.96 | 1.00 | 70 | 102.078
0.96 | 1.00 | 90 | 102.195
0.96 | 1.00 | 100 | 102.143
0.96 | 1.00 | 150 | 101.828
0.96 | 2.00 | 90 | 101.886
0.96 | 2.00 | 100 | 102.149
0.96 | 2.00 | 150 | 102.022
0.97 | 0.00 | 70 | 101.928
0.97 | 0.00 | 90 | 102.061
0.97 | 0.00 | 100 | 101.996
0.97 | 0.00 | 150 | 102.128
0.97 | 0.00 | 200 | 101.844
0.97 | 0.00 | 250 | 102.026
0.97 | 1.00 | 70 | 101.928
0.97 | 1.00 | 90 | 102.061
0.97 | 1.00 | 100 | 102.061
0.97 | 1.00 | 150 | 102.128
0.97 | 1.00 | 200 | 101.763
0.97 | 1.00 | 250 | 102.020
0.97 | 2.00 | 150 | 101.603
0.97 | 2.00 | 200 | 101.983
0.97 | 2.00 | 250 | 101.927
0.98 | 0.00 | 90 | 101.789
0.98 | 0.00 | 100 | 101.921
0.98 | 0.00 | 150 | 102.138
0.98 | 0.00 | 200 | 101.886
0.98 | 0.00 | 250 | 101.944
0.98 | 1.00 | 90 | 101.789
0.98 | 1.00 | 100 | 101.921
0.98 | 1.00 | 150 | 102.141
0.98 | 1.00 | 200 | 101.917
0.98 | 1.00 | 250 | 101.890
0.98 | 2.00 | 100 | 101.696
0.98 | 2.00 | 150 | 101.944
0.98 | 2.00 | 200 | 102.141
0.98 | 2.00 | 250 | 101.993
0.99 | 0.00 | 100 | 101.734
0.99 | 0.00 | 150 | 101.823
0.99 | 0.00 | 200 | 101.823
0.99 | 0.00 | 250 | 101.823
0.99 | 1.00 | 100 | 101.734
0.99 | 1.00 | 150 | 101.823
0.99 | 1.00 | 200 | 101.801
0.99 | 1.00 | 250 | 101.920
0.99 | 2.00 | 90 | 102.093
0.99 | 2.00 | 100 | 101.781
0.99 | 2.00 | 150 | 101.873
0.99 | 2.00 | 200 | 101.741
0.99 | 2.00 | 250 | 101.810
