down | strategy | ncall | sigma_tot
0.90 | 0.00 | 70 | 107.320
0.90 | 0.00 | 90 | 107.655
0.90 | 0.00 | 100 | 107.655
0.90 | 1.00 | 70 | 107.320
0.90 | 1.00 | 90 | 107.655
0.90 | 1.00 | 100 | 107.655
0.91 | 0.00 | 70 | 107.317
0.91 | 0.00 | 90 | 107.576
0.91 | 0.00 | 100 | 107.748
0.91 | 0.00 | 150 | 108.002
0.91 | 1.00 | 70 | 107.317
0.91 | 1.00 | 90 | 107.576
0.91 | 1.00 | 100 | 107.576
0.91 | 1.00 | 150 | 108.002
0.91 | 2.00 | 200 | 107.904
0.91 | 2.00 | 250 | 107.689
0.92 | 0.00 | 70 | 107.313
0.92 | 0.00 | 90 | 107.548
0.92 | 0.00 | 100 | 107.548
0.92 | 0.00 | 150 | 107.899
0.92 | 1.00 | 70 | 107.143
0.92 | 1.00 | 90 | 107.300
0.92 | 1.00 | 100 | 107.548
0.92 | 1.00 | 150 | 107.899
0.92 | 1.00 | 200 | 108.027
0.93 | 0.00 | 70 | 107.306
0.93 | 0.00 | 90 | 107.504
0.93 | 0.00 | 100 | 107.504
0.93 | 0.00 | 150 | 107.808
0.93 | 0.00 | 200 | 107.819
0.93 | 0.00 | 250 | 107.816
0.93 | 1.00 | 70 | 107.153
0.93 | 1.00 | 90 | 107.296
0.93 | 1.00 | 100 | 107.504
0.93 | 1.00 | 150 | 107.711
0.93 | 1.00 | 200 | 107.821
0.93 | 1.00 | 250 | 107.826
0.93 | 2.00 | 200 | 107.331
0.93 | 2.00 | 250 | 108.124
0.94 | 0.00 | 70 | 107.291
0.94 | 0.00 | 90 | 107.405
0.94 | 0.00 | 100 | 107.405
0.94 | 0.00 | 150 | 107.561
0.94 | 0.00 | 200 | 107.589
0.94 | 0.00 | 250 | 107.555
0.94 | 1.00 | 70 | 107.158
0.94 | 1.00 | 90 | 107.285
0.94 | 1.00 | 100 | 107.405
0.94 | 1.00 | 150 | 107.561
0.94 | 1.00 | 200 | 107.589
0.94 | 1.00 | 250 | 107.582
0.94 | 2.00 | 200 | 107.038
0.94 | 2.00 | 250 | 107.519
0.95 | 0.00 | 70 | 107.246
0.95 | 0.00 | 90 | 107.314
0.95 | 0.00 | 100 | 107.339
0.95 | 0.00 | 150 | 107.373
0.95 | 0.00 | 200 | 107.371
0.95 | 0.00 | 250 | 107.453
0.95 | 1.00 | 70 | 107.150
0.95 | 1.00 | 90 | 107.249
0.95 | 1.00 | 100 | 107.314
0.95 | 1.00 | 150 | 107.358
0.95 | 1.00 | 200 | 107.360
0.95 | 1.00 | 250 | 107.454
0.95 | 2.00 | 150 | 106.099
0.95 | 2.00 | 200 | 107.956
0.96 | 0.00 | 70 | 107.153
0.96 | 0.00 | 90 | 107.126
0.96 | 0.00 | 100 | 107.166
0.96 | 0.00 | 150 | 107.226
0.96 | 0.00 | 200 | 107.193
0.96 | 0.00 | 250 | 107.118
0.96 | 1.00 | 70 | 107.094
0.96 | 1.00 | 90 | 107.126
0.96 | 1.00 | 100 | 107.166
0.96 | 1.00 | 150 | 107.226
0.96 | 1.00 | 200 | 107.193
0.96 | 1.00 | 250 | 107.125
0.97 | 0.00 | 70 | 106.694
0.97 | 0.00 | 90 | 106.814
0.97 | 0.00 | 100 | 106.814
0.97 | 0.00 | 150 | 106.930
0.97 | 0.00 | 200 | 106.925
0.97 | 0.00 | 250 | 107.400
0.97 | 1.00 | 70 | 106.694
0.97 | 1.00 | 90 | 106.809
0.97 | 1.00 | 100 | 106.814
0.97 | 1.00 | 150 | 106.930
0.97 | 1.00 | 200 | 106.925
0.97 | 1.00 | 250 | 107.045
0.98 | 0.00 | 70 | 106.334
0.98 | 0.00 | 90 | 106.702
0.98 | 0.00 | 100 | 106.723
0.98 | 0.00 | 150 | 106.648
0.98 | 0.00 | 200 | 106.693
0.98 | 0.00 | 250 | 106.923
0.98 | 1.00 | 70 | 106.334
0.98 | 1.00 | 90 | 106.702
0.98 | 1.00 | 100 | 106.702
0.98 | 1.00 | 150 | 106.648
0.98 | 1.00 | 200 | 106.693
0.98 | 1.00 | 250 | 106.924
0.98 | 2.00 | 200 | 106.681
0.98 | 2.00 | 250 | 106.720
0.99 | 0.00 | 70 | 106.427
0.99 | 0.00 | 90 | 106.436
0.99 | 0.00 | 100 | 106.452
0.99 | 0.00 | 150 | 106.451
0.99 | 0.00 | 200 | 107.319
0.99 | 0.00 | 250 | 107.492
0.99 | 1.00 | 90 | 106.414
0.99 | 1.00 | 100 | 106.436
0.99 | 1.00 | 150 | 106.462
0.99 | 1.00 | 200 | 106.673
0.99 | 1.00 | 250 | 107.372
0.99 | 2.00 | 150 | 106.368
0.99 | 2.00 | 200 | 106.520
0.99 | 2.00 | 250 | 106.510
