down | strategy | ncall | sigma_tot
0.90 | 0.00 | 70 | 63.164
0.90 | 0.00 | 90 | 62.821
0.90 | 0.00 | 100 | 62.593
0.90 | 0.00 | 150 | 62.419
0.90 | 0.00 | 200 | 62.438
0.90 | 1.00 | 70 | 63.164
0.90 | 1.00 | 90 | 62.821
0.90 | 1.00 | 100 | 62.593
0.90 | 1.00 | 150 | 62.419
0.90 | 1.00 | 200 | 62.438
0.90 | 2.00 | 90 | 62.485
0.90 | 2.00 | 200 | 62.836
0.90 | 2.00 | 250 | 62.258
0.91 | 0.00 | 70 | 63.164
0.91 | 0.00 | 90 | 62.809
0.91 | 0.00 | 100 | 62.552
0.91 | 0.00 | 150 | 62.422
0.91 | 0.00 | 200 | 62.326
0.91 | 0.00 | 250 | 62.451
0.91 | 1.00 | 70 | 63.164
0.91 | 1.00 | 90 | 62.809
0.91 | 1.00 | 100 | 62.552
0.91 | 1.00 | 150 | 62.422
0.91 | 1.00 | 200 | 62.326
0.91 | 1.00 | 250 | 62.451
0.91 | 2.00 | 150 | 63.855
0.91 | 2.00 | 200 | 62.796
0.91 | 2.00 | 250 | 62.586
0.92 | 0.00 | 70 | 63.164
0.92 | 0.00 | 90 | 62.833
0.92 | 0.00 | 100 | 62.641
0.92 | 0.00 | 150 | 62.429
0.92 | 0.00 | 200 | 62.386
0.92 | 0.00 | 250 | 62.385
0.92 | 1.00 | 70 | 63.164
0.92 | 1.00 | 90 | 62.833
0.92 | 1.00 | 100 | 62.641
0.92 | 1.00 | 150 | 62.429
0.92 | 1.00 | 200 | 62.386
0.92 | 1.00 | 250 | 62.385
0.92 | 2.00 | 150 | 63.357
0.92 | 2.00 | 200 | 62.639
0.92 | 2.00 | 250 | 62.423
0.93 | 0.00 | 70 | 63.164
0.93 | 0.00 | 90 | 62.863
0.93 | 0.00 | 100 | 62.709
0.93 | 0.00 | 150 | 62.479
0.93 | 0.00 | 200 | 62.416
0.93 | 0.00 | 250 | 62.451
0.93 | 1.00 | 70 | 63.164
0.93 | 1.00 | 90 | 62.863
0.93 | 1.00 | 100 | 62.709
0.93 | 1.00 | 150 | 62.479
0.93 | 1.00 | 200 | 62.416
0.93 | 1.00 | 250 | 62.451
0.93 | 2.00 | 150 | 62.865
0.93 | 2.00 | 200 | 62.358
0.93 | 2.00 | 250 | 62.388
0.94 | 0.00 | 70 | 63.164
0.94 | 0.00 | 90 | 62.900
0.94 | 0.00 | 100 | 62.770
0.94 | 0.00 | 150 | 62.522
0.94 | 0.00 | 200 | 62.442
0.94 | 0.00 | 250 | 62.413
0.94 | 1.00 | 70 | 63.164
0.94 | 1.00 | 90 | 62.900
0.94 | 1.00 | 100 | 62.770
0.94 | 1.00 | 150 | 62.522
0.94 | 1.00 | 200 | 62.442
0.94 | 1.00 | 250 | 62.413
0.94 | 2.00 | 100 | 62.954
0.94 | 2.00 | 150 | 62.719
0.94 | 2.00 | 200 | 62.515
0.94 | 2.00 | 250 | 62.415
0.95 | 0.00 | 70 | 63.164
0.95 | 0.00 | 90 | 62.900
0.95 | 0.00 | 100 | 62.786
0.95 | 0.00 | 150 | 62.578
0.95 | 0.00 | 200 | 62.510
0.95 | 0.00 | 250 | 62.450
0.95 | 1.00 | 70 | 63.164
0.95 | 1.00 | 90 | 62.900
0.95 | 1.00 | 100 | 62.786
0.95 | 1.00 | 150 | 62.578
0.95 | 1.00 | 200 | 62.510
0.95 | 1.00 | 250 | 62.450
0.95 | 2.00 | 100 | 63.345
0.95 | 2.00 | 150 | 62.683
0.95 | 2.00 | 200 | 62.614
0.95 | 2.00 | 250 | 62.519
0.96 | 0.00 | 70 | 63.165
0.96 | 0.00 | 90 | 62.914
0.96 | 0.00 | 100 | 62.802
0.96 | 0.00 | 150 | 62.634
0.96 | 0.00 | 200 | 62.574
0.96 | 0.00 | 250 | 62.554
0.96 | 1.00 | 70 | 63.165
0.96 | 1.00 | 90 | 62.914
0.96 | 1.00 | 100 | 62.802
0.96 | 1.00 | 150 | 62.634
0.96 | 1.00 | 200 | 62.574
0.96 | 1.00 | 250 | 62.554
0.96 | 2.00 | 90 | 63.402
0.96 | 2.00 | 100 | 63.435
0.96 | 2.00 | 150 | 62.786
0.96 | 2.00 | 200 | 62.654
0.96 | 2.00 | 250 | 62.591
