down | strategy | migrad
0.91 | 0 | 60
0.91 | 0 | 65
0.91 | 0 | 70
0.91 | 1 | 60
0.91 | 1 | 65
0.91 | 1 | 70
0.91 | 1 | 75
0.92 | 0 | 60
0.92 | 0 | 65
0.92 | 0 | 70
0.92 | 1 | 60
0.92 | 1 | 65
0.92 | 1 | 70
0.92 | 1 | 75
0.93 | 0 | 60
0.93 | 0 | 65
0.93 | 0 | 70
0.93 | 1 | 60
0.93 | 1 | 65
0.93 | 1 | 70
0.93 | 1 | 75
0.94 | 0 | 60
0.94 | 0 | 65
0.94 | 0 | 70
0.94 | 1 | 60
0.94 | 1 | 65
0.94 | 1 | 70
0.94 | 1 | 75
0.95 | 0 | 60
0.95 | 0 | 65
0.95 | 0 | 70
0.95 | 1 | 60
0.95 | 1 | 65
0.95 | 1 | 70
0.95 | 1 | 75
0.96 | 0 | 60
0.96 | 0 | 65
0.96 | 0 | 70
0.96 | 1 | 60
0.96 | 1 | 65
0.96 | 1 | 70
0.96 | 1 | 75
0.97 | 0 | 60
0.97 | 0 | 65
0.97 | 0 | 70
0.97 | 1 | 60
0.97 | 1 | 65
0.97 | 1 | 70
0.97 | 1 | 75
0.98 | 0 | 60
0.98 | 0 | 65
0.98 | 0 | 70
0.98 | 1 | 60
0.98 | 1 | 65
0.98 | 1 | 70
0.98 | 1 | 75
0.99 | 0 | 60
0.99 | 0 | 65
0.99 | 0 | 70
0.99 | 1 | 60
0.99 | 1 | 65
0.99 | 1 | 70
0.99 | 1 | 75
1.0 | 0 | 60
1.0 | 0 | 65
1.0 | 0 | 70
1.0 | 1 | 60
1.0 | 1 | 65
1.0 | 1 | 70
1.0 | 1 | 75
