down | strategy | migrad
0.91 | 0 | 70
0.91 | 1 | 70
0.92 | 0 | 70
0.92 | 0 | 80
0.92 | 1 | 70
0.92 | 1 | 80
0.93 | 0 | 70
0.93 | 0 | 80
0.93 | 1 | 70
0.93 | 1 | 80
0.94 | 0 | 70
0.94 | 0 | 80
0.94 | 0 | 90
0.94 | 1 | 70
0.94 | 1 | 80
0.94 | 1 | 90
0.95 | 0 | 70
0.95 | 0 | 80
0.95 | 0 | 90
0.95 | 1 | 70
0.95 | 1 | 80
0.95 | 1 | 90
0.96 | 0 | 70
0.96 | 0 | 80
0.96 | 0 | 90
0.96 | 1 | 70
0.96 | 1 | 80
0.96 | 1 | 90
0.96 | 2 | 80
0.97 | 0 | 70
0.97 | 0 | 80
0.97 | 1 | 70
0.97 | 1 | 80
0.97 | 2 | 80
0.97 | 2 | 90
0.98 | 0 | 70
0.98 | 0 | 80
0.98 | 0 | 90
0.98 | 0 | 100
0.98 | 1 | 70
0.98 | 1 | 80
0.98 | 1 | 90
0.98 | 1 | 100
0.98 | 2 | 80
0.98 | 2 | 90
0.98 | 2 | 100
0.98 | 2 | 150
0.99 | 0 | 70
0.99 | 0 | 80
0.99 | 1 | 70
0.99 | 1 | 80
0.99 | 2 | 80
0.99 | 2 | 90
0.99 | 2 | 100
