Otimização para log em TOTEM - Limites: eps_1_mg_1_a2_0
Configuração: down | up | strategy | migrad | mg ± error | eps ± error | a1 ± error | a2 ± error | χ²/ndof
========================================================================================================================
0.91 | 1.0899999999999999 | 0 | 60 | 0.3833226574122847 ± 0.0025066817332222435 | 0.08767765671671217 ± 0.001149309540845321 | 1.5634149610296106 ± 0.048818588168421904 | 3.533465849134095 ± 0.21442545323318815 | 0.7548961044277764
0.91 | 1.0899999999999999 | 0 | 65 | 0.3833226574122847 ± 0.0025066817332222435 | 0.08767765671671217 ± 0.001149309540845321 | 1.5634149610296106 ± 0.048818588168421904 | 3.533465849134095 ± 0.21442545323318815 | 0.7548961044277764
0.91 | 1.0899999999999999 | 0 | 70 | 0.38327890574589235 ± 0.003651339333764214 | 0.08769676469847623 ± 0.0017085890746081564 | 1.5635779811555695 ± 0.04543352046579065 | 3.595804305106344 ± 0.19811289602893978 | 0.657802415998797
0.91 | 1.0899999999999999 | 0 | 75 | 0.38327890574589235 ± 0.003651339333764214 | 0.08769676469847623 ± 0.0017085890746081564 | 1.5635779811555695 ± 0.04543352046579065 | 3.595804305106344 ± 0.19811289602893978 | 0.657802415998797
0.91 | 1.0899999999999999 | 0 | 80 | 0.3832851697804533 ± 0.0007801566924655334 | 0.08769322648123919 ± 0.0003515168228340054 | 1.5640137322201528 ± 0.023902115752247963 | 3.591932542313953 ± 0.1070625730508786 | 0.6550985666214207
0.91 | 1.0899999999999999 | 0 | 85 | 0.3832851697804533 ± 0.0007801566924655334 | 0.08769322648123919 ± 0.0003515168228340054 | 1.5640137322201528 ± 0.023902115752247963 | 3.591932542313953 ± 0.1070625730508786 | 0.6550985666214207
0.91 | 1.0899999999999999 | 1 | 60 | 0.3833226573667146 ± 0.0025077399280673263 | 0.0876776567388104 ± 0.0011498552263460166 | 1.563414966092179 ± 0.04882006873701215 | 3.533465805033993 ± 0.21443145731635 | 0.7548961584429713
0.91 | 1.0899999999999999 | 1 | 65 | 0.3833226573667146 ± 0.0025077399280673263 | 0.0876776567388104 ± 0.0011498552263460166 | 1.563414966092179 ± 0.04882006873701215 | 3.533465805033993 ± 0.21443145731635 | 0.7548961584429713
0.91 | 1.0899999999999999 | 1 | 70 | 0.38327890569182665 ± 0.0036489378985125887 | 0.0876967647243464 ± 0.0017074416206470724 | 1.5635779860684074 ± 0.045429021554417394 | 3.5958042847518423 ± 0.19809413075485596 | 0.6578023977183427
0.91 | 1.0899999999999999 | 1 | 75 | 0.38327890569182665 ± 0.0036489378985125887 | 0.0876967647243464 ± 0.0017074416206470724 | 1.5635779860684074 ± 0.045429021554417394 | 3.5958042847518423 ± 0.19809413075485596 | 0.6578023977183427
0.91 | 1.0899999999999999 | 1 | 80 | 0.38328516972819754 ± 0.0007801567228422346 | 0.08769322650635286 ± 0.0003515169898614945 | 1.564013737126842 ± 0.02390218481864761 | 3.591932520777219 ± 0.10706285628520425 | 0.6550985478595063
0.91 | 1.0899999999999999 | 1 | 85 | 0.38328516972819754 ± 0.0007801567228422346 | 0.08769322650635286 ± 0.0003515169898614945 | 1.564013737126842 ± 0.02390218481864761 | 3.591932520777219 ± 0.10706285628520425 | 0.6550985478595063
0.91 | 1.0899999999999999 | 2 | 150 | 0.3896109825769685 ± 0.0008096716387148151 | 0.09058407451339977 ± 0.00033709621360373393 | 1.574795546258616 ± 0.021848197906952888 | 3.6438845147263708 ± 0.09608697355231234 | 1.0623686555820242
0.92 | 1.08 | 0 | 60 | 0.3833241263771705 ± 0.002303239316944178 | 0.08767965715700483 ± 0.001043731804474278 | 1.5635200161281821 ± 0.048426183284797066 | 3.5334494954232643 ± 0.21279337127244696 | 0.7532842012088066
0.92 | 1.08 | 0 | 65 | 0.3833241263771705 ± 0.002303239316944178 | 0.08767965715700483 ± 0.001043731804474278 | 1.5635200161281821 ± 0.048426183284797066 | 3.5334494954232643 ± 0.21279337127244696 | 0.7532842012088066
0.92 | 1.08 | 0 | 70 | 0.3832807234072024 ± 0.0033521309978711555 | 0.08769856158857038 ± 0.0015611442001842654 | 1.5636845292265367 ± 0.04497216555766623 | 3.5953532106006456 ± 0.196209785091683 | 0.6574396917823474
0.92 | 1.08 | 0 | 75 | 0.3832807234072024 ± 0.0033521309978711555 | 0.08769856158857038 ± 0.0015611442001842654 | 1.5636845292265367 ± 0.04497216555766623 | 3.5953532106006456 ± 0.196209785091683 | 0.6574396917823474
0.92 | 1.08 | 0 | 80 | 0.38328698955788004 ± 0.000779915847221424 | 0.08769506046377142 ± 0.0003515040186424512 | 1.5641210672638324 ± 0.02388008765745295 | 3.5914643163267623 ± 0.10697134328515419 | 0.6547562312671653
0.92 | 1.08 | 0 | 85 | 0.38328698955788004 ± 0.000779915847221424 | 0.08769506046377142 ± 0.0003515040186424512 | 1.5641210672638324 ± 0.02388008765745295 | 3.5914643163267623 ± 0.10697134328515419 | 0.6547562312671653
