Otimização para log em ATLAS - Limites: eps_0_mg_1_a2_0
Configuração: down | up | strategy | migrad | mg ± error | eps ± error | a1 ± error | a2 ± error | χ²/ndof
========================================================================================================================
0.91 | 1.0899999999999999 | 0 | 60 | 0.35569698687170886 ± 0.015064255400944443 | 0.07247511285564319 ± 0.008217052003096264 | 1.6082462571152214 ± 0.11414504898479232 | 3.3151538679621266 ± 0.730802109040358 | 0.4928396054632793
0.91 | 1.0899999999999999 | 0 | 65 | 0.35569698687170886 ± 0.015064255400944443 | 0.07247511285564319 ± 0.008217052003096264 | 1.6082462571152214 ± 0.11414504898479232 | 3.3151538679621266 ± 0.730802109040358 | 0.4928396054632793
0.91 | 1.0899999999999999 | 0 | 70 | 0.35569698687170886 ± 0.015064255400944443 | 0.07247511285564319 ± 0.008217052003096264 | 1.6082462571152214 ± 0.11414504898479232 | 3.3151538679621266 ± 0.730802109040358 | 0.4928396054632793
0.91 | 1.0899999999999999 | 1 | 60 | 0.3575383822959732 ± 0.012320326363815165 | 0.0744559348328967 ± 0.006472060273731377 | 1.6945133671209631 ± 0.12259349461042227 | 2.7216103759675314 ± 0.8490207788799862 | 0.5451812138834272
0.91 | 1.0899999999999999 | 1 | 65 | 0.3556969848310569 ± 0.015061057422701779 | 0.07247511089034846 ± 0.008215121007686756 | 1.6082461581075336 ± 0.11413985992725392 | 3.3151544834298896 ± 0.730793612359917 | 0.49283956669191403
0.91 | 1.0899999999999999 | 1 | 70 | 0.3556969848310569 ± 0.015061057422701779 | 0.07247511089034846 ± 0.008215121007686756 | 1.6082461581075336 ± 0.11413985992725392 | 3.3151544834298896 ± 0.730793612359917 | 0.49283956669191403
0.91 | 1.0899999999999999 | 1 | 75 | 0.3556969848310569 ± 0.015061057422701779 | 0.07247511089034846 ± 0.008215121007686756 | 1.6082461581075336 ± 0.11413985992725392 | 3.3151544834298896 ± 0.730793612359917 | 0.49283956669191403
0.91 | 1.0899999999999999 | 2 | 60 | 0.3595414705278613 ± 0.006388636701423811 | 0.07362903055323322 ± 0.0035204977567830885 | 1.555716204243713 ± 0.1803034366364952 | 4.218984229677973 ± 1.2830564830869826 | 1.0408980619819954
0.91 | 1.0899999999999999 | 2 | 65 | 0.3595414705278613 ± 0.006388636701423811 | 0.07362903055323322 ± 0.0035204977567830885 | 1.555716204243713 ± 0.1803034366364952 | 4.218984229677973 ± 1.2830564830869826 | 1.0408980619819954
0.91 | 1.0899999999999999 | 2 | 70 | 0.3595414705278613 ± 0.006388636701423811 | 0.07362903055323322 ± 0.0035204977567830885 | 1.555716204243713 ± 0.1803034366364952 | 4.218984229677973 ± 1.2830564830869826 | 1.0408980619819954
0.91 | 1.0899999999999999 | 2 | 75 | 0.360294753105939 ± 0.02182574974719889 | 0.07326963672745605 ± 0.012525698596581475 | 1.4753466407969071 ± 0.12999370720798514 | 4.525228912792836 ± 0.7717199202716892 | 0.8691161298752337
0.91 | 1.0899999999999999 | 2 | 80 | 0.360294753105939 ± 0.02182574974719889 | 0.07326963672745605 ± 0.012525698596581475 | 1.4753466407969071 ± 0.12999370720798514 | 4.525228912792836 ± 0.7717199202716892 | 0.8691161298752337
0.91 | 1.0899999999999999 | 2 | 85 | 0.36015842639302004 ± 0.006815394948222725 | 0.07322862965283439 ± 0.003664162122053173 | 1.4459465470701265 ± 0.16499082820008323 | 4.519025745109815 ± 1.1417340929816786 | 0.8422876914162061
0.91 | 1.0899999999999999 | 2 | 90 | 0.36015842639302004 ± 0.006815394948222725 | 0.07322862965283439 ± 0.003664162122053173 | 1.4459465470701265 ± 0.16499082820008323 | 4.519025745109815 ± 1.1417340929816786 | 0.8422876914162061
0.91 | 1.0899999999999999 | 2 | 95 | 0.36015842639302004 ± 0.006815394948222725 | 0.07322862965283439 ± 0.003664162122053173 | 1.4459465470701265 ± 0.16499082820008323 | 4.519025745109815 ± 1.1417340929816786 | 0.8422876914162061
0.91 | 1.0899999999999999 | 2 | 100 | 0.3562846618130206 ± 0.00798030705677974 | 0.07130705327862637 ± 0.004237777825338095 | 1.4446340490177658 ± 0.18339728035340014 | 4.475475331928236 ± 1.2883297304689716 | 0.7407417344202633
0.92 | 1.08 | 0 | 60 | 0.3556952432466553 ± 0.014783883877262038 | 0.07247316101847595 ± 0.008145802831953836 | 1.6081404997528281 ± 0.11406767539518015 | 3.3158890705476574 ± 0.7309780886489466 | 0.49281046542555546
0.92 | 1.08 | 0 | 65 | 0.3556952432466553 ± 0.014783883877262038 | 0.07247316101847595 ± 0.008145802831953836 | 1.6081404997528281 ± 0.11406767539518015 | 3.3158890705476574 ± 0.7309780886489466 | 0.49281046542555546
0.92 | 1.08 | 0 | 70 | 0.3556952432466553 ± 0.014783883877262038 | 0.07247316101847595 ± 0.008145802831953836 | 1.6081404997528281 ± 0.11406767539518015 | 3.3158890705476574 ± 0.7309780886489466 | 0.49281046542555546
0.92 | 1.08 | 1 | 60 | 0.3575383332912446 ± 0.012268301845123397 | 0.0744558771929389 ± 0.006490320604038737 | 1.6945113211145153 ± 0.12259781999515044 | 2.7216283782761748 ± 0.8490190050700507 | 0.5451784846471885
0.92 | 1.08 | 1 | 65 | 0.3556952411747946 ± 0.01478097485875235 | 0.07247315902380902 ± 0.008143987792254411 | 1.6081403993791274 ± 0.11406290003634939 | 3.315889695837717 ± 0.7309708713794586 | 0.4928104261507017
0.92 | 1.08 | 1 | 70 | 0.3556952411747946 ± 0.01478097485875235 | 0.07247315902380902 ± 0.008143987792254411 | 1.6081403993791274 ± 0.11406290003634939 | 3.315889695837717 ± 0.7309708713794586 | 0.4928104261507017
0.92 | 1.08 | 1 | 75 | 0.3556952411747946 ± 0.01478097485875235 | 0.07247315902380902 ± 0.008143987792254411 | 1.6081403993791274 ± 0.11406290003634939 | 3.315889695837717 ± 0.7309708713794586 | 0.4928104261507017
0.92 | 1.08 | 2 | 75 | 0.36050948077706374 ± 0.033710557404358105 | 0.07317453046445188 ± 0.056317590822488106 | 1.4526857189768885 ± 0.31354128077132054 | 4.686264086683495 ± 1.1211644575634325 | 0.9277373418469763
0.92 | 1.08 | 2 | 80 | 0.36050948077706374 ± 0.033710557404358105 | 0.07317453046445188 ± 0.056317590822488106 | 1.4526857189768885 ± 0.31354128077132054 | 4.686264086683495 ± 1.1211644575634325 | 0.9277373418469763
0.92 | 1.08 | 2 | 85 | 0.36040282080978003 ± 0.00620823874477347 | 0.07315730468103482 ± 0.003381072810488497 | 1.4222189591055234 ± 0.16594135901749726 | 4.6796569560032175 ± 1.1453022493633525 | 0.9070428887765954
0.92 | 1.08 | 2 | 90 | 0.36040282080978003 ± 0.00620823874477347 | 0.07315730468103482 ± 0.003381072810488497 | 1.4222189591055234 ± 0.16594135901749726 | 4.6796569560032175 ± 1.1453022493633525 | 0.9070428887765954
0.92 | 1.08 | 2 | 95 | 0.36040282080978003 ± 0.00620823874477347 | 0.07315730468103482 ± 0.003381072810488497 | 1.4222189591055234 ± 0.16594135901749726 | 4.6796569560032175 ± 1.1453022493633525 | 0.9070428887765954
0.92 | 1.08 | 2 | 100 | 0.35729677040622826 ± 0.007229681395190812 | 0.07163028294962079 ± 0.003885150375806337 | 1.4227928213678271 ± 0.17873617820380278 | 4.631690401626651 ± 1.2470954852610228 | 0.8173615466829434
0.93 | 1.0699999999999998 | 0 | 60 | 0.35569270272673004 ± 0.014392587272543111 | 0.07247031634211855 ± 0.008042982561727622 | 1.6079862272999021 ± 0.11395681543232136 | 3.316961525002819 ± 0.7312355187498889 | 0.49276817498508263
0.93 | 1.0699999999999998 | 0 | 65 | 0.35569270272673004 ± 0.014392587272543111 | 0.07247031634211855 ± 0.008042982561727622 | 1.6079862272999021 ± 0.11395681543232136 | 3.316961525002819 ± 0.7312355187498889 | 0.49276817498508263
0.93 | 1.0699999999999998 | 0 | 70 | 0.35569270272673004 ± 0.014392587272543111 | 0.07247031634211855 ± 0.008042982561727622 | 1.6079862272999021 ± 0.11395681543232136 | 3.316961525002819 ± 0.7312355187498889 | 0.49276817498508263
0.93 | 1.0699999999999998 | 1 | 60 | 0.35753826194598426 ± 0.012191273932892294 | 0.07445579318677642 ± 0.006517656852118141 | 1.694508335049024 ± 0.12260508299481432 | 2.721654630507169 ± 0.8490170433197046 | 0.5451745075691644
0.93 | 1.0699999999999998 | 1 | 65 | 0.3556927006774996 ± 0.01439002196013367 | 0.07247031436942977 ± 0.008041300837248112 | 1.6079861278458862 ± 0.11395206792588475 | 3.316962142872205 ± 0.7312269788802399 | 0.4927681362916009
0.93 | 1.0699999999999998 | 1 | 70 | 0.3556927006774996 ± 0.01439002196013367 | 0.07247031436942977 ± 0.008041300837248112 | 1.6079861278458862 ± 0.11395206792588475 | 3.316962142872205 ± 0.7312269788802399 | 0.4927681362916009
