Otimização para log em TOTEM - Limites: eps_1_mg_0_a2_0
Configuração: down | up | strategy | migrad | mg ± error | eps ± error | a1 ± error | a2 ± error | χ²/ndof
========================================================================================================================
0.91 | 1.0899999999999999 | 0 | 60 | 0.38332776376188765 ± 0.0027205162645511476 | 0.08767889398376558 ± 0.0012294176794325554 | 1.5633351468174101 ± 0.048891994824249226 | 3.5334689722120225 ± 0.21475792015609524 | 0.7563208065579959
0.91 | 1.0899999999999999 | 0 | 65 | 0.38332776376188765 ± 0.0027205162645511476 | 0.08767889398376558 ± 0.0012294176794325554 | 1.5633351468174101 ± 0.048891994824249226 | 3.5334689722120225 ± 0.21475792015609524 | 0.7563208065579959
0.91 | 1.0899999999999999 | 0 | 70 | 0.38328364159299 ± 0.003903561615492193 | 0.08769810065970385 ± 0.0018134278672380447 | 1.5634978331947653 ± 0.045475098126115616 | 3.596150395086833 ± 0.19827841558779763 | 0.658207307678297
0.91 | 1.0899999999999999 | 0 | 75 | 0.38328364159299 ± 0.003903561615492193 | 0.08769810065970385 ± 0.0018134278672380447 | 1.5634978331947653 ± 0.045475098126115616 | 3.596150395086833 ± 0.19827841558779763 | 0.658207307678297
0.91 | 1.0899999999999999 | 0 | 80 | 0.38328998231750605 ± 0.0007799363571088602 | 0.087694570722489 ± 0.0003516395038917347 | 1.5639330868543393 ± 0.023921569241643115 | 3.59228542228191 ± 0.10714245393342729 | 0.655490441092102
0.91 | 1.0899999999999999 | 0 | 85 | 0.38328998231750605 ± 0.0007799363571088602 | 0.087694570722489 ± 0.0003516395038917347 | 1.5639330868543393 ± 0.023921569241643115 | 3.59228542228191 ± 0.10714245393342729 | 0.655490441092102
0.91 | 1.0899999999999999 | 1 | 60 | 0.3833277637168843 ± 0.0027209354108797307 | 0.08767889400589082 ± 0.001229642759276818 | 1.56333515187557 ± 0.04889278483201549 | 3.5334689279466667 ± 0.21476116948616147 | 0.7563208614652228
0.91 | 1.0899999999999999 | 1 | 65 | 0.3833277637168843 ± 0.0027209354108797307 | 0.08767889400589082 ± 0.001229642759276818 | 1.56333515187557 ± 0.04889278483201549 | 3.5334689279466667 ± 0.21476116948616147 | 0.7563208614652228
0.91 | 1.0899999999999999 | 1 | 70 | 0.3832836415393301 ± 0.003903082207907972 | 0.08769810068568921 ± 0.0018132391333783998 | 1.563497838099032 ± 0.045473923052114215 | 3.596150374762468 ± 0.19827328762056176 | 0.6582072894384803
0.91 | 1.0899999999999999 | 1 | 75 | 0.3832836415393301 ± 0.003903082207907972 | 0.08769810068568921 ± 0.0018132391333783998 | 1.563497838099032 ± 0.045473923052114215 | 3.596150374762468 ± 0.19827328762056176 | 0.6582072894384803
0.91 | 1.0899999999999999 | 1 | 80 | 0.38328998226568395 ± 0.0007799341668396537 | 0.0876945707477153 ± 0.0003516397979857755 | 1.563933091752985 ± 0.023921437748034503 | 3.5922854007832963 ± 0.10714189423649496 | 0.6554904223567127
0.91 | 1.0899999999999999 | 1 | 85 | 0.38328998226568395 ± 0.0007799341668396537 | 0.0876945707477153 ± 0.0003516397979857755 | 1.563933091752985 ± 0.023921437748034503 | 3.5922854007832963 ± 0.10714189423649496 | 0.6554904223567127
