down | strategy | ncall | sigma_tot
0.91 | 0.00 | 60 | 104.008
0.91 | 0.00 | 65 | 103.972
0.91 | 0.00 | 70 | 103.972
0.91 | 0.00 | 75 | 103.912
0.91 | 0.00 | 80 | 103.912
0.91 | 0.00 | 85 | 103.912
0.91 | 0.00 | 90 | 104.041
0.91 | 0.00 | 95 | 104.041
0.91 | 0.00 | 100 | 104.018
0.91 | 1.00 | 60 | 104.008
0.91 | 1.00 | 65 | 104.008
0.91 | 1.00 | 70 | 104.008
0.91 | 1.00 | 75 | 103.972
0.91 | 1.00 | 80 | 103.972
0.91 | 1.00 | 85 | 103.912
0.91 | 1.00 | 90 | 103.912
0.91 | 1.00 | 95 | 103.912
0.91 | 1.00 | 100 | 104.041
0.91 | 2.00 | 80 | 103.767
0.91 | 2.00 | 85 | 103.767
0.91 | 2.00 | 90 | 103.767
0.91 | 2.00 | 95 | 104.064
0.91 | 2.00 | 100 | 104.064
0.92 | 0.00 | 60 | 104.049
0.92 | 0.00 | 65 | 104.049
0.92 | 0.00 | 70 | 104.049
0.92 | 0.00 | 75 | 104.049
0.92 | 0.00 | 80 | 104.007
0.92 | 0.00 | 85 | 104.007
0.92 | 0.00 | 90 | 103.928
0.92 | 0.00 | 95 | 103.928
0.92 | 0.00 | 100 | 104.035
0.92 | 1.00 | 60 | 104.110
0.92 | 1.00 | 65 | 104.049
0.92 | 1.00 | 70 | 104.049
0.92 | 1.00 | 75 | 104.049
0.92 | 1.00 | 80 | 104.049
0.92 | 1.00 | 85 | 104.007
0.92 | 1.00 | 90 | 104.007
0.92 | 1.00 | 95 | 103.928
0.92 | 1.00 | 100 | 103.928
0.92 | 2.00 | 75 | 104.595
0.92 | 2.00 | 80 | 104.595
0.92 | 2.00 | 85 | 104.263
0.92 | 2.00 | 90 | 104.263
0.92 | 2.00 | 95 | 104.346
0.92 | 2.00 | 100 | 104.346
0.92 | 2.00 | 150 | 104.039
0.92 | 2.00 | 200 | 104.027
0.93 | 0.00 | 60 | 104.103
0.93 | 0.00 | 65 | 104.069
0.93 | 0.00 | 70 | 104.069
0.93 | 1.00 | 60 | 104.103
0.93 | 1.00 | 65 | 104.069
0.93 | 1.00 | 70 | 104.069
0.93 | 1.00 | 75 | 104.069
0.93 | 2.00 | 80 | 104.478
0.93 | 2.00 | 85 | 104.478
0.93 | 2.00 | 90 | 104.364
0.93 | 2.00 | 95 | 104.364
0.93 | 2.00 | 100 | 104.402
0.93 | 2.00 | 150 | 104.466
0.93 | 2.00 | 200 | 104.120
0.94 | 0.00 | 60 | 104.128
0.94 | 0.00 | 65 | 104.092
0.94 | 0.00 | 70 | 104.092
0.94 | 0.00 | 75 | 103.869
0.94 | 0.00 | 80 | 103.869
0.94 | 0.00 | 85 | 103.869
0.94 | 0.00 | 90 | 103.782
0.94 | 0.00 | 95 | 103.782
0.94 | 0.00 | 100 | 103.782
0.94 | 1.00 | 60 | 104.128
0.94 | 1.00 | 65 | 104.128
0.94 | 1.00 | 70 | 104.092
0.94 | 1.00 | 75 | 104.092
0.94 | 1.00 | 80 | 103.868
0.94 | 1.00 | 85 | 103.868
0.94 | 1.00 | 90 | 103.868
0.94 | 1.00 | 95 | 103.868
0.94 | 1.00 | 100 | 103.782
0.94 | 2.00 | 70 | 103.755
0.94 | 2.00 | 75 | 103.755
0.94 | 2.00 | 80 | 103.755
0.94 | 2.00 | 85 | 104.094
0.94 | 2.00 | 90 | 104.094
0.94 | 2.00 | 95 | 104.199
0.94 | 2.00 | 100 | 104.199
0.95 | 0.00 | 60 | 104.299
0.95 | 0.00 | 65 | 104.376
0.95 | 0.00 | 70 | 104.376
0.95 | 0.00 | 75 | 104.375
0.95 | 0.00 | 80 | 104.375
0.95 | 0.00 | 85 | 104.450
0.95 | 0.00 | 90 | 104.450
0.95 | 0.00 | 95 | 104.450
0.95 | 0.00 | 100 | 104.473
0.95 | 0.00 | 150 | 104.076
0.95 | 0.00 | 200 | 104.334
0.95 | 1.00 | 60 | 104.299
0.95 | 1.00 | 65 | 104.376
0.95 | 1.00 | 70 | 104.376
0.95 | 1.00 | 75 | 104.375
0.95 | 1.00 | 80 | 104.375
0.95 | 1.00 | 85 | 104.450
0.95 | 1.00 | 90 | 104.450
0.95 | 1.00 | 95 | 104.450
0.95 | 1.00 | 100 | 104.450
0.95 | 1.00 | 150 | 104.076
0.95 | 1.00 | 200 | 104.334
0.95 | 2.00 | 95 | 104.258
0.95 | 2.00 | 100 | 104.258
0.95 | 2.00 | 150 | 104.509
0.95 | 2.00 | 200 | 104.465
0.96 | 0.00 | 60 | 104.262
0.96 | 0.00 | 65 | 104.262
0.96 | 0.00 | 70 | 104.320
0.96 | 0.00 | 75 | 104.320
0.96 | 0.00 | 80 | 104.146
0.96 | 0.00 | 85 | 104.146
0.96 | 0.00 | 90 | 104.146
0.96 | 0.00 | 95 | 104.146
0.96 | 0.00 | 100 | 104.098
0.96 | 0.00 | 150 | 104.068
0.96 | 1.00 | 60 | 104.262
0.96 | 1.00 | 65 | 104.262
0.96 | 1.00 | 70 | 104.320
0.96 | 1.00 | 75 | 104.320
0.96 | 1.00 | 80 | 104.146
0.96 | 1.00 | 85 | 104.146
0.96 | 1.00 | 90 | 104.146
