down | strategy | ncall | sigma_tot
0.91 | 0.00 | 60 | 107.071
0.91 | 0.00 | 65 | 107.071
0.91 | 0.00 | 70 | 107.335
0.91 | 0.00 | 75 | 107.335
0.91 | 0.00 | 80 | 107.314
0.91 | 0.00 | 85 | 107.314
0.91 | 1.00 | 60 | 107.071
0.91 | 1.00 | 65 | 107.071
0.91 | 1.00 | 70 | 107.335
0.91 | 1.00 | 75 | 107.335
0.91 | 1.00 | 80 | 107.314
0.91 | 1.00 | 85 | 107.314
0.91 | 2.00 | 150 | 108.376
0.92 | 0.00 | 60 | 107.071
0.92 | 0.00 | 65 | 107.071
0.92 | 0.00 | 70 | 107.335
0.92 | 0.00 | 75 | 107.335
0.92 | 0.00 | 80 | 107.314
0.92 | 0.00 | 85 | 107.314
0.92 | 1.00 | 60 | 107.071
0.92 | 1.00 | 65 | 107.071
0.92 | 1.00 | 70 | 107.335
0.92 | 1.00 | 75 | 107.335
0.92 | 1.00 | 80 | 107.314
0.92 | 1.00 | 85 | 107.314
0.92 | 2.00 | 150 | 108.376
0.93 | 0.00 | 60 | 107.071
0.93 | 0.00 | 65 | 107.071
0.93 | 0.00 | 70 | 107.335
0.93 | 0.00 | 75 | 107.335
0.93 | 0.00 | 80 | 107.314
0.93 | 0.00 | 85 | 107.314
0.93 | 1.00 | 60 | 107.071
0.93 | 1.00 | 65 | 107.071
0.93 | 1.00 | 70 | 107.335
0.93 | 1.00 | 75 | 107.335
0.93 | 1.00 | 80 | 107.314
0.93 | 1.00 | 85 | 107.314
0.93 | 2.00 | 150 | 108.376
0.94 | 0.00 | 60 | 107.071
0.94 | 0.00 | 65 | 107.071
0.94 | 0.00 | 70 | 107.335
0.94 | 0.00 | 75 | 107.335
0.94 | 0.00 | 80 | 107.314
0.94 | 0.00 | 85 | 107.314
0.94 | 1.00 | 60 | 107.071
0.94 | 1.00 | 65 | 107.071
0.94 | 1.00 | 70 | 107.335
0.94 | 1.00 | 75 | 107.335
0.94 | 1.00 | 80 | 107.314
0.94 | 1.00 | 85 | 107.314
0.94 | 2.00 | 150 | 108.376
0.95 | 0.00 | 60 | 107.071
0.95 | 0.00 | 65 | 107.071
0.95 | 0.00 | 70 | 107.335
0.95 | 0.00 | 75 | 107.335
0.95 | 0.00 | 80 | 107.314
0.95 | 0.00 | 85 | 107.314
0.95 | 1.00 | 60 | 107.071
0.95 | 1.00 | 65 | 107.071
0.95 | 1.00 | 70 | 107.335
0.95 | 1.00 | 75 | 107.335
0.95 | 1.00 | 80 | 107.314
0.95 | 1.00 | 85 | 107.314
0.95 | 2.00 | 150 | 108.376
0.96 | 0.00 | 60 | 107.071
0.96 | 0.00 | 65 | 107.071
0.96 | 0.00 | 70 | 107.335
0.96 | 0.00 | 75 | 107.335
0.96 | 0.00 | 80 | 107.314
0.96 | 0.00 | 85 | 107.314
0.96 | 1.00 | 60 | 107.071
0.96 | 1.00 | 65 | 107.071
0.96 | 1.00 | 70 | 107.335
0.96 | 1.00 | 75 | 107.335
0.96 | 1.00 | 80 | 107.314
0.96 | 1.00 | 85 | 107.314
0.96 | 2.00 | 150 | 108.376
0.97 | 0.00 | 60 | 107.071
0.97 | 0.00 | 65 | 107.071
0.97 | 0.00 | 70 | 107.335
0.97 | 0.00 | 75 | 107.335
0.97 | 0.00 | 80 | 107.314
0.97 | 0.00 | 85 | 107.314
0.97 | 1.00 | 60 | 107.071
0.97 | 1.00 | 65 | 107.071
0.97 | 1.00 | 70 | 107.335
0.97 | 1.00 | 75 | 107.335
0.97 | 1.00 | 80 | 107.314
0.97 | 1.00 | 85 | 107.314
0.97 | 2.00 | 150 | 108.376
0.98 | 0.00 | 60 | 107.071
0.98 | 0.00 | 65 | 107.071
0.98 | 0.00 | 70 | 107.335
0.98 | 0.00 | 75 | 107.335
0.98 | 0.00 | 80 | 107.314
0.98 | 0.00 | 85 | 107.314
0.98 | 1.00 | 60 | 107.071
0.98 | 1.00 | 65 | 107.071
0.98 | 1.00 | 70 | 107.335
0.98 | 1.00 | 75 | 107.335
0.98 | 1.00 | 80 | 107.314
0.98 | 1.00 | 85 | 107.314
0.98 | 2.00 | 150 | 108.376
0.99 | 0.00 | 60 | 107.071
0.99 | 0.00 | 65 | 107.071
0.99 | 0.00 | 70 | 107.335
0.99 | 0.00 | 75 | 107.335
0.99 | 0.00 | 80 | 107.314
0.99 | 0.00 | 85 | 107.314
0.99 | 1.00 | 60 | 107.071
0.99 | 1.00 | 65 | 107.071
0.99 | 1.00 | 70 | 107.335
0.99 | 1.00 | 75 | 107.335
0.99 | 1.00 | 80 | 107.314
0.99 | 1.00 | 85 | 107.314
0.99 | 2.00 | 150 | 108.376
1.00 | 0.00 | 60 | 107.071
1.00 | 0.00 | 65 | 107.071
1.00 | 0.00 | 70 | 107.335
1.00 | 0.00 | 75 | 107.335
1.00 | 0.00 | 80 | 107.314
1.00 | 0.00 | 85 | 107.314
1.00 | 1.00 | 60 | 107.071
1.00 | 1.00 | 65 | 107.071
1.00 | 1.00 | 70 | 107.335
1.00 | 1.00 | 75 | 107.335
1.00 | 1.00 | 80 | 107.314
1.00 | 1.00 | 85 | 107.314
1.00 | 2.00 | 150 | 108.376
