down | strategy | ncall | sigma_tot
0.91 | 0.00 | 60 | 107.081
0.91 | 0.00 | 65 | 107.081
0.91 | 0.00 | 70 | 107.339
0.91 | 0.00 | 75 | 107.339
0.91 | 0.00 | 80 | 107.318
0.91 | 0.00 | 85 | 107.318
0.91 | 1.00 | 60 | 107.081
0.91 | 1.00 | 65 | 107.081
0.91 | 1.00 | 70 | 107.339
0.91 | 1.00 | 75 | 107.339
0.91 | 1.00 | 80 | 107.318
0.91 | 1.00 | 85 | 107.318
0.91 | 2.00 | 150 | 106.903
0.92 | 0.00 | 60 | 107.083
0.92 | 0.00 | 65 | 107.083
0.92 | 0.00 | 70 | 107.340
0.92 | 0.00 | 75 | 107.340
0.92 | 0.00 | 80 | 107.319
0.92 | 0.00 | 85 | 107.319
0.92 | 1.00 | 60 | 107.083
0.92 | 1.00 | 65 | 107.083
0.92 | 1.00 | 70 | 107.340
0.92 | 1.00 | 75 | 107.340
0.92 | 1.00 | 80 | 107.319
0.92 | 1.00 | 85 | 107.319
0.92 | 2.00 | 150 | 107.355
0.92 | 2.00 | 200 | 109.054
0.93 | 0.00 | 60 | 107.087
0.93 | 0.00 | 65 | 107.087
0.93 | 0.00 | 70 | 107.341
0.93 | 0.00 | 75 | 107.341
0.93 | 0.00 | 80 | 107.320
0.93 | 0.00 | 85 | 107.320
0.93 | 1.00 | 60 | 107.087
0.93 | 1.00 | 65 | 107.087
0.93 | 1.00 | 70 | 107.341
0.93 | 1.00 | 75 | 107.341
0.93 | 1.00 | 80 | 107.320
0.93 | 1.00 | 85 | 107.320
0.93 | 2.00 | 200 | 107.338
0.94 | 0.00 | 60 | 107.093
0.94 | 0.00 | 65 | 107.093
0.94 | 0.00 | 70 | 107.344
0.94 | 0.00 | 75 | 107.344
0.94 | 0.00 | 80 | 107.323
0.94 | 0.00 | 85 | 107.323
0.94 | 1.00 | 60 | 107.093
0.94 | 1.00 | 65 | 107.093
0.94 | 1.00 | 70 | 107.344
0.94 | 1.00 | 75 | 107.344
0.94 | 1.00 | 80 | 107.323
0.94 | 1.00 | 85 | 107.323
0.95 | 0.00 | 60 | 107.102
0.95 | 0.00 | 65 | 107.102
0.95 | 0.00 | 70 | 107.347
0.95 | 0.00 | 75 | 107.347
0.95 | 0.00 | 80 | 107.326
0.95 | 0.00 | 85 | 107.326
0.95 | 1.00 | 60 | 107.102
0.95 | 1.00 | 65 | 107.102
0.95 | 1.00 | 70 | 107.347
0.95 | 1.00 | 75 | 107.347
0.95 | 1.00 | 80 | 107.326
0.95 | 1.00 | 85 | 107.326
0.96 | 0.00 | 60 | 107.120
0.96 | 0.00 | 65 | 107.120
0.96 | 0.00 | 70 | 107.354
0.96 | 0.00 | 75 | 107.354
0.96 | 0.00 | 80 | 107.333
0.96 | 0.00 | 85 | 107.333
0.96 | 1.00 | 60 | 107.120
0.96 | 1.00 | 65 | 107.120
0.96 | 1.00 | 70 | 107.354
0.96 | 1.00 | 75 | 107.354
0.96 | 1.00 | 80 | 107.333
0.96 | 1.00 | 85 | 107.333
0.97 | 0.00 | 60 | 107.157
0.97 | 0.00 | 65 | 107.157
0.97 | 0.00 | 70 | 107.369
0.97 | 0.00 | 75 | 107.369
0.97 | 0.00 | 80 | 107.348
0.97 | 0.00 | 85 | 107.348
0.97 | 1.00 | 60 | 107.157
0.97 | 1.00 | 65 | 107.157
0.97 | 1.00 | 70 | 107.369
0.97 | 1.00 | 75 | 107.369
0.97 | 1.00 | 80 | 107.348
0.97 | 1.00 | 85 | 107.348
0.98 | 0.00 | 60 | 107.254
0.98 | 0.00 | 65 | 107.254
0.98 | 0.00 | 70 | 107.408
0.98 | 0.00 | 75 | 107.408
0.98 | 0.00 | 80 | 107.390
0.98 | 0.00 | 85 | 107.390
0.98 | 1.00 | 60 | 107.254
0.98 | 1.00 | 65 | 107.254
0.98 | 1.00 | 70 | 107.408
0.98 | 1.00 | 75 | 107.408
0.98 | 1.00 | 80 | 107.390
0.98 | 1.00 | 85 | 107.390
0.99 | 0.00 | 60 | 107.460
0.99 | 0.00 | 65 | 107.460
0.99 | 0.00 | 70 | 107.575
0.99 | 0.00 | 75 | 107.575
0.99 | 0.00 | 80 | 107.575
0.99 | 0.00 | 85 | 107.575
0.99 | 1.00 | 60 | 107.460
0.99 | 1.00 | 65 | 107.460
0.99 | 1.00 | 70 | 107.460
0.99 | 1.00 | 75 | 107.575
0.99 | 1.00 | 80 | 107.575
0.99 | 1.00 | 85 | 107.575
0.99 | 1.00 | 90 | 107.575
1.00 | 0.00 | 60 | 107.955
1.00 | 0.00 | 65 | 107.911
1.00 | 0.00 | 70 | 107.911
1.00 | 0.00 | 75 | 108.554
1.00 | 0.00 | 80 | 108.554
1.00 | 1.00 | 60 | 107.955
1.00 | 1.00 | 65 | 107.955
1.00 | 1.00 | 70 | 107.911
1.00 | 1.00 | 75 | 108.554
1.00 | 1.00 | 80 | 108.554
1.00 | 1.00 | 85 | 108.554
