Otimização para pl em ATLAS - Limites: eps_1_mg_0_a1_0
Configuração: down | up | strategy | migrad | mg ± error | eps ± error | a1 ± error | a2 ± error | χ²/ndof
========================================================================================================================
0.91 | 1.0899999999999999 | 0 | 70 | 0.4118198154734695 ± 0.005521142517776724 | 0.07290406420533134 ± 0.0023372519737743652 | 1.6764763507010019 ± 0.07544397257163192 | 1.4100567129468895 ± 0.4693566492768763 | 0.5114092287823803
0.91 | 1.0899999999999999 | 0 | 80 | 0.41070356538537967 ± 0.011287804237845426 | 0.07264954186030705 ± 0.003937617376801705 | 1.6749346437621047 ± 0.11913304519941595 | 1.343490503676357 ± 0.8584490749919443 | 0.5000526133558262
0.91 | 1.0899999999999999 | 1 | 70 | 0.4118198154734695 ± 0.005521142517776724 | 0.07290406420533134 ± 0.0023372519737743652 | 1.6764763507010019 ± 0.07544397257163192 | 1.4100567129468895 ± 0.4693566492768763 | 0.5114092287823803
0.91 | 1.0899999999999999 | 1 | 80 | 0.41070356538537967 ± 0.011287804237845426 | 0.07264954186030705 ± 0.003937617376801705 | 1.6749346437621047 ± 0.11913304519941595 | 1.343490503676357 ± 0.8584490749919443 | 0.5000526133558262
0.91 | 1.0899999999999999 | 2 | 70 | 0.4196661586580776 ± 0.016754010655725484 | 0.07542559479736481 ± 0.009685026443045211 | 1.6467561952998238 ± 0.10734551547213633 | 1.6707195701896178 ± 0.6187180998255352 | 0.6096874739395689
0.91 | 1.0899999999999999 | 2 | 80 | 0.41947745799692504 ± 0.015638908020012738 | 0.07542491434320235 ± 0.005257459077527268 | 1.6480090598598351 ± 0.19470960539491655 | 1.6708421323382898 ± 1.3987574410019044 | 0.607193673129243
0.91 | 1.0899999999999999 | 2 | 90 | 0.41947745799692504 ± 0.015638908020012738 | 0.07542491434320235 ± 0.005257459077527268 | 1.6480090598598351 ± 0.19470960539491655 | 1.6708421323382898 ± 1.3987574410019044 | 0.607193673129243
0.91 | 1.0899999999999999 | 2 | 100 | 0.41947745799692504 ± 0.015638908020012738 | 0.07542491434320235 ± 0.005257459077527268 | 1.6480090598598351 ± 0.19470960539491655 | 1.6708421323382898 ± 1.3987574410019044 | 0.607193673129243
0.92 | 1.08 | 0 | 70 | 0.4112214696517439 ± 0.010485085858955797 | 0.07279580395742835 ± 0.0035723585315631523 | 1.6799413437903374 ± 0.11852602020351838 | 1.3792710369646828 ± 0.8610477078519222 | 0.5054825386155686
0.92 | 1.08 | 0 | 80 | 0.4107225781787386 ± 0.017822792949847618 | 0.07267775156108941 ± 0.007635399727886218 | 1.6794815427938454 ± 0.11593800595610028 | 1.333780172724479 ± 0.704175113721243 | 0.5026347810992949
0.92 | 1.08 | 0 | 90 | 0.41092904008725595 ± 0.010325152738972308 | 0.07271739897022135 ± 0.0034255256794776534 | 1.6748080999704393 ± 0.12321994914604609 | 1.3548173193506208 ± 0.9078481415941895 | 0.5014816287302698
