Otimização para pl em TOTEM - Limites: eps_0_mg_0_a1_1
Configuração: down | up | strategy | migrad | mg ± error | eps ± error | a1 ± error | a2 ± error | χ²/ndof
========================================================================================================================
0.91 | 1.0899999999999999 | 0 | 70 | 0.44820257756049636 ± 0.012534010192215103 | 0.08879468974799042 ± 0.005098415644114313 | 1.6945315279324542 ± 0.08072405568137075 | 2.0211396397862256 ± 0.3166720860986045 | 0.6375652561464563
0.91 | 1.0899999999999999 | 0 | 80 | 0.4489119611291029 ± 0.0009943943451797286 | 0.08860117848667677 ± 0.00035565476681298795 | 1.6554204304448774 ± 0.020130077862909213 | 2.1897075043910705 ± 0.09112428707323073 | 0.5904249638056287
0.91 | 1.0899999999999999 | 0 | 90 | 0.4489119611291029 ± 0.0009943943451797286 | 0.08860117848667677 ± 0.00035565476681298795 | 1.6554204304448774 ± 0.020130077862909213 | 2.1897075043910705 ± 0.09112428707323073 | 0.5904249638056287
0.91 | 1.0899999999999999 | 0 | 100 | 0.4495287730908363 ± 0.013524526915759226 | 0.08844045854174286 ± 0.005046244888448753 | 1.6169731235511977 ± 0.045579506409849424 | 2.365735718580505 ± 0.1595271853825608 | 0.5517170146949246
0.91 | 1.0899999999999999 | 0 | 150 | 0.4497181455472782 ± 0.01473063886031448 | 0.08838958231681997 ± 0.005918209105794318 | 1.6054955489753107 ± 0.0839053669449491 | 2.408040918113248 ± 0.3314671943997622 | 0.5481594074875218
0.91 | 1.0899999999999999 | 0 | 200 | 0.4496255580888437 ± 0.01773119363264089 | 0.08837529073657728 ± 0.007343963435835098 | 1.607165770348333 ± 0.10748479592506888 | 2.400570319794709 ± 0.4649561148026105 | 0.5478374427711773
0.91 | 1.0899999999999999 | 1 | 70 | 0.44820257756049636 ± 0.012534010192215103 | 0.08879468974799042 ± 0.005098415644114313 | 1.6945315279324542 ± 0.08072405568137075 | 2.0211396397862256 ± 0.3166720860986045 | 0.6375652561464563
0.91 | 1.0899999999999999 | 1 | 80 | 0.4489119611291029 ± 0.0009943943451797286 | 0.08860117848667677 ± 0.00035565476681298795 | 1.6554204304448774 ± 0.020130077862909213 | 2.1897075043910705 ± 0.09112428707323073 | 0.5904249638056287
0.91 | 1.0899999999999999 | 1 | 90 | 0.4489119611291029 ± 0.0009943943451797286 | 0.08860117848667677 ± 0.00035565476681298795 | 1.6554204304448774 ± 0.020130077862909213 | 2.1897075043910705 ± 0.09112428707323073 | 0.5904249638056287
0.91 | 1.0899999999999999 | 1 | 100 | 0.4495287730908363 ± 0.013524526915759226 | 0.08844045854174286 ± 0.005046244888448753 | 1.6169731235511977 ± 0.045579506409849424 | 2.365735718580505 ± 0.1595271853825608 | 0.5517170146949246
0.91 | 1.0899999999999999 | 1 | 150 | 0.4497181455472782 ± 0.01473063886031448 | 0.08838958231681997 ± 0.005918209105794318 | 1.6054955489753107 ± 0.0839053669449491 | 2.408040918113248 ± 0.3314671943997622 | 0.5481594074875218
0.91 | 1.0899999999999999 | 1 | 200 | 0.4496255580888437 ± 0.01773119363264089 | 0.08837529073657728 ± 0.007343963435835098 | 1.607165770348333 ± 0.10748479592506888 | 2.400570319794709 ± 0.4649561148026105 | 0.5478374427711773
0.91 | 1.0899999999999999 | 2 | 150 | 0.4371683420465654 ± 0.003980781155576805 | 0.08520493564480895 ± 0.0014724475037474834 | 1.7137766544173736 ± 0.04810838501116177 | 1.899758920491784 ± 0.22781293021611337 | 0.8692751365970534
0.91 | 1.0899999999999999 | 2 | 200 | 0.43462754160892597 ± 0.027924106703136317 | 0.08294946307955381 ± 0.01036556112891926 | 1.5956896571510402 ± 0.03779266204079956 | 2.3818972116181842 ± 0.09129796143299865 | 0.5389221324699885
0.92 | 1.08 | 0 | 70 | 0.4482024749444717 ± 0.012584988723411067 | 0.08879472280301304 ± 0.005121946059644756 | 1.6945378176881016 ± 0.07997895601143135 | 2.021111280870253 ± 0.318432380324996 | 0.6375779373931987
0.92 | 1.08 | 0 | 80 | 0.4488666038465461 ± 0.0009948695333696317 | 0.08861354965074524 ± 0.0003555018936032084 | 1.657957319686969 ± 0.019940661483036748 | 2.178811679547989 ± 0.09054569814493911 | 0.5915488596211417
0.92 | 1.08 | 0 | 90 | 0.4488666038465461 ± 0.0009948695333696317 | 0.08861354965074524 ± 0.0003555018936032084 | 1.657957319686969 ± 0.019940661483036748 | 2.178811679547989 ± 0.09054569814493911 | 0.5915488596211417
0.92 | 1.08 | 0 | 100 | 0.4493332400974068 ± 0.000981539146088609 | 0.08849076908713814 ± 0.0003489617544336054 | 1.6297240675615146 ± 0.018191695905638072 | 2.307631703947201 ± 0.08346926881086834 | 0.5624456247489587
0.92 | 1.08 | 0 | 150 | 0.44971093250962735 ± 0.01240207657743506 | 0.08839293562707205 ± 0.004799788546073838 | 1.6061579800994026 ± 0.05910355219082852 | 2.4055902371268156 ± 0.22578559279795485 | 0.5482311785822243
0.92 | 1.08 | 0 | 200 | 0.44961300073276106 ± 0.011929936431693005 | 0.08828399154163427 ± 0.004526504529876969 | 1.5988756112414155 ± 0.049495150417817046 | 2.4354152304237386 ± 0.1857367964636557 | 0.5473386299288614
0.92 | 1.08 | 0 | 250 | 0.44113890375093606 ± 0.000836506152999715 | 0.08529134301336404 ± 0.00030845349754306283 | 1.5956366749227542 ± 0.0284023396815567 | 2.412046599857347 ± 0.1284979352736915 | 0.5179404528810383
0.92 | 1.08 | 1 | 70 | 0.4482024749444717 ± 0.012584988723411067 | 0.08879472280301304 ± 0.005121946059644756 | 1.6945378176881016 ± 0.07997895601143135 | 2.021111280870253 ± 0.318432380324996 | 0.6375779373931987
0.92 | 1.08 | 1 | 80 | 0.4488666038465461 ± 0.0009948695333696317 | 0.08861354965074524 ± 0.0003555018936032084 | 1.657957319686969 ± 0.019940661483036748 | 2.178811679547989 ± 0.09054569814493911 | 0.5915488596211417
0.92 | 1.08 | 1 | 90 | 0.4488666038465461 ± 0.0009948695333696317 | 0.08861354965074524 ± 0.0003555018936032084 | 1.657957319686969 ± 0.019940661483036748 | 2.178811679547989 ± 0.09054569814493911 | 0.5915488596211417
0.92 | 1.08 | 1 | 100 | 0.4493332400974068 ± 0.000981539146088609 | 0.08849076908713814 ± 0.0003489617544336054 | 1.6297240675615146 ± 0.018191695905638072 | 2.307631703947201 ± 0.08346926881086834 | 0.5624456247489587
0.92 | 1.08 | 1 | 150 | 0.44971093250962735 ± 0.01240207657743506 | 0.08839293562707205 ± 0.004799788546073838 | 1.6061579800994026 ± 0.05910355219082852 | 2.4055902371268156 ± 0.22578559279795485 | 0.5482311785822243
0.92 | 1.08 | 1 | 200 | 0.44961300073276106 ± 0.011929936431693005 | 0.08828399154163427 ± 0.004526504529876969 | 1.5988756112414155 ± 0.049495150417817046 | 2.4354152304237386 ± 0.1857367964636557 | 0.5473386299288614
0.92 | 1.08 | 1 | 250 | 0.44113890375093606 ± 0.000836506152999715 | 0.08529134301336404 ± 0.00030845349754306283 | 1.5956366749227542 ± 0.0284023396815567 | 2.412046599857347 ± 0.1284979352736915 | 0.5179404528810383
0.92 | 1.08 | 2 | 150 | 0.44517810770285243 ± 0.005219822912352517 | 0.0880501236067414 ± 0.0019054029555609715 | 1.720989118874351 ± 0.034277927837770616 | 1.8695307490737436 ± 0.15473796623407288 | 0.7467108785876602
0.92 | 1.08 | 2 | 200 | 0.44721158385922066 ± 0.011000829225014535 | 0.08767085781934053 ± 0.004284335101217878 | 1.620256650368214 ± 0.05629150195352273 | 2.33807522062351 ± 0.21707041680422476 | 0.5430484675662203
0.92 | 1.08 | 2 | 250 | 0.44784117695347836 ± 0.011546403200504103 | 0.08765326974624538 ± 0.004442498860887029 | 1.5973813418305274 ± 0.05258942870410588 | 2.433945154142679 ± 0.20154924447136108 | 0.5363880079441774
0.93 | 1.0699999999999998 | 0 | 70 | 0.44820232475783967 ± 0.012623395465079975 | 0.0887947712086938 ± 0.005141399526946929 | 1.6945470237767946 ± 0.07870213253190372 | 2.021069776822444 ± 0.32045195127889153 | 0.637596500940653
0.93 | 1.0699999999999998 | 0 | 80 | 0.4488089166488691 ± 0.000995825689984826 | 0.08862928464581475 ± 0.0003555764304056663 | 1.6611672178770325 ± 0.019833913333714315 | 2.1649531307840544 ± 0.09037079687824061 | 0.5931950323654508
0.93 | 1.0699999999999998 | 0 | 90 | 0.4488089166488691 ± 0.000995825689984826 | 0.08862928464581475 ± 0.0003555764304056663 | 1.6611672178770325 ± 0.019833913333714315 | 2.1649531307840544 ± 0.09037079687824061 | 0.5931950323654508
0.93 | 1.0699999999999998 | 0 | 100 | 0.44914965048231176 ± 0.000982449752887896 | 0.08853882599811862 ± 0.00034859165914606226 | 1.6411326812919564 ± 0.017163228135214093 | 2.2561134595027794 ± 0.07933993911201863 | 0.574812444262895
0.93 | 1.0699999999999998 | 0 | 150 | 0.44962196487258965 ± 0.01117985451879015 | 0.08841784146423132 ± 0.004219887176024069 | 1.6116838177321966 ± 0.045636192957752786 | 2.38224800391987 ± 0.17432305542209905 | 0.548738940819926
0.93 | 1.0699999999999998 | 0 | 200 | 0.4497327538366388 ± 0.014546654923794386 | 0.08838602266379932 ± 0.0058425449846892345 | 1.6046229430139363 ± 0.13218076697533698 | 2.41199227522786 ± 0.3282944659071514 | 0.5481698858430043
0.93 | 1.0699999999999998 | 0 | 250 | 0.4434593147652143 ± 0.0008090471356999815 | 0.08614488898410307 ± 0.0002964731823834717 | 1.5997035172906269 ± 0.028129298258023683 | 2.3995264753719683 ± 0.1279000365929036 | 0.5220770655987347
0.93 | 1.0699999999999998 | 1 | 70 | 0.44820232475783967 ± 0.012623395465079975 | 0.0887947712086938 ± 0.005141399526946929 | 1.6945470237767946 ± 0.07870213253190372 | 2.021069776822444 ± 0.32045195127889153 | 0.637596500940653
0.93 | 1.0699999999999998 | 1 | 80 | 0.4488089166488691 ± 0.000995825689984826 | 0.08862928464581475 ± 0.0003555764304056663 | 1.6611672178770325 ± 0.019833913333714315 | 2.1649531307840544 ± 0.09037079687824061 | 0.5931950323654508
0.93 | 1.0699999999999998 | 1 | 90 | 0.4488089166488691 ± 0.000995825689984826 | 0.08862928464581475 ± 0.0003555764304056663 | 1.6611672178770325 ± 0.019833913333714315 | 2.1649531307840544 ± 0.09037079687824061 | 0.5931950323654508
0.93 | 1.0699999999999998 | 1 | 100 | 0.44914965048231176 ± 0.000982449752887896 | 0.08853882599811862 ± 0.00034859165914606226 | 1.6411326812919564 ± 0.017163228135214093 | 2.2561134595027794 ± 0.07933993911201863 | 0.574812444262895
0.93 | 1.0699999999999998 | 1 | 150 | 0.44962196487258965 ± 0.01117985451879015 | 0.08841784146423132 ± 0.004219887176024069 | 1.6116838177321966 ± 0.045636192957752786 | 2.38224800391987 ± 0.17432305542209905 | 0.548738940819926
0.93 | 1.0699999999999998 | 1 | 200 | 0.4497327538366388 ± 0.014546654923794386 | 0.08838602266379932 ± 0.0058425449846892345 | 1.6046229430139363 ± 0.13218076697533698 | 2.41199227522786 ± 0.3282944659071514 | 0.5481698858430043
0.93 | 1.0699999999999998 | 1 | 250 | 0.4434593147652143 ± 0.0008090471356999815 | 0.08614488898410307 ± 0.0002964731823834717 | 1.5997035172906269 ± 0.028129298258023683 | 2.3995264753719683 ± 0.1279000365929036 | 0.5220770655987347
0.93 | 1.0699999999999998 | 2 | 150 | 0.44856024326842386 ± 0.013293052342868872 | 0.08826096621735 ± 0.0051436343845560435 | 1.6328596422866029 ± 0.06002866805598406 | 2.281002697776214 ± 0.22724419323222392 | 0.5556721364127065
