down | strategy | ncall | sigma_tot
0.91 | 0.00 | 70 | 104.758
0.91 | 1.00 | 70 | 104.758
0.91 | 1.00 | 80 | 104.758
0.91 | 2.00 | 70 | 104.045
0.91 | 2.00 | 80 | 104.045
0.92 | 0.00 | 70 | 104.423
0.92 | 0.00 | 80 | 104.436
0.92 | 1.00 | 70 | 104.423
0.92 | 1.00 | 80 | 104.436
0.92 | 2.00 | 70 | 104.043
0.92 | 2.00 | 80 | 104.043
0.93 | 0.00 | 70 | 104.233
0.93 | 0.00 | 80 | 104.371
0.93 | 1.00 | 70 | 104.233
0.93 | 1.00 | 80 | 104.371
0.93 | 2.00 | 70 | 104.041
0.93 | 2.00 | 80 | 104.041
0.93 | 2.00 | 100 | 103.959
0.94 | 0.00 | 70 | 104.342
0.94 | 0.00 | 80 | 104.404
0.94 | 1.00 | 70 | 104.342
0.94 | 1.00 | 80 | 104.404
0.94 | 2.00 | 70 | 104.037
0.94 | 2.00 | 80 | 104.102
0.94 | 2.00 | 90 | 104.069
0.94 | 2.00 | 100 | 104.069
0.95 | 0.00 | 70 | 104.254
0.95 | 0.00 | 80 | 104.254
0.95 | 1.00 | 70 | 104.254
0.95 | 1.00 | 80 | 104.254
0.95 | 2.00 | 70 | 104.031
0.95 | 2.00 | 80 | 104.171
0.95 | 2.00 | 90 | 104.143
0.95 | 2.00 | 100 | 104.111
0.96 | 0.00 | 70 | 104.208
0.96 | 0.00 | 80 | 104.251
0.96 | 1.00 | 70 | 104.208
0.96 | 1.00 | 80 | 104.251
0.96 | 2.00 | 70 | 104.021
0.96 | 2.00 | 80 | 104.116
0.96 | 2.00 | 90 | 104.080
0.96 | 2.00 | 100 | 103.981
0.97 | 0.00 | 70 | 104.196
0.97 | 0.00 | 80 | 104.259
0.97 | 0.00 | 90 | 104.270
0.97 | 0.00 | 100 | 104.273
0.97 | 1.00 | 70 | 104.196
0.97 | 1.00 | 80 | 104.259
0.97 | 1.00 | 90 | 104.270
0.97 | 1.00 | 100 | 104.273
0.97 | 2.00 | 70 | 104.016
0.97 | 2.00 | 80 | 104.152
0.97 | 2.00 | 90 | 103.700
0.97 | 2.00 | 100 | 103.700
0.98 | 0.00 | 70 | 103.985
0.98 | 0.00 | 80 | 104.118
0.98 | 0.00 | 90 | 104.098
0.98 | 0.00 | 100 | 104.091
0.98 | 1.00 | 70 | 103.985
0.98 | 1.00 | 80 | 104.118
0.98 | 1.00 | 90 | 104.098
0.98 | 1.00 | 100 | 104.091
0.98 | 2.00 | 70 | 102.444
0.98 | 2.00 | 80 | 103.305
0.98 | 2.00 | 90 | 103.535
0.98 | 2.00 | 100 | 103.588
0.99 | 0.00 | 70 | 103.854
0.99 | 0.00 | 80 | 103.961
0.99 | 0.00 | 90 | 103.928
0.99 | 0.00 | 100 | 103.918
0.99 | 0.00 | 150 | 103.835
0.99 | 0.00 | 200 | 103.674
0.99 | 0.00 | 250 | 103.580
0.99 | 1.00 | 70 | 103.854
0.99 | 1.00 | 80 | 103.961
0.99 | 1.00 | 90 | 103.928
0.99 | 1.00 | 100 | 103.918
0.99 | 1.00 | 150 | 103.835
0.99 | 1.00 | 200 | 103.696
0.99 | 1.00 | 250 | 103.606
0.99 | 2.00 | 70 | 103.844
0.99 | 2.00 | 80 | 104.160
0.99 | 2.00 | 90 | 104.160
0.99 | 2.00 | 100 | 104.422
0.99 | 2.00 | 150 | 103.450
0.99 | 2.00 | 200 | 103.514
0.99 | 2.00 | 250 | 103.585
1.00 | 0.00 | 70 | 103.618
1.00 | 0.00 | 80 | 103.618
1.00 | 0.00 | 90 | 103.618
1.00 | 0.00 | 100 | 103.618
1.00 | 0.00 | 150 | 103.618
1.00 | 0.00 | 200 | 103.618
1.00 | 0.00 | 250 | 103.618
1.00 | 1.00 | 70 | 103.618
1.00 | 1.00 | 80 | 103.618
1.00 | 1.00 | 90 | 103.618
1.00 | 1.00 | 100 | 103.618
1.00 | 1.00 | 150 | 103.618
1.00 | 1.00 | 200 | 103.618
1.00 | 1.00 | 250 | 103.618
1.00 | 2.00 | 70 | 103.606
1.00 | 2.00 | 80 | 103.530
1.00 | 2.00 | 90 | 103.620
1.00 | 2.00 | 100 | 103.618
1.00 | 2.00 | 150 | 103.619
1.00 | 2.00 | 200 | 103.619
1.00 | 2.00 | 250 | 103.619
