down | strategy | ncall | sigma_tot
0.91 | 0.00 | 70 | 109.955
0.91 | 0.00 | 80 | 109.335
0.91 | 0.00 | 90 | 109.335
0.91 | 0.00 | 100 | 108.905
0.91 | 0.00 | 150 | 108.604
0.91 | 0.00 | 200 | 108.390
0.91 | 0.00 | 250 | 108.247
0.91 | 1.00 | 70 | 109.955
0.91 | 1.00 | 80 | 109.335
0.91 | 1.00 | 90 | 109.335
0.91 | 1.00 | 100 | 108.905
0.91 | 1.00 | 150 | 108.604
0.91 | 1.00 | 200 | 108.390
0.91 | 1.00 | 250 | 108.247
0.91 | 2.00 | 200 | 109.234
0.91 | 2.00 | 250 | 108.501
0.92 | 0.00 | 70 | 109.956
0.92 | 0.00 | 80 | 109.382
0.92 | 0.00 | 90 | 109.382
0.92 | 0.00 | 100 | 109.025
0.92 | 0.00 | 150 | 108.627
0.92 | 0.00 | 200 | 108.623
0.92 | 0.00 | 250 | 108.612
0.92 | 1.00 | 70 | 109.956
0.92 | 1.00 | 80 | 109.382
0.92 | 1.00 | 90 | 109.382
0.92 | 1.00 | 100 | 109.025
0.92 | 1.00 | 150 | 108.627
0.92 | 1.00 | 200 | 108.623
0.92 | 1.00 | 250 | 108.612
0.92 | 2.00 | 150 | 110.373
0.92 | 2.00 | 200 | 108.829
0.92 | 2.00 | 250 | 108.587
0.93 | 0.00 | 70 | 109.956
0.93 | 0.00 | 80 | 109.439
0.93 | 0.00 | 90 | 109.439
0.93 | 0.00 | 100 | 109.176
0.93 | 0.00 | 150 | 108.711
0.93 | 0.00 | 200 | 108.594
0.93 | 0.00 | 250 | 108.720
0.93 | 1.00 | 70 | 109.956
0.93 | 1.00 | 80 | 109.439
0.93 | 1.00 | 90 | 109.439
0.93 | 1.00 | 100 | 109.176
0.93 | 1.00 | 150 | 108.711
0.93 | 1.00 | 200 | 108.594
0.93 | 1.00 | 250 | 108.720
0.93 | 2.00 | 150 | 109.024
0.93 | 2.00 | 200 | 108.721
0.93 | 2.00 | 250 | 108.463
0.94 | 0.00 | 70 | 109.956
0.94 | 0.00 | 80 | 109.507
0.94 | 0.00 | 90 | 109.507
0.94 | 0.00 | 100 | 109.262
0.94 | 0.00 | 150 | 108.806
0.94 | 0.00 | 200 | 108.642
0.94 | 0.00 | 250 | 108.594
0.94 | 1.00 | 70 | 109.956
0.94 | 1.00 | 80 | 109.507
0.94 | 1.00 | 90 | 109.507
0.94 | 1.00 | 100 | 109.262
0.94 | 1.00 | 150 | 108.806
0.94 | 1.00 | 200 | 108.642
0.94 | 1.00 | 250 | 108.594
0.94 | 2.00 | 100 | 109.586
0.94 | 2.00 | 150 | 109.030
0.94 | 2.00 | 200 | 108.817
0.94 | 2.00 | 250 | 108.597
0.95 | 0.00 | 70 | 109.956
0.95 | 0.00 | 80 | 109.441
0.95 | 0.00 | 90 | 109.441
0.95 | 0.00 | 100 | 109.219
0.95 | 0.00 | 150 | 108.904
0.95 | 0.00 | 200 | 108.751
0.95 | 0.00 | 250 | 108.681
0.95 | 1.00 | 70 | 109.956
0.95 | 1.00 | 80 | 109.441
0.95 | 1.00 | 90 | 109.441
0.95 | 1.00 | 100 | 109.219
0.95 | 1.00 | 150 | 108.904
0.95 | 1.00 | 200 | 108.751
0.95 | 1.00 | 250 | 108.681
0.95 | 2.00 | 100 | 110.290
0.95 | 2.00 | 150 | 109.230
0.95 | 2.00 | 200 | 108.919
0.95 | 2.00 | 250 | 108.740
0.96 | 0.00 | 70 | 109.957
0.96 | 0.00 | 80 | 109.548
0.96 | 0.00 | 90 | 109.548
0.96 | 0.00 | 100 | 109.362
0.96 | 0.00 | 150 | 109.046
0.96 | 0.00 | 200 | 108.914
0.96 | 0.00 | 250 | 108.865
0.96 | 1.00 | 70 | 109.957
0.96 | 1.00 | 80 | 109.548
0.96 | 1.00 | 90 | 109.548
0.96 | 1.00 | 100 | 109.362
0.96 | 1.00 | 150 | 109.046
0.96 | 1.00 | 200 | 108.914
0.96 | 1.00 | 250 | 108.865
0.96 | 2.00 | 80 | 110.413
0.96 | 2.00 | 90 | 110.413
0.96 | 2.00 | 100 | 110.454
0.96 | 2.00 | 150 | 109.117
0.96 | 2.00 | 200 | 109.193
0.96 | 2.00 | 250 | 109.191
0.97 | 0.00 | 70 | 109.959
0.97 | 0.00 | 80 | 109.635
0.97 | 0.00 | 90 | 109.635
0.97 | 0.00 | 100 | 109.474
0.97 | 0.00 | 150 | 109.218
0.97 | 0.00 | 200 | 109.118
0.97 | 0.00 | 250 | 109.088
0.97 | 1.00 | 70 | 109.959
0.97 | 1.00 | 80 | 109.635
0.97 | 1.00 | 90 | 109.635
0.97 | 1.00 | 100 | 109.474
0.97 | 1.00 | 150 | 109.218
0.97 | 1.00 | 200 | 109.118
0.97 | 1.00 | 250 | 109.088
0.97 | 2.00 | 80 | 110.161
0.97 | 2.00 | 90 | 110.161
0.97 | 2.00 | 100 | 110.365
0.97 | 2.00 | 150 | 109.390
0.97 | 2.00 | 200 | 109.154
0.97 | 2.00 | 250 | 109.067
0.98 | 0.00 | 70 | 109.963
0.98 | 0.00 | 80 | 109.618
0.98 | 0.00 | 90 | 109.618
0.98 | 0.00 | 100 | 109.600
0.98 | 0.00 | 150 | 109.409
0.98 | 0.00 | 200 | 109.353
0.98 | 0.00 | 250 | 109.351
0.98 | 1.00 | 70 | 109.963
0.98 | 1.00 | 80 | 109.618
0.98 | 1.00 | 90 | 109.618
0.98 | 1.00 | 100 | 109.600
0.98 | 1.00 | 150 | 109.409
0.98 | 1.00 | 200 | 109.352
0.98 | 1.00 | 250 | 109.388
0.98 | 2.00 | 80 | 110.010
0.98 | 2.00 | 90 | 110.010
0.98 | 2.00 | 100 | 110.248
0.98 | 2.00 | 150 | 109.412
0.98 | 2.00 | 200 | 109.263
0.98 | 2.00 | 250 | 109.235
0.99 | 0.00 | 70 | 110.003
0.99 | 0.00 | 80 | 109.913
0.99 | 0.00 | 90 | 109.913
0.99 | 0.00 | 100 | 109.711
0.99 | 0.00 | 150 | 109.638
0.99 | 0.00 | 200 | 109.606
0.99 | 0.00 | 250 | 109.608
0.99 | 1.00 | 70 | 110.003
0.99 | 1.00 | 80 | 109.913
0.99 | 1.00 | 90 | 109.913
0.99 | 1.00 | 100 | 109.711
0.99 | 1.00 | 150 | 109.638
0.99 | 1.00 | 200 | 109.606
0.99 | 1.00 | 250 | 109.608
0.99 | 2.00 | 80 | 109.826
0.99 | 2.00 | 90 | 109.826
0.99 | 2.00 | 100 | 109.959
0.99 | 2.00 | 150 | 109.658
0.99 | 2.00 | 200 | 109.550
0.99 | 2.00 | 250 | 109.502
1.00 | 0.00 | 70 | 109.799
1.00 | 0.00 | 80 | 109.799
1.00 | 0.00 | 90 | 109.799
1.00 | 0.00 | 100 | 109.799
1.00 | 0.00 | 150 | 109.799
1.00 | 0.00 | 200 | 109.799
1.00 | 0.00 | 250 | 109.799
1.00 | 1.00 | 70 | 109.799
1.00 | 1.00 | 80 | 109.799
1.00 | 1.00 | 90 | 109.799
1.00 | 1.00 | 100 | 109.799
1.00 | 1.00 | 150 | 109.799
1.00 | 1.00 | 200 | 109.799
1.00 | 1.00 | 250 | 109.799
1.00 | 2.00 | 70 | 109.799
1.00 | 2.00 | 80 | 109.799
1.00 | 2.00 | 90 | 109.799
1.00 | 2.00 | 100 | 109.799
1.00 | 2.00 | 150 | 109.799
1.00 | 2.00 | 200 | 109.799
1.00 | 2.00 | 250 | 109.799
