down | strategy | migrad
0.91 | 0 | 70
0.91 | 1 | 70
0.92 | 0 | 70
0.92 | 0 | 80
0.92 | 1 | 70
0.92 | 1 | 80
0.93 | 0 | 70
0.93 | 0 | 80
0.93 | 1 | 70
0.93 | 1 | 80
0.94 | 0 | 70
0.94 | 0 | 80
0.94 | 0 | 90
0.94 | 1 | 70
0.94 | 1 | 80
0.94 | 1 | 90
0.95 | 0 | 70
0.95 | 0 | 80
0.95 | 0 | 90
0.95 | 1 | 70
0.95 | 1 | 80
0.95 | 1 | 90
0.95 | 2 | 100
0.96 | 0 | 70
0.96 | 0 | 80
0.96 | 0 | 90
0.96 | 0 | 100
0.96 | 1 | 70
0.96 | 1 | 80
0.96 | 1 | 90
0.96 | 1 | 100
0.96 | 2 | 80
0.96 | 2 | 90
0.96 | 2 | 100
0.97 | 0 | 70
0.97 | 0 | 80
0.97 | 0 | 90
0.97 | 1 | 70
0.97 | 1 | 80
0.97 | 1 | 90
0.97 | 2 | 80
0.97 | 2 | 90
0.97 | 2 | 100
0.98 | 0 | 70
0.98 | 0 | 80
0.98 | 0 | 90
0.98 | 0 | 100
0.98 | 0 | 150
0.98 | 1 | 70
0.98 | 1 | 80
0.98 | 1 | 90
0.98 | 1 | 100
0.98 | 1 | 150
0.98 | 2 | 80
0.98 | 2 | 90
0.98 | 2 | 100
0.98 | 2 | 150
0.98 | 2 | 200
0.99 | 0 | 70
0.99 | 0 | 80
0.99 | 0 | 90
0.99 | 0 | 100
0.99 | 0 | 150
0.99 | 0 | 200
0.99 | 0 | 250
0.99 | 1 | 70
0.99 | 1 | 80
0.99 | 1 | 90
0.99 | 1 | 100
0.99 | 1 | 150
0.99 | 1 | 200
0.99 | 1 | 250
0.99 | 2 | 80
0.99 | 2 | 90
0.99 | 2 | 100
0.99 | 2 | 150
0.99 | 2 | 200
0.99 | 2 | 250
1.0 | 0 | 70
1.0 | 0 | 80
1.0 | 0 | 90
1.0 | 0 | 100
1.0 | 0 | 150
1.0 | 0 | 200
1.0 | 0 | 250
1.0 | 1 | 70
1.0 | 1 | 80
1.0 | 1 | 90
1.0 | 1 | 100
1.0 | 1 | 150
1.0 | 1 | 200
1.0 | 1 | 250
1.0 | 2 | 70
1.0 | 2 | 80
1.0 | 2 | 90
1.0 | 2 | 100
1.0 | 2 | 150
1.0 | 2 | 200
1.0 | 2 | 250
