Otimização para log em ATLAS - Limites: eps_0_mg_0_a2_0
Configuração: down | up | strategy | migrad | mg ± error | eps ± error | a1 ± error | a2 ± error | χ²/ndof
========================================================================================================================
0.91 | 1.0899999999999999 | 0 | 60 | 0.3557035650157136 ± 0.016229712510553766 | 0.07248247227592702 ± 0.008497761150208687 | 1.6086443159205426 ± 0.11446458999212346 | 3.3123865999155884 ± 0.7301602542659147 | 0.49295037471369385
0.91 | 1.0899999999999999 | 0 | 65 | 0.3557035650157136 ± 0.016229712510553766 | 0.07248247227592702 ± 0.008497761150208687 | 1.6086443159205426 ± 0.11446458999212346 | 3.3123865999155884 ± 0.7301602542659147 | 0.49295037471369385
0.91 | 1.0899999999999999 | 0 | 70 | 0.3557035650157136 ± 0.016229712510553766 | 0.07248247227592702 ± 0.008497761150208687 | 1.6086443159205426 ± 0.11446458999212346 | 3.3123865999155884 ± 0.7301602542659147 | 0.49295037471369385
0.91 | 1.0899999999999999 | 1 | 60 | 0.3575385672540488 ± 0.012506746423651635 | 0.07445615213098954 ± 0.006404271687612075 | 1.6945210654719618 ± 0.12257588689028334 | 2.721542538799067 ± 0.8490280105555106 | 0.5451915056062396
0.91 | 1.0899999999999999 | 1 | 65 | 0.3557035629788795 ± 0.01622720663783272 | 0.07248247031385822 ± 0.008496426970121724 | 1.6086442171423223 ± 0.11446093555712686 | 3.312387213354338 ± 0.7301542205149385 | 0.492950335661369
0.91 | 1.0899999999999999 | 1 | 70 | 0.3557035629788795 ± 0.01622720663783272 | 0.07248247031385822 ± 0.008496426970121724 | 1.6086442171423223 ± 0.11446093555712686 | 3.312387213354338 ± 0.7301542205149385 | 0.492950335661369
0.91 | 1.0899999999999999 | 1 | 75 | 0.3557035629788795 ± 0.01622720663783272 | 0.07248247031385822 ± 0.008496426970121724 | 1.6086442171423223 ± 0.11446093555712686 | 3.312387213354338 ± 0.7301542205149385 | 0.492950335661369
0.92 | 1.08 | 0 | 60 | 0.3557035650157136 ± 0.016229712510553766 | 0.07248247227592702 ± 0.008497761150208687 | 1.6086443159205426 ± 0.11446458999212346 | 3.3123865999155884 ± 0.7301602542659147 | 0.49295037471369385
0.92 | 1.08 | 0 | 65 | 0.3557035650157136 ± 0.016229712510553766 | 0.07248247227592702 ± 0.008497761150208687 | 1.6086443159205426 ± 0.11446458999212346 | 3.3123865999155884 ± 0.7301602542659147 | 0.49295037471369385
0.92 | 1.08 | 0 | 70 | 0.3557035650157136 ± 0.016229712510553766 | 0.07248247227592702 ± 0.008497761150208687 | 1.6086443159205426 ± 0.11446458999212346 | 3.3123865999155884 ± 0.7301602542659147 | 0.49295037471369385
0.92 | 1.08 | 1 | 60 | 0.3575385672540488 ± 0.012506746423651635 | 0.07445615213098954 ± 0.006404271687612075 | 1.6945210654719618 ± 0.12257588689028334 | 2.721542538799067 ± 0.8490280105555106 | 0.5451915056062396
0.92 | 1.08 | 1 | 65 | 0.3557035629788795 ± 0.01622720663783272 | 0.07248247031385822 ± 0.008496426970121724 | 1.6086442171423223 ± 0.11446093555712686 | 3.312387213354338 ± 0.7301542205149385 | 0.492950335661369
0.92 | 1.08 | 1 | 70 | 0.3557035629788795 ± 0.01622720663783272 | 0.07248247031385822 ± 0.008496426970121724 | 1.6086442171423223 ± 0.11446093555712686 | 3.312387213354338 ± 0.7301542205149385 | 0.492950335661369
