Otimização para log em TOTEM - Limites: eps_1_mg_0_a2_1
Configuração: down | up | strategy | migrad | mg ± error | eps ± error | a1 ± error | a2 ± error | χ²/ndof
========================================================================================================================
0.91 | 1.0899999999999999 | 2 | 60 | 0.38197274492431543 ± 0.001490422280706643 | 0.08867053384036414 ± 0.0006612195559599979 | 1.70521721134363 ± 0.007111428713577431 | 3.0192957667328573 ± 0.015197992240275626 | 0.7751938900301101
0.91 | 1.0899999999999999 | 2 | 65 | 0.38197274492431543 ± 0.001490422280706643 | 0.08867053384036414 ± 0.0006612195559599979 | 1.70521721134363 ± 0.007111428713577431 | 3.0192957667328573 ± 0.015197992240275626 | 0.7751938900301101
0.91 | 1.0899999999999999 | 2 | 70 | 0.38197274492431543 ± 0.001490422280706643 | 0.08867053384036414 ± 0.0006612195559599979 | 1.70521721134363 ± 0.007111428713577431 | 3.0192957667328573 ± 0.015197992240275626 | 0.7751938900301101
0.92 | 1.08 | 2 | 60 | 0.3820570149674234 ± 0.0014819895264804716 | 0.08878864102818625 ± 0.0006571188453648943 | 1.712605075164007 ± 0.00710951524894165 | 2.9915950650764516 ± 0.01771998629657867 | 0.7985226876201978
0.92 | 1.08 | 2 | 65 | 0.3820570149674234 ± 0.0014819895264804716 | 0.08878864102818625 ± 0.0006571188453648943 | 1.712605075164007 ± 0.00710951524894165 | 2.9915950650764516 ± 0.01771998629657867 | 0.7985226876201978
0.92 | 1.08 | 2 | 70 | 0.3820570149674234 ± 0.0014819895264804716 | 0.08878864102818625 ± 0.0006571188453648943 | 1.712605075164007 ± 0.00710951524894165 | 2.9915950650764516 ± 0.01771998629657867 | 0.7985226876201978
0.93 | 1.0699999999999998 | 2 | 60 | 0.3821430768700301 ± 0.0015012630919558176 | 0.08890871823083361 ± 0.0006654205159866422 | 1.7200655291575306 ± 0.007113487128788738 | 2.963887025258969 ± 0.021534798349523765 | 0.8258675352256339
0.93 | 1.0699999999999998 | 2 | 65 | 0.3821430768700301 ± 0.0015012630919558176 | 0.08890871823083361 ± 0.0006654205159866422 | 1.7200655291575306 ± 0.007113487128788738 | 2.963887025258969 ± 0.021534798349523765 | 0.8258675352256339
0.93 | 1.0699999999999998 | 2 | 70 | 0.3821430768700301 ± 0.0015012630919558176 | 0.08890871823083361 ± 0.0006654205159866422 | 1.7200655291575306 ± 0.007113487128788738 | 2.963887025258969 ± 0.021534798349523765 | 0.8258675352256339
