down | strategy | ncall | sigma_tot
0.91 | 0.00 | 60 | 104.016
0.91 | 0.00 | 65 | 103.981
0.91 | 0.00 | 70 | 103.981
0.91 | 0.00 | 75 | 103.917
0.91 | 0.00 | 80 | 103.917
0.91 | 0.00 | 85 | 103.917
0.91 | 0.00 | 90 | 104.031
0.91 | 0.00 | 95 | 104.031
0.91 | 0.00 | 100 | 103.993
0.91 | 1.00 | 60 | 104.016
0.91 | 1.00 | 65 | 104.016
0.91 | 1.00 | 70 | 104.016
0.91 | 1.00 | 75 | 103.981
0.91 | 1.00 | 80 | 103.981
0.91 | 1.00 | 85 | 103.917
0.91 | 1.00 | 90 | 103.917
0.91 | 1.00 | 95 | 103.917
0.91 | 1.00 | 100 | 104.031
0.91 | 2.00 | 80 | 103.786
0.91 | 2.00 | 85 | 103.786
0.91 | 2.00 | 90 | 103.786
0.91 | 2.00 | 95 | 104.067
0.91 | 2.00 | 100 | 104.067
0.92 | 0.00 | 60 | 104.054
0.92 | 0.00 | 65 | 104.054
0.92 | 0.00 | 70 | 104.054
0.92 | 0.00 | 75 | 104.054
0.92 | 0.00 | 80 | 104.010
0.92 | 0.00 | 85 | 104.010
0.92 | 0.00 | 90 | 103.929
0.92 | 0.00 | 95 | 103.929
0.92 | 0.00 | 100 | 104.036
0.92 | 1.00 | 60 | 104.110
0.92 | 1.00 | 65 | 104.054
0.92 | 1.00 | 70 | 104.054
0.92 | 1.00 | 75 | 104.054
0.92 | 1.00 | 80 | 104.054
0.92 | 1.00 | 85 | 104.010
0.92 | 1.00 | 90 | 104.010
0.92 | 1.00 | 95 | 103.929
0.92 | 1.00 | 100 | 103.929
0.92 | 2.00 | 95 | 104.232
0.92 | 2.00 | 100 | 104.232
0.93 | 0.00 | 60 | 104.103
0.93 | 0.00 | 65 | 104.069
0.93 | 0.00 | 70 | 104.069
0.93 | 1.00 | 60 | 104.103
0.93 | 1.00 | 65 | 104.069
0.93 | 1.00 | 70 | 104.069
0.93 | 1.00 | 75 | 104.069
0.93 | 2.00 | 75 | 104.191
0.93 | 2.00 | 80 | 104.191
0.93 | 2.00 | 85 | 104.191
0.93 | 2.00 | 90 | 104.272
0.93 | 2.00 | 95 | 104.272
0.93 | 2.00 | 100 | 104.296
0.94 | 0.00 | 60 | 104.129
0.94 | 0.00 | 65 | 104.092
0.94 | 0.00 | 70 | 104.092
0.94 | 0.00 | 75 | 103.868
0.94 | 0.00 | 80 | 103.868
0.94 | 0.00 | 85 | 103.868
0.94 | 0.00 | 90 | 103.771
0.94 | 0.00 | 95 | 103.771
0.94 | 0.00 | 100 | 103.771
0.94 | 1.00 | 60 | 104.129
0.94 | 1.00 | 65 | 104.129
0.94 | 1.00 | 70 | 104.092
0.94 | 1.00 | 75 | 104.092
0.94 | 1.00 | 80 | 103.868
0.94 | 1.00 | 85 | 103.868
0.94 | 1.00 | 90 | 103.868
0.94 | 1.00 | 95 | 103.771
0.94 | 1.00 | 100 | 103.771
0.94 | 2.00 | 100 | 103.973
0.95 | 0.00 | 60 | 104.142
0.95 | 0.00 | 65 | 104.142
0.95 | 0.00 | 70 | 104.157
0.95 | 0.00 | 75 | 104.157
0.95 | 0.00 | 80 | 104.157
0.95 | 0.00 | 85 | 104.070
0.95 | 0.00 | 90 | 104.070
0.95 | 0.00 | 95 | 104.070
0.95 | 0.00 | 100 | 104.041
0.95 | 1.00 | 60 | 104.065
0.95 | 1.00 | 65 | 104.142
0.95 | 1.00 | 70 | 104.142
0.95 | 1.00 | 75 | 104.157
0.95 | 1.00 | 80 | 104.157
0.95 | 1.00 | 85 | 104.157
0.95 | 1.00 | 90 | 104.070
0.95 | 1.00 | 95 | 104.070
0.95 | 1.00 | 100 | 104.041
0.95 | 2.00 | 95 | 102.659
0.95 | 2.00 | 100 | 102.659
0.95 | 2.00 | 150 | 104.323
0.96 | 0.00 | 60 | 104.275
0.96 | 0.00 | 65 | 104.275
0.96 | 0.00 | 70 | 104.224
0.96 | 0.00 | 75 | 104.224
0.96 | 0.00 | 80 | 104.101
0.96 | 0.00 | 85 | 104.101
0.96 | 0.00 | 90 | 104.101
0.96 | 0.00 | 95 | 104.052
0.96 | 0.00 | 100 | 104.052
0.96 | 0.00 | 150 | 104.407
0.96 | 0.00 | 200 | 104.501
0.96 | 1.00 | 60 | 103.855
0.96 | 1.00 | 65 | 104.275
0.96 | 1.00 | 70 | 104.275
0.96 | 1.00 | 75 | 104.224
0.96 | 1.00 | 80 | 104.224
0.96 | 1.00 | 85 | 104.224
0.96 | 1.00 | 90 | 104.101
0.96 | 1.00 | 95 | 104.101
0.96 | 1.00 | 100 | 104.052
0.96 | 1.00 | 150 | 104.202
0.96 | 2.00 | 80 | 105.054
0.96 | 2.00 | 85 | 105.054
0.96 | 2.00 | 90 | 104.538
0.96 | 2.00 | 95 | 104.538
0.96 | 2.00 | 100 | 104.492
0.97 | 0.00 | 60 | 104.216
0.97 | 0.00 | 65 | 104.175
0.97 | 0.00 | 70 | 104.175
0.97 | 0.00 | 75 | 104.175
0.97 | 0.00 | 80 | 104.013
0.97 | 0.00 | 85 | 104.013
0.97 | 0.00 | 90 | 104.013
0.97 | 0.00 | 95 | 104.308
0.97 | 0.00 | 100 | 104.308
0.97 | 1.00 | 60 | 104.216
0.97 | 1.00 | 65 | 104.216
0.97 | 1.00 | 70 | 104.175
0.97 | 1.00 | 75 | 104.175
0.97 | 1.00 | 80 | 104.013
0.97 | 1.00 | 85 | 104.013
0.97 | 1.00 | 90 | 104.013
0.97 | 1.00 | 95 | 104.308
0.97 | 1.00 | 100 | 104.308
0.97 | 2.00 | 150 | 104.142
0.97 | 2.00 | 200 | 104.175
0.98 | 0.00 | 60 | 104.301
0.98 | 0.00 | 65 | 104.313
0.98 | 0.00 | 70 | 104.313
0.98 | 0.00 | 75 | 104.313
0.98 | 0.00 | 80 | 104.313
0.98 | 0.00 | 85 | 104.325
0.98 | 0.00 | 90 | 104.325
0.98 | 0.00 | 95 | 104.044
0.98 | 0.00 | 100 | 104.044
0.98 | 1.00 | 60 | 104.301
0.98 | 1.00 | 65 | 104.301
0.98 | 1.00 | 70 | 104.313
0.98 | 1.00 | 75 | 104.313
0.98 | 1.00 | 80 | 104.313
0.98 | 1.00 | 85 | 104.325
0.98 | 1.00 | 90 | 104.325
0.98 | 1.00 | 95 | 104.044
0.98 | 1.00 | 100 | 104.044
0.98 | 1.00 | 150 | 104.011
0.98 | 2.00 | 80 | 104.658
0.98 | 2.00 | 85 | 104.658
0.98 | 2.00 | 90 | 104.658
0.98 | 2.00 | 95 | 104.436
0.98 | 2.00 | 100 | 104.436
0.98 | 2.00 | 150 | 104.313
0.98 | 2.00 | 200 | 104.177
0.99 | 0.00 | 60 | 104.396
0.99 | 0.00 | 65 | 104.396
0.99 | 0.00 | 70 | 104.396
0.99 | 0.00 | 75 | 104.219
0.99 | 0.00 | 80 | 104.219
0.99 | 0.00 | 85 | 104.219
0.99 | 0.00 | 90 | 104.272
0.99 | 0.00 | 95 | 104.272
0.99 | 0.00 | 100 | 104.185
0.99 | 0.00 | 150 | 104.282
0.99 | 1.00 | 60 | 104.396
0.99 | 1.00 | 65 | 104.396
