down | strategy | ncall | sigma_tot
0.91 | 2.00 | 60 | 109.851
0.91 | 2.00 | 65 | 109.851
0.91 | 2.00 | 70 | 109.851
0.92 | 2.00 | 60 | 109.980
0.92 | 2.00 | 65 | 109.980
0.92 | 2.00 | 70 | 109.980
0.93 | 2.00 | 60 | 110.112
0.93 | 2.00 | 65 | 110.112
0.93 | 2.00 | 70 | 110.112
0.94 | 2.00 | 60 | 110.246
0.94 | 2.00 | 65 | 110.246
0.94 | 2.00 | 70 | 110.246
0.95 | 2.00 | 60 | 110.384
0.95 | 2.00 | 65 | 110.384
0.95 | 2.00 | 70 | 110.384
0.96 | 2.00 | 60 | 110.533
0.96 | 2.00 | 65 | 110.533
0.96 | 2.00 | 70 | 110.533
0.97 | 2.00 | 60 | 110.667
0.97 | 2.00 | 65 | 110.667
0.97 | 2.00 | 70 | 110.667
0.98 | 2.00 | 60 | 110.810
0.98 | 2.00 | 65 | 110.810
0.98 | 2.00 | 70 | 110.810
0.99 | 2.00 | 60 | 110.918
0.99 | 2.00 | 65 | 110.918
0.99 | 2.00 | 70 | 110.918
0.99 | 2.00 | 75 | 110.508
0.99 | 2.00 | 80 | 110.508
0.99 | 2.00 | 85 | 110.508
