Otimização para pl em ATLAS - Limites: eps_0_mg_0_a1_0
Configuração: down | up | strategy | migrad | mg ± error | eps ± error | a1 ± error | a2 ± error | χ²/ndof
========================================================================================================================
0.91 | 1.0899999999999999 | 0 | 70 | 0.41083461828922235 ± 0.01600829895874443 | 0.07264956571629293 ± 0.0066370231172924714 | 1.680978213700977 ± 0.10448288273357112 | 1.364065996041586 ± 0.62649110526055 | 0.5023150275185082
0.91 | 1.0899999999999999 | 1 | 70 | 0.41083461828922235 ± 0.01600829895874443 | 0.07264956571629293 ± 0.0066370231172924714 | 1.680978213700977 ± 0.10448288273357112 | 1.364065996041586 ± 0.62649110526055 | 0.5023150275185082
0.91 | 1.0899999999999999 | 2 | 70 | 0.4196636711977576 ± 0.017539227636458817 | 0.07541668654462041 ± 0.007216018215855238 | 1.6469818130532268 ± 0.11012105075179277 | 1.6774469484118788 ± 0.6285457141014267 | 0.6077249913990842
0.91 | 1.0899999999999999 | 2 | 80 | 0.4196636711977576 ± 0.017539227636458817 | 0.07541668654462041 ± 0.007216018215855238 | 1.6469818130532268 ± 0.11012105075179277 | 1.6774469484118788 ± 0.6285457141014267 | 0.6077249913990842
0.92 | 1.08 | 0 | 70 | 0.41083461828922235 ± 0.01600829895874443 | 0.07264956571629293 ± 0.0066370231172924714 | 1.680978213700977 ± 0.10448288273357112 | 1.364065996041586 ± 0.62649110526055 | 0.5023150275185082
0.92 | 1.08 | 1 | 70 | 0.41083461828922235 ± 0.01600829895874443 | 0.07264956571629293 ± 0.0066370231172924714 | 1.680978213700977 ± 0.10448288273357112 | 1.364065996041586 ± 0.62649110526055 | 0.5023150275185082
0.92 | 1.08 | 2 | 70 | 0.4196636711977576 ± 0.017539227636458817 | 0.07541668654462041 ± 0.007216018215855238 | 1.6469818130532268 ± 0.11012105075179277 | 1.6774469484118788 ± 0.6285457141014267 | 0.6077249913990842
0.92 | 1.08 | 2 | 80 | 0.4196636711977576 ± 0.017539227636458817 | 0.07541668654462041 ± 0.007216018215855238 | 1.6469818130532268 ± 0.11012105075179277 | 1.6774469484118788 ± 0.6285457141014267 | 0.6077249913990842
0.93 | 1.0699999999999998 | 0 | 70 | 0.41083461828922235 ± 0.01600829895874443 | 0.07264956571629293 ± 0.0066370231172924714 | 1.680978213700977 ± 0.10448288273357112 | 1.364065996041586 ± 0.62649110526055 | 0.5023150275185082
0.93 | 1.0699999999999998 | 1 | 70 | 0.41083461828922235 ± 0.01600829895874443 | 0.07264956571629293 ± 0.0066370231172924714 | 1.680978213700977 ± 0.10448288273357112 | 1.364065996041586 ± 0.62649110526055 | 0.5023150275185082
0.93 | 1.0699999999999998 | 2 | 70 | 0.4196636711977576 ± 0.017539227636458817 | 0.07541668654462041 ± 0.007216018215855238 | 1.6469818130532268 ± 0.11012105075179277 | 1.6774469484118788 ± 0.6285457141014267 | 0.6077249913990842
0.93 | 1.0699999999999998 | 2 | 80 | 0.4196636711977576 ± 0.017539227636458817 | 0.07541668654462041 ± 0.007216018215855238 | 1.6469818130532268 ± 0.11012105075179277 | 1.6774469484118788 ± 0.6285457141014267 | 0.6077249913990842
0.94 | 1.06 | 0 | 70 | 0.41083461828922235 ± 0.01600829895874443 | 0.07264956571629293 ± 0.0066370231172924714 | 1.680978213700977 ± 0.10448288273357112 | 1.364065996041586 ± 0.62649110526055 | 0.5023150275185082
